Period,Time,Action,Score,Team,Player,Cap,Opponent,NZL,Seconds,Game,Opponent name
1.0,8:00,Starting goalkeeper,0 - 0,NZL,MILLAR B,1.0,0,0,480,1,AUS
1.0,8:00,Starting goalkeeper,0 - 0,AUS,BARTA L,1.0,0,0,480,1,AUS
1.0,8:00,Sprint won possession,0 - 0,AUS,ZAGAME N,12.0,0,0,480,1,AUS
1.0,7:37,Turnover foul,0 - 0,AUS,KNOX B,6.0,0,0,457,1,AUS
1.0,7:37,Steal,0 - 0,NZL,MYLES A,12.0,0,0,457,1,AUS
1.0,7:09,Turnover foul,0 - 0,NZL,LEWIS N,4.0,0,0,429,1,AUS
1.0,7:09,Steal,0 - 0,AUS,WEBSTER R,7.0,0,0,429,1,AUS
1.0,6:45,5m shot - Goal,1 - 0,AUS,WEBSTER R,7.0,1,0,405,1,AUS
1.0,6:28,Turnover foul,1 - 0,NZL,MASON K,3.0,1,0,388,1,AUS
1.0,6:28,Steal,1 - 0,AUS,SOUTHERN A,10.0,1,0,388,1,AUS
1.0,6:07,Turnover foul,1 - 0,AUS,LINCOLN-SMITH H,4.0,1,0,367,1,AUS
1.0,5:37,Turnover foul,1 - 0,NZL,MASON K,3.0,1,0,337,1,AUS
1.0,5:37,Steal,1 - 0,AUS,SOUTHERN A,10.0,1,0,337,1,AUS
1.0,5:20,Centre shot - Saved,1 - 0,AUS,ZAGAME N,12.0,1,0,320,1,AUS
1.0,4:55,5m shot - Post,1 - 0,NZL,MASON K,3.0,1,0,295,1,AUS
1.0,4:45,Turnover foul,1 - 0,AUS,SOUTHERN A,10.0,1,0,285,1,AUS
1.0,4:20,5m shot - Saved,1 - 0,NZL,SIEPRATH L,9.0,1,0,260,1,AUS
1.0,4:19,20 sec. exclusion in field,1 - 0,NZL,BOWRY C,10.0,1,0,259,1,AUS
1.0,4:04,Turnover foul,1 - 0,AUS,WEBSTER R,7.0,1,0,244,1,AUS
1.0,3:40,20 sec. exclusion in field,1 - 0,AUS,ZAGAME N,12.0,1,0,220,1,AUS
1.0,3:17,Action shot - Saved,1 - 0,NZL,HUDSON K,11.0,1,0,197,1,AUS
1.0,2:51,Turnover foul,1 - 0,AUS,McGHIE G,8.0,1,0,171,1,AUS
1.0,2:24,Turnover foul,1 - 0,NZL,COX E,2.0,1,0,144,1,AUS
1.0,2:24,Steal,1 - 0,AUS,McGHIE G,8.0,1,0,144,1,AUS
1.0,1:57,Centre shot - Goal,2 - 0,AUS,LINCOLN-SMITH H,4.0,2,0,117,1,AUS
1.0,1:49,20 sec. exclusion in centre,2 - 0,AUS,BISHOP I,5.0,2,0,109,1,AUS
1.0,1:30,Extra player shot - Goal,2 - 1,NZL,COX E,2.0,2,1,90,1,AUS
1.0,1:08,20 sec. exclusion in centre,2 - 1,NZL,LEWIS D,8.0,2,1,68,1,AUS
1.0,0:49,Extra player shot - Goal,3 - 1,AUS,ARANCINI Z,9.0,3,1,49,1,AUS
1.0,0:33,Turnover foul,3 - 1,NZL,LANDRY S,7.0,3,1,33,1,AUS
1.0,0:15,5m shot - Missed,3 - 1,AUS,ARANCINI Z,9.0,3,1,15,1,AUS
1.0,0:01,5m shot - Missed,3 - 1,NZL,MILLAR B,1.0,3,1,1,1,AUS
2.0,8:00,Starting goalkeeper,3 - 1,NZL,MILLAR B,1.0,3,1,480,1,AUS
2.0,8:00,Starting goalkeeper,3 - 1,AUS,BARTA L,1.0,3,1,480,1,AUS
2.0,8:00,Sprint won possession,3 - 1,NZL,LANDRY S,7.0,3,1,480,1,AUS
2.0,7:38,Turnover foul,3 - 1,NZL,LEWIS N,4.0,3,1,458,1,AUS
2.0,7:09,5m shot - Goal,4 - 1,AUS,WEBSTER R,7.0,4,1,429,1,AUS
2.0,6:40,5m shot - Saved,4 - 1,NZL,SMITH L,6.0,4,1,400,1,AUS
2.0,6:23,Turnover foul,4 - 1,AUS,APPEL J,2.0,4,1,383,1,AUS
2.0,5:59,5m shot - Missed,4 - 1,NZL,LANDRY S,7.0,4,1,359,1,AUS
2.0,5:33,Action shot - Saved,4 - 1,AUS,BUCKLING H,3.0,4,1,333,1,AUS
2.0,5:18,5m shot - Missed,4 - 1,NZL,HUDSON K,11.0,4,1,318,1,AUS
2.0,4:56,20 sec. exclusion in field,4 - 1,NZL,COX E,2.0,4,1,296,1,AUS
2.0,4:47,Extra player shot - Goal,5 - 1,AUS,SOUTHERN A,10.0,5,1,287,1,AUS
2.0,4:23,Action shot - Missed,5 - 1,NZL,MYLES A,12.0,5,1,263,1,AUS
2.0,4:04,Centre shot - Goal,6 - 1,AUS,LINCOLN-SMITH H,4.0,6,1,244,1,AUS
2.0,3:46,20 sec. exclusion in centre,6 - 1,AUS,BUCKLING H,3.0,6,1,226,1,AUS
2.0,3:27,Extra player shot - Goal,6 - 2,NZL,MASON K,3.0,6,2,207,1,AUS
2.0,3:14,Centre shot - Goal,7 - 2,AUS,APPEL J,2.0,7,2,194,1,AUS
