Period,Time,Action,Score,Team,Player,Cap,Opponent,NZL,Seconds,Game,Opponent name,Result,Goal
1.0,6:45,5m shot,1 - 0,AUS,WEBSTER R,7.0,1,0,405,1,AUS,Goal,1
1.0,5:20,Centre shot,1 - 0,AUS,ZAGAME N,12.0,1,0,320,1,AUS,Saved,0
1.0,4:55,5m shot,1 - 0,NZL,MASON K,3.0,1,0,295,1,AUS,Post,0
1.0,4:20,5m shot,1 - 0,NZL,SIEPRATH L,9.0,1,0,260,1,AUS,Saved,0
1.0,3:17,Action shot,1 - 0,NZL,HUDSON K,11.0,1,0,197,1,AUS,Saved,0
1.0,1:57,Centre shot,2 - 0,AUS,LINCOLN-SMITH H,4.0,2,0,117,1,AUS,Goal,1
1.0,1:30,Extra player shot,2 - 1,NZL,COX E,2.0,2,1,90,1,AUS,Goal,1
1.0,0:49,Extra player shot,3 - 1,AUS,ARANCINI Z,9.0,3,1,49,1,AUS,Goal,1
1.0,0:15,5m shot,3 - 1,AUS,ARANCINI Z,9.0,3,1,15,1,AUS,Missed,0
1.0,0:01,5m shot,3 - 1,NZL,MILLAR B,1.0,3,1,1,1,AUS,Missed,0
2.0,7:09,5m shot,4 - 1,AUS,WEBSTER R,7.0,4,1,429,1,AUS,Goal,1
2.0,6:40,5m shot,4 - 1,NZL,SMITH L,6.0,4,1,400,1,AUS,Saved,0
2.0,5:59,5m shot,4 - 1,NZL,LANDRY S,7.0,4,1,359,1,AUS,Missed,0
2.0,5:33,Action shot,4 - 1,AUS,BUCKLING H,3.0,4,1,333,1,AUS,Saved,0
2.0,5:18,5m shot,4 - 1,NZL,HUDSON K,11.0,4,1,318,1,AUS,Missed,0
2.0,4:47,Extra player shot,5 - 1,AUS,SOUTHERN A,10.0,5,1,287,1,AUS,Goal,1
2.0,4:23,Action shot,5 - 1,NZL,MYLES A,12.0,5,1,263,1,AUS,Missed,0
2.0,4:04,Centre shot,6 - 1,AUS,LINCOLN-SMITH H,4.0,6,1,244,1,AUS,Goal,1
2.0,3:27,Extra player shot,6 - 2,NZL,MASON K,3.0,6,2,207,1,AUS,Goal,1
2.0,3:14,Centre shot,7 - 2,AUS,APPEL J,2.0,7,2,194,1,AUS,Goal,1
2.0,2:56,Action shot,7 - 3,NZL,BOWRY C,10.0,7,3,176,1,AUS,Goal,1
2.0,2:31,Centre shot,7 - 3,AUS,APPEL J,2.0,7,3,151,1,AUS,Saved,0
2.0,2:07,5m shot,7 - 3,NZL,MASON K,3.0,7,3,127,1,AUS,Saved,0
2.0,1:37,5m shot,7 - 3,AUS,KNOX B,6.0,7,3,97,1,AUS,Saved,0
2.0,1:07,5m shot,7 - 3,NZL,BOWRY C,10.0,7,3,67,1,AUS,Saved,0
2.0,0:37,5m shot,7 - 3,AUS,KNOX B,6.0,7,3,37,1,AUS,Saved,0
2.0,0:15,5m shot,7 - 3,NZL,BOWRY C,10.0,7,3,15,1,AUS,Blocked,0
2.0,0:07,5m shot,7 - 3,NZL,BOWRY C,10.0,7,3,7,1,AUS,Missed,0
3.0,7:39,5m shot,7 - 3,NZL,MASON K,3.0,7,3,459,1,AUS,Saved,0
3.0,7:21,5m shot,8 - 3,AUS,GOFERS K,11.0,8,3,441,1,AUS,Goal,1
3.0,6:54,5m shot,8 - 3,NZL,LEWIS D,8.0,8,3,414,1,AUS,Saved,0
3.0,6:35,Action shot,8 - 3,AUS,GOFERS K,11.0,8,3,395,1,AUS,Saved,0
3.0,6:08,Extra player shot,8 - 3,AUS,WEBSTER R,7.0,8,3,368,1,AUS,Saved,0
3.0,5:40,Action shot,9 - 3,AUS,WEBSTER R,7.0,9,3,340,1,AUS,Goal,1
3.0,5:15,Extra player shot,9 - 3,NZL,SIEPRATH L,9.0,9,3,315,1,AUS,Saved,0
3.0,4:41,5m shot,9 - 3,AUS,ZAGAME N,12.0,9,3,281,1,AUS,Saved,0
3.0,4:34,Centre shot,9 - 3,AUS,APPEL J,2.0,9,3,274,1,AUS,Missed,0
3.0,3:49,5m shot,9 - 3,NZL,MASON K,3.0,9,3,229,1,AUS,Blocked,0
3.0,3:39,Action shot,10 - 3,AUS,ZAGAME N,12.0,10,3,219,1,AUS,Goal,1
3.0,2:26,Extra player shot,10 - 3,NZL,HUDSON K,11.0,10,3,146,1,AUS,Post,0
3.0,1:56,5m shot,10 - 3,AUS,KNOX B,6.0,10,3,116,1,AUS,Post,0
3.0,1:21,Penalty shot,11 - 3,AUS,SOUTHERN A,10.0,11,3,81,1,AUS,Goal,1
3.0,0:57,5m shot,11 - 3,NZL,LANDRY S,7.0,11,3,57,1,AUS,Saved,0
3.0,0:06,5m shot,11 - 3,NZL,SMITH L,6.0,11,3,6,1,AUS,Missed,0
4.0,6:12,5m shot,11 - 3,NZL,SMITH L,6.0,11,3,372,1,AUS,Blocked,0
4.0,5:46,Action shot,11 - 3,AUS,WEBSTER R,7.0,11,3,346,1,AUS,Saved,0
4.0,5:07,Centre shot,12 - 3,AUS,BUCKLING H,3.0,12,3,307,1,AUS,Goal,1
4.0,4:46,5m shot,12 - 3,NZL,BOWRY C,10.0,12,3,286,1,AUS,Missed,0
4.0,4:35,5m shot,12 - 4,NZL,MASON K,3.0,12,4,275,1,AUS,Goal,1
4.0,4:16,5m shot,12 - 4,AUS,SOUTHERN A,10.0,12,4,256,1,AUS,Post,0
4.0,3:51,5m shot,12 - 4,NZL,MYLES A,12.0,12,4,231,1,AUS,Missed,0
4.0,3:25,Action shot,12 - 4,AUS,McGHIE G,8.0,12,4,205,1,AUS,Missed,0
4.0,2:04,5m shot,12 - 4,NZL,LEWIS D,8.0,12,4,124,1,AUS,Saved,0
4.0,1:49,Centre shot,13 - 4,AUS,LINCOLN-SMITH H,4.0,13,4,109,1,AUS,Goal,1
4.0,1:23,Action shot,13 - 4,NZL,SMITH L,6.0,13,4,83,1,AUS,Saved,0
4.0,0:49,5m shot,14 - 4,AUS,WEBSTER R,7.0,14,4,49,1,AUS,Goal,1
4.0,0:23,5m shot,14 - 4,NZL,HUDSON K,11.0,14,4,23,1,AUS,Saved,0
4.0,0:02,Extra player shot,15 - 4,AUS,ARANCINI Z,9.0,15,4,2,1,AUS,Goal,1
4.0,0:01,5m shot,15 - 4,NZL,HUDSON K,11.0,15,4,1,1,AUS,Saved,0
1.0,7:36,5m shot,0 - 0,NZL,MYLES A,12.0,0,0,456,2,RSA,Saved,0
1.0,7:09,Action shot,0 - 0,RSA,WHITE K,12.0,0,0,429,2,RSA,Missed,0
1.0,6:34,Counter attack,0 - 0,RSA,SCHOOLING T,6.0,0,0,394,2,RSA,Missed,0
1.0,6:00,Extra player shot,0 - 0,NZL,MASON K,3.0,0,0,360,2,RSA,Saved,0
1.0,5:51,Action shot,0 - 1,NZL,HUDSON K,11.0,0,1,351,2,RSA,Goal,1
1.0,5:30,Action shot,0 - 1,RSA,SCHOOLING T,6.0,0,1,330,2,RSA,Saved,0
1.0,5:07,Action shot,0 - 2,NZL,HUDSON K,11.0,0,2,307,2,RSA,Goal,1
1.0,4:50,Centre shot,0 - 2,RSA,KAY K,7.0,0,2,290,2,RSA,Post,0
1.0,4:02,5m shot,0 - 2,RSA,WHITE K,12.0,0,2,242,2,RSA,Missed,0
1.0,3:10,Action shot,0 - 2,RSA,KILLEEN L,11.0,0,2,190,2,RSA,Post,0
1.0,2:47,5m shot,0 - 2,NZL,BOWRY C,10.0,0,2,167,2,RSA,Saved,0
1.0,2:27,Action shot,1 - 2,RSA,WHITE K,12.0,1,2,147,2,RSA,Goal,1
1.0,1:36,5m shot,1 - 2,NZL,MASON K,3.0,1,2,96,2,RSA,Saved,0
1.0,0:20,5m shot,1 - 3,NZL,LEWIS D,8.0,1,3,20,2,RSA,Goal,1
1.0,0:02,Penalty shot,2 - 3,RSA,SCHOOLING T,6.0,2,3,2,2,RSA,Goal,1
1.0,0:01,5m shot,2 - 3,NZL,MASON K,3.0,2,3,1,2,RSA,Missed,0
2.0,7:25,Penalty shot,2 - 3,RSA,SCHOOLING T,6.0,2,3,445,2,RSA,Missed,0
2.0,6:46,Action shot,2 - 4,NZL,LANDRY S,7.0,2,4,406,2,RSA,Goal,1
2.0,6:09,Extra player shot,2 - 5,NZL,MASON K,3.0,2,5,369,2,RSA,Goal,1
2.0,5:35,5m shot,2 - 5,NZL,BOWRY C,10.0,2,5,335,2,RSA,Post,0
2.0,5:08,Centre shot,3 - 5,RSA,KAY K,7.0,3,5,308,2,RSA,Goal,1
2.0,4:39,Action shot,3 - 5,NZL,BOWRY C,10.0,3,5,279,2,RSA,Saved,0
2.0,4:11,Centre shot,3 - 5,NZL,BOWRY C,10.0,3,5,251,2,RSA,Saved,0
2.0,4:02,Action shot,3 - 5,NZL,SIEPRATH L,9.0,3,5,242,2,RSA,Missed,0
4.0,6:21,Action shot,6 - 10,RSA,WHITE K,12.0,6,10,381,2,RSA,Goal,1
4.0,5:59,5m shot,6 - 10,NZL,MYLES A,12.0,6,10,359,2,RSA,Post,0
4.0,4:57,Action shot,6 - 10,RSA,KEET M,10.0,6,10,297,2,RSA,Missed,0
4.0,3:39,Action shot,6 - 11,NZL,HUDSON K,11.0,6,11,219,2,RSA,Goal,1
2.0,2:48,Extra player shot,6 - 11,NZL,SMITH L,6.0,6,11,168,2,RSA,Saved,0
2.0,2:18,Action shot,6 - 11,RSA,KEET L,8.0,6,11,138,2,RSA,Saved,0
2.0,1:55,Action shot,3 - 6,NZL,HUDSON K,11.0,3,6,115,2,RSA,Goal,1
2.0,1:23,Action shot,3 - 6,NZL,MYLES A,12.0,3,6,83,2,RSA,Saved,0
2.0,0:24,5m shot,3 - 6,NZL,MASON K,3.0,3,6,24,2,RSA,Post,0
3.0,7:19,Action shot,3 - 6,RSA,WHITE K,12.0,3,6,439,2,RSA,Saved,0
3.0,6:33,Extra player shot,3 - 6,NZL,MASON K,3.0,3,6,393,2,RSA,Saved,0
3.0,5:42,Extra player shot,3 - 6,NZL,BOWRY C,10.0,3,6,342,2,RSA,Blocked,0
3.0,4:50,Action shot,3 - 6,NZL,MASON K,3.0,3,6,290,2,RSA,Missed,0
3.0,4:04,Centre shot,3 - 6,NZL,LEWIS N,4.0,3,6,244,2,RSA,Saved,0
3.0,3:52,Action shot,4 - 6,RSA,KEET M,10.0,4,6,232,2,RSA,Goal,1
3.0,3:10,Action shot,4 - 7,NZL,MYLES A,12.0,4,7,190,2,RSA,Goal,1
