Action,Cap,Game,Opponent,Opponent name,Period,Player,RSA,Score,Seconds,Team,Time
Starting goalkeeper,1.0,1,0,CHN,1.0,YANG J,0,0 - 0,480,CHN,8:00
Starting goalkeeper,1.0,1,0,CHN,1.0,JACOBS A,0,0 - 0,480,RSA,8:00
Sprint won possession,12.0,1,0,CHN,1.0,WHITE K,0,0 - 0,480,RSA,8:00
Centre shot - Saved,7.0,1,0,CHN,1.0,KAY K,0,0 - 0,457,RSA,7:37
Centre shot - Saved,6.0,1,0,CHN,1.0,SUN Y,0,0 - 0,438,CHN,7:18
20 sec. exclusion in centre,8.0,1,0,CHN,1.0,KEET L,0,0 - 0,397,RSA,6:37
Extra player shot - Goal,6.0,1,1,CHN,1.0,SUN Y,0,1 - 0,382,CHN,6:22
5m shot - Missed,6.0,1,1,CHN,1.0,SCHOOLING T,0,1 - 0,358,RSA,5:58
20 sec. exclusion in centre,5.0,1,1,CHN,1.0,SCHOOLING M,0,1 - 0,340,RSA,5:40
Extra player shot - Goal,10.0,1,2,CHN,1.0,MA H,0,2 - 0,333,CHN,5:33
Turnover foul,2.0,1,2,CHN,1.0,SCHMIDT K,0,2 - 0,312,RSA,5:12
Centre shot - Saved,5.0,1,2,CHN,1.0,HE J,0,2 - 0,300,CHN,5:00
20 sec. exclusion in centre,3.0,1,2,CHN,1.0,LIU P,0,2 - 0,276,CHN,4:36
Extra player shot - Post,8.0,1,2,CHN,1.0,KEET L,0,2 - 0,257,RSA,4:17
5m shot - Post,4.0,1,2,CHN,1.0,SUN Y,0,2 - 0,235,CHN,3:55
20 sec. exclusion in centre,10.0,1,2,CHN,1.0,MA H,0,2 - 0,230,CHN,3:50
Action shot - Post,12.0,1,2,CHN,1.0,WHITE K,0,2 - 0,205,RSA,3:25
20 sec. exclusion in centre,5.0,1,2,CHN,1.0,SCHOOLING M,0,2 - 0,170,RSA,2:50
Extra player shot - Goal,7.0,1,3,CHN,1.0,SONG D,0,3 - 0,167,CHN,2:47
Turnover foul,4.0,1,3,CHN,1.0,RAWSTRON C,0,3 - 0,152,RSA,2:32
Steal,4.0,1,3,CHN,1.0,SUN Y,0,3 - 0,152,CHN,2:32
5m shot - Missed,11.0,1,3,CHN,1.0,ZHANG C,0,3 - 0,135,CHN,2:15
5m shot - Goal,8.0,1,4,CHN,1.0,XU L,0,4 - 0,97,CHN,1:37
Turnover foul,10.0,1,4,CHN,1.0,KEET M,0,4 - 0,70,RSA,1:10
Steal,12.0,1,4,CHN,1.0,XIA Q,0,4 - 0,70,CHN,1:10
5m shot - Saved,11.0,1,4,CHN,1.0,ZHANG C,0,4 - 0,44,CHN,0:44
Action shot - Saved,10.0,1,4,CHN,1.0,KEET M,0,4 - 0,14,RSA,0:14
5m shot - Missed,11.0,1,4,CHN,1.0,ZHANG C,0,4 - 0,4,CHN,0:04
Starting goalkeeper,1.0,1,4,CHN,2.0,YANG J,0,4 - 0,480,CHN,8:00
Starting goalkeeper,1.0,1,4,CHN,2.0,JACOBS A,0,4 - 0,480,RSA,8:00
Sprint won possession,12.0,1,4,CHN,2.0,WHITE K,0,4 - 0,480,RSA,8:00
5m shot - Post,10.0,1,4,CHN,2.0,MA H,0,4 - 0,434,CHN,7:14
20 sec. exclusion in centre,7.0,1,4,CHN,2.0,KAY K,0,4 - 0,430,RSA,7:10
Extra player shot - Goal,5.0,1,5,CHN,2.0,HE J,0,5 - 0,422,CHN,7:02
5m shot - Post,12.0,1,5,CHN,2.0,WHITE K,0,5 - 0,401,RSA,6:41
Turnover foul,8.0,1,5,CHN,2.0,KEET L,0,5 - 0,393,RSA,6:33
Steal,4.0,1,5,CHN,2.0,SUN Y,0,5 - 0,393,CHN,6:33
Counter attack - Goal,4.0,1,6,CHN,2.0,SUN Y,0,6 - 0,378,CHN,6:18
Turnover foul,2.0,1,6,CHN,2.0,SCHMIDT K,0,6 - 0,361,RSA,6:01
Steal,11.0,1,6,CHN,2.0,ZHANG C,0,6 - 0,361,CHN,6:01
20 sec. exclusion in field,6.0,1,6,CHN,2.0,SCHOOLING T,0,6 - 0,354,RSA,5:54
Extra player shot - Goal,10.0,1,7,CHN,2.0,MA H,0,7 - 0,337,CHN,5:37
Time-Out,,1,7,CHN,2.0,,0,7 - 0,337,RSA,5:37
Action shot - Missed,2.0,1,7,CHN,2.0,SCHMIDT K,0,7 - 0,312,RSA,5:12
20 sec. exclusion in centre,3.0,1,7,CHN,2.0,PALEY K,0,7 - 0,288,RSA,4:48
Turnover foul,10.0,1,7,CHN,2.0,MA H,0,7 - 0,269,CHN,4:29
Steal,8.0,1,7,CHN,2.0,KEET L,0,7 - 0,269,RSA,4:29
5m shot - Saved,9.0,1,7,CHN,2.0,MEI X,0,7 - 0,211,CHN,3:31
Centre shot - Missed,6.0,1,7,CHN,2.0,SUN Y,0,7 - 0,189,CHN,3:09
Centre shot - Saved,8.0,1,7,CHN,2.0,KEET L,0,7 - 0,165,RSA,2:45
Turnover foul,6.0,1,7,CHN,2.0,SUN Y,0,7 - 0,145,CHN,2:25
Action shot - Post,2.0,1,7,CHN,2.0,SCHMIDT K,0,7 - 0,118,RSA,1:58
5m shot - Missed,9.0,1,7,CHN,2.0,MEI X,0,7 - 0,97,CHN,1:37
Counter attack - Goal,10.0,1,8,CHN,2.0,MA H,0,8 - 0,61,CHN,1:01
5m shot - Saved,11.0,1,8,CHN,2.0,KILLEEN L,0,8 - 0,47,RSA,0:47
Turnover foul,5.0,1,8,CHN,2.0,HE J,0,8 - 0,25,CHN,0:25
Turnover foul,7.0,1,8,CHN,2.0,KAY K,0,8 - 0,5,RSA,0:05
5m shot - Saved,1.0,1,8,CHN,2.0,YANG J,0,8 - 0,1,CHN,0:01
Starting goalkeeper,1.0,1,8,CHN,3.0,JACOBS A,0,8 - 0,480,RSA,8:00
Starting goalkeeper,13.0,1,8,CHN,3.0,WANG Y,0,8 - 0,480,CHN,8:00
Sprint won possession,11.0,1,8,CHN,3.0,KILLEEN L,0,8 - 0,480,RSA,8:00
Turnover foul,4.0,1,8,CHN,3.0,RAWSTRON C,0,8 - 0,463,RSA,7:43
20 sec. exclusion in centre,9.0,1,8,CHN,3.0,CHRISTIAN D,0,8 - 0,441,RSA,7:21
Extra player shot - Goal,6.0,1,9,CHN,3.0,SUN Y,0,9 - 0,436,CHN,7:16
5m shot - Missed,9.0,1,9,CHN,3.0,CHRISTIAN D,0,9 - 0,412,RSA,6:52
Penalty foul,9.0,1,9,CHN,3.0,CHRISTIAN D,0,9 - 0,400,RSA,6:40
Penalty shot - Goal,7.0,1,10,CHN,3.0,SONG D,0,10 - 0,400,CHN,6:40
5m shot - Saved,12.0,1,10,CHN,3.0,WHITE K,0,10 - 0,384,RSA,6:24
5m shot - Post,12.0,1,10,CHN,3.0,WHITE K,0,10 - 0,369,RSA,6:09
Turnover foul,4.0,1,10,CHN,3.0,SUN Y,0,10 - 0,355,CHN,5:55
Steal,2.0,1,10,CHN,3.0,SCHMIDT K,0,10 - 0,355,RSA,5:55
Turnover foul,8.0,1,10,CHN,3.0,KEET L,0,10 - 0,338,RSA,5:38
Steal,2.0,1,10,CHN,3.0,TENG F,0,10 - 0,338,CHN,5:38
Turnover foul,11.0,1,10,CHN,3.0,ZHANG C,0,10 - 0,320,CHN,5:20
Steal,5.0,1,10,CHN,3.0,SCHOOLING M,0,10 - 0,320,RSA,5:20
5m shot - Post,12.0,1,10,CHN,3.0,WHITE K,0,10 - 0,293,RSA,4:53
20 sec. exclusion in centre,2.0,1,10,CHN,3.0,SCHMIDT K,0,10 - 0,272,RSA,4:32
Turnover foul,7.0,1,10,CHN,3.0,SONG D,0,10 - 0,254,CHN,4:14
Steal,8.0,1,10,CHN,3.0,KEET L,0,10 - 0,254,RSA,4:14
Turnover foul,7.0,1,10,CHN,3.0,KAY K,0,10 - 0,214,RSA,3:34
20 sec. exclusion in centre,8.0,1,10,CHN,3.0,KEET L,0,10 - 0,214,RSA,3:34
Time-Out,,1,10,CHN,3.0,,0,10 - 0,214,CHN,3:34
Extra player shot - Goal,10.0,1,11,CHN,3.0,MA H,0,11 - 0,198,CHN,3:18
5m shot - Blocked,12.0,1,11,CHN,3.0,WHITE K,0,11 - 0,180,RSA,3:00
Turnover foul,12.0,1,11,CHN,3.0,XIA Q,0,11 - 0,154,CHN,2:34
Steal,12.0,1,11,CHN,3.0,WHITE K,0,11 - 0,154,RSA,2:34
5m shot - Saved,12.0,1,11,CHN,3.0,WHITE K,0,11 - 0,125,RSA,2:05
Action shot - Saved,11.0,1,11,CHN,3.0,KILLEEN L,0,11 - 0,107,RSA,1:47
5m shot - Goal,8.0,1,12,CHN,3.0,XU L,0,12 - 0,89,CHN,1:29
Action shot - Saved,10.0,1,12,CHN,3.0,KEET M,0,12 - 0,73,RSA,1:13
5m shot - Blocked,12.0,1,12,CHN,3.0,WHITE K,0,12 - 0,59,RSA,0:59
5m shot - Saved,6.0,1,12,CHN,3.0,SUN Y,0,12 - 0,45,CHN,0:45
5m shot - Saved,12.0,1,12,CHN,3.0,WHITE K,0,12 - 0,15,RSA,0:15
5m shot - Saved,12.0,1,12,CHN,3.0,WHITE K,0,12 - 0,9,RSA,0:09
5m shot - Goal,10.0,1,13,CHN,3.0,MA H,0,13 - 0,6,CHN,0:06
Starting goalkeeper,1.0,1,13,CHN,4.0,JACOBS A,0,13 - 0,480,RSA,8:00
Starting goalkeeper,13.0,1,13,CHN,4.0,WANG Y,0,13 - 0,480,CHN,8:00
Sprint won possession,7.0,1,13,CHN,4.0,SONG D,0,13 - 0,480,CHN,8:00
5m shot - Post,11.0,1,13,CHN,4.0,ZHANG C,0,13 - 0,450,CHN,7:30
Turnover foul,8.0,1,13,CHN,4.0,KEET L,0,13 - 0,415,RSA,6:55
