Action,Cap,Game,Opponent,Opponent name,Period,Player,RUS,Score,Seconds,Team,Time
Starting goalkeeper,1.0,1,0,UZB,1.0,DUKHANOVA E,0,0 - 0,480,UZB,8:00
Starting goalkeeper,1.0,1,0,UZB,1.0,USTYUKHINA A,0,0 - 0,480,RUS,8:00
Sprint won possession,3.0,1,0,UZB,1.0,PROKOFYEVA E,0,0 - 0,480,RUS,8:00
20 sec. exclusion in field,3.0,1,0,UZB,1.0,SARANCHA A,0,0 - 0,475,UZB,7:55
Centre shot - Saved,9.0,1,0,UZB,1.0,TIMOFEEVA A,0,0 - 0,436,RUS,7:16
Action shot - Goal,3.0,1,0,UZB,1.0,PROKOFYEVA E,1,1 - 0,412,RUS,6:52
Action shot - Missed,10.0,1,0,UZB,1.0,ZINUROVA A,1,1 - 0,390,UZB,6:30
Action shot - Goal,10.0,1,0,UZB,1.0,BELIAEVA O,2,2 - 0,375,RUS,6:15
Turnover foul,9.0,1,0,UZB,1.0,HALIKOVA R,2,2 - 0,354,UZB,5:54
Steal,10.0,1,0,UZB,1.0,BELIAEVA O,2,2 - 0,354,RUS,5:54
Action shot - Saved,7.0,1,0,UZB,1.0,PLYUSOVA N,2,2 - 0,331,UZB,5:31
Centre shot - Goal,3.0,1,1,UZB,1.0,SARANCHA A,2,2 - 1,316,UZB,5:16
Turnover foul,9.0,1,1,UZB,1.0,TIMOFEEVA A,2,2 - 1,300,RUS,5:00
Steal,9.0,1,1,UZB,1.0,HALIKOVA R,2,2 - 1,300,UZB,5:00
Turnover foul,2.0,1,1,UZB,1.0,DADABAEVA D,2,2 - 1,282,UZB,4:42
Steal,11.0,1,1,UZB,1.0,IVANOVA E,2,2 - 1,282,RUS,4:42
20 sec. exclusion in field,5.0,1,1,UZB,1.0,IVANOVA E,2,2 - 1,269,UZB,4:29
Extra player shot - Saved,5.0,1,1,UZB,1.0,ANTONOVA A,2,2 - 1,251,RUS,4:11
Action shot - Post,5.0,1,1,UZB,1.0,ANTONOVA A,2,2 - 1,244,RUS,4:04
Turnover foul,10.0,1,1,UZB,1.0,ZINUROVA A,2,2 - 1,229,UZB,3:49
Steal,1.0,1,1,UZB,1.0,USTYUKHINA A,2,2 - 1,229,RUS,3:49
Counter attack - Goal,6.0,1,1,UZB,1.0,BELOVA O,3,3 - 1,214,RUS,3:34
Turnover foul,5.0,1,1,UZB,1.0,IVANOVA E,3,3 - 1,193,UZB,3:13
Turnover foul,2.0,1,1,UZB,1.0,ANTONOVA D,3,3 - 1,176,RUS,2:56
Steal,7.0,1,1,UZB,1.0,PLYUSOVA N,3,3 - 1,176,UZB,2:56
Turnover foul,10.0,1,1,UZB,1.0,ZINUROVA A,3,3 - 1,168,UZB,2:48
Steal,8.0,1,1,UZB,1.0,GRINEVA A,3,3 - 1,168,RUS,2:48
20 sec. exclusion in field,11.0,1,1,UZB,1.0,HAMITOVA G,3,3 - 1,160,UZB,2:40
Extra player shot - Post,8.0,1,1,UZB,1.0,GRINEVA A,3,3 - 1,146,RUS,2:26
Extra player shot - Goal,5.0,1,1,UZB,1.0,ANTONOVA A,4,4 - 1,144,RUS,2:24
20 sec. exclusion in centre,8.0,1,1,UZB,1.0,GRINEVA A,4,4 - 1,133,RUS,2:13
Extra player shot - Saved,3.0,1,1,UZB,1.0,SARANCHA A,4,4 - 1,112,UZB,1:52
5m shot,8.0,1,1,UZB,1.0,GRINEVA A,4,4 - 1,84,RUS,1:24
Turnover foul,7.0,1,1,UZB,1.0,PLYUSOVA N,4,4 - 1,63,UZB,1:03
Steal,5.0,1,1,UZB,1.0,ANTONOVA A,4,4 - 1,63,RUS,1:03
5m shot - Goal,5.0,1,1,UZB,1.0,ANTONOVA A,5,5 - 1,54,RUS,0:54
Turnover foul,7.0,1,1,UZB,1.0,TANKEEVA E,5,5 - 1,14,RUS,0:14
20 sec. exclusion in field,7.0,1,1,UZB,1.0,TANKEEVA E,5,5 - 1,14,RUS,0:14
Extra player shot - Blocked,3.0,1,1,UZB,1.0,SARANCHA A,5,5 - 1,1,UZB,0:01
Starting goalkeeper,1.0,1,1,UZB,2.0,DUKHANOVA E,5,5 - 1,480,UZB,8:00
Starting goalkeeper,1.0,1,1,UZB,2.0,USTYUKHINA A,5,5 - 1,480,RUS,8:00
Sprint won possession,6.0,1,1,UZB,2.0,BELOVA O,5,5 - 1,480,RUS,8:00
Action shot - Goal,11.0,1,1,UZB,2.0,IVANOVA E,6,6 - 1,460,RUS,7:40
Turnover foul,9.0,1,1,UZB,2.0,HALIKOVA R,6,6 - 1,441,UZB,7:21
Steal,6.0,1,1,UZB,2.0,BELOVA O,6,6 - 1,441,RUS,7:21
Counter attack - Goal,11.0,1,1,UZB,2.0,IVANOVA E,7,7 - 1,430,RUS,7:10
Turnover foul,9.0,1,1,UZB,2.0,HALIKOVA R,7,7 - 1,404,UZB,6:44
Steal,1.0,1,1,UZB,2.0,DUKHANOVA E,7,7 - 1,404,UZB,6:44
Turnover foul,8.0,1,1,UZB,2.0,SHCHEGLOVA A,7,7 - 1,357,UZB,5:57
Action shot - Saved,11.0,1,1,UZB,2.0,IVANOVA E,7,7 - 1,349,RUS,5:49
Turnover foul,4.0,1,1,UZB,2.0,KARIMOVA E,7,7 - 1,346,RUS,5:46
Turnover foul,1.0,1,1,UZB,2.0,DUKHANOVA E,7,7 - 1,327,UZB,5:27
Steal,11.0,1,1,UZB,2.0,IVANOVA E,7,7 - 1,327,RUS,5:27
Turnover foul,6.0,1,1,UZB,2.0,MOROZOVA E,7,7 - 1,298,UZB,4:58
Steal,11.0,1,1,UZB,2.0,IVANOVA E,7,7 - 1,298,RUS,4:58
Counter attack - Goal,4.0,1,1,UZB,2.0,KARIMOVA E,8,8 - 1,287,RUS,4:47
Turnover foul,7.0,1,1,UZB,2.0,PLYUSOVA N,8,8 - 1,275,UZB,4:35
Action shot - Goal,12.0,1,1,UZB,2.0,ZELENTSOVA E,9,9 - 1,265,RUS,4:25
Turnover foul,3.0,1,1,UZB,2.0,SARANCHA A,9,9 - 1,250,UZB,4:10
Steal,6.0,1,1,UZB,2.0,BELOVA O,9,9 - 1,250,RUS,4:10
Turnover foul,11.0,1,1,UZB,2.0,IVANOVA E,9,9 - 1,239,RUS,3:59
Steal,1.0,1,1,UZB,2.0,DUKHANOVA E,9,9 - 1,239,UZB,3:59
Turnover foul,3.0,1,1,UZB,2.0,SARANCHA A,9,9 - 1,210,UZB,3:30
