Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,USA
Starting goalkeeper,1.0,1,0,GRE,1.0,KOUVDOU E,0 - 0,480,GRE,8:00,0
Starting goalkeeper,1.0,1,0,GRE,1.0,ARMSTRONG E,0 - 0,480,USA,8:00,0
Sprint won possession,10.0,1,0,GRE,1.0,RULON K,0 - 0,480,USA,8:00,0
5m shot - Blocked,5.0,1,0,GRE,1.0,CLARK C,0 - 0,456,USA,7:36,0
Action shot - Missed,10.0,1,0,GRE,1.0,MANOLIOUDAKI T,0 - 0,429,GRE,7:09,0
Action shot - Post,5.0,1,0,GRE,1.0,CLARK C,0 - 0,405,USA,6:45,0
Action shot - Goal,8.0,1,1,GRE,1.0,ROUMPESI A,0 - 1,382,GRE,6:22,0
5m shot - Post,5.0,1,1,GRE,1.0,CLARK C,0 - 1,355,USA,5:55,0
20 sec. exclusion in centre,5.0,1,1,GRE,1.0,CLARK C,0 - 1,339,USA,5:39,0
Extra player shot - Goal,8.0,1,2,GRE,1.0,ROUMPESI A,0 - 2,319,GRE,5:19,0
5m shot - Saved,3.0,1,2,GRE,1.0,SEIDEMANN M,0 - 2,302,USA,5:02,0
Turnover foul,8.0,1,2,GRE,1.0,ROUMPESI A,0 - 2,274,GRE,4:34,0
Penalty foul,6.0,1,2,GRE,1.0,AVRAMIDOU A,0 - 2,261,GRE,4:21,0
Penalty shot - Goal,8.0,1,2,GRE,1.0,NEUSHUL K,1 - 2,261,USA,4:21,1
5m shot - Saved,2.0,1,2,GRE,1.0,TSOUKALA C,1 - 2,239,GRE,3:59,1
20 sec. exclusion in field,10.0,1,2,GRE,1.0,MANOLIOUDAKI T,1 - 2,223,GRE,3:43,1
Turnover foul,6.0,1,2,GRE,1.0,STEFFENS M,1 - 2,195,USA,3:15,1
Action shot - Saved,2.0,1,2,GRE,1.0,TSOUKALA C,1 - 2,178,GRE,2:58,1
5m shot - Missed,6.0,1,2,GRE,1.0,STEFFENS M,1 - 2,150,USA,2:30,1
Centre shot - Missed,7.0,1,2,GRE,1.0,ASIMAKI A,1 - 2,129,GRE,2:09,1
Turnover foul,8.0,1,2,GRE,1.0,NEUSHUL K,1 - 2,109,USA,1:49,1
5m shot - Saved,2.0,1,2,GRE,1.0,TSOUKALA C,1 - 2,86,GRE,1:26,1
5m shot - Post,3.0,1,2,GRE,1.0,SEIDEMANN M,1 - 2,60,USA,1:00,1
Turnover foul,7.0,1,2,GRE,1.0,ASIMAKI A,1 - 2,51,GRE,0:51,1
5m shot - Missed,4.0,1,2,GRE,1.0,FATTAL R,1 - 2,24,USA,0:24,1
Action shot - Post,6.0,1,2,GRE,1.0,AVRAMIDOU A,1 - 2,2,GRE,0:02,1
Starting goalkeeper,1.0,1,2,GRE,2.0,ARMSTRONG E,1 - 2,480,USA,8:00,1
Starting goalkeeper,1.0,1,2,GRE,2.0,KOUVDOU E,1 - 2,480,GRE,8:00,1
Sprint won possession,10.0,1,2,GRE,2.0,RULON K,1 - 2,480,USA,8:00,1
5m shot - Saved,5.0,1,2,GRE,2.0,CLARK C,1 - 2,454,USA,7:34,1
Centre shot - Missed,7.0,1,2,GRE,2.0,ASIMAKI A,1 - 2,428,GRE,7:08,1
5m shot - Goal,10.0,1,2,GRE,2.0,RULON K,2 - 2,404,USA,6:44,2
20 sec. exclusion in centre,3.0,1,2,GRE,2.0,SEIDEMANN M,2 - 2,391,USA,6:31,2
Action shot - Blocked,11.0,1,2,GRE,2.0,PLEVRITOU E,2 - 2,370,GRE,6:10,2
5m shot - Post,7.0,1,2,GRE,2.0,MATHEWSON C,2 - 2,362,USA,6:02,2
