Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,USA,Result,Goal
5m shot,5.0,1,0,GRE,1.0,CLARK C,0 - 0,456,USA,7:36,0,Blocked,0
Action shot,10.0,1,0,GRE,1.0,MANOLIOUDAKI T,0 - 0,429,GRE,7:09,0,Missed,0
Action shot,5.0,1,0,GRE,1.0,CLARK C,0 - 0,405,USA,6:45,0,Post,0
Action shot,8.0,1,1,GRE,1.0,ROUMPESI A,0 - 1,382,GRE,6:22,0,Goal,1
5m shot,5.0,1,1,GRE,1.0,CLARK C,0 - 1,355,USA,5:55,0,Post,0
Extra player shot,8.0,1,2,GRE,1.0,ROUMPESI A,0 - 2,319,GRE,5:19,0,Goal,1
5m shot,3.0,1,2,GRE,1.0,SEIDEMANN M,0 - 2,302,USA,5:02,0,Saved,0
Penalty shot,8.0,1,2,GRE,1.0,NEUSHUL K,1 - 2,261,USA,4:21,1,Goal,1
5m shot,2.0,1,2,GRE,1.0,TSOUKALA C,1 - 2,239,GRE,3:59,1,Saved,0
Action shot,2.0,1,2,GRE,1.0,TSOUKALA C,1 - 2,178,GRE,2:58,1,Saved,0
5m shot,6.0,1,2,GRE,1.0,STEFFENS M,1 - 2,150,USA,2:30,1,Missed,0
Centre shot,7.0,1,2,GRE,1.0,ASIMAKI A,1 - 2,129,GRE,2:09,1,Missed,0
5m shot,2.0,1,2,GRE,1.0,TSOUKALA C,1 - 2,86,GRE,1:26,1,Saved,0
5m shot,3.0,1,2,GRE,1.0,SEIDEMANN M,1 - 2,60,USA,1:00,1,Post,0
5m shot,4.0,1,2,GRE,1.0,FATTAL R,1 - 2,24,USA,0:24,1,Missed,0
Action shot,6.0,1,2,GRE,1.0,AVRAMIDOU A,1 - 2,2,GRE,0:02,1,Post,0
5m shot,5.0,1,2,GRE,2.0,CLARK C,1 - 2,454,USA,7:34,1,Saved,0
Centre shot,7.0,1,2,GRE,2.0,ASIMAKI A,1 - 2,428,GRE,7:08,1,Missed,0
5m shot,10.0,1,2,GRE,2.0,RULON K,2 - 2,404,USA,6:44,2,Goal,1
Action shot,11.0,1,2,GRE,2.0,PLEVRITOU E,2 - 2,370,GRE,6:10,2,Blocked,0
5m shot,7.0,1,2,GRE,2.0,MATHEWSON C,2 - 2,362,USA,6:02,2,Post,0
Action shot,8.0,1,2,GRE,2.0,ROUMPESI A,2 - 2,328,GRE,5:28,2,Post,0
Counter attack,11.0,1,2,GRE,2.0,DRIES A,2 - 2,316,USA,5:16,2,Saved,0
5m shot,7.0,1,2,GRE,2.0,MATHEWSON C,3 - 2,275,USA,4:35,3,Goal,1
Extra player shot,8.0,1,2,GRE,2.0,ROUMPESI A,3 - 2,245,GRE,4:05,3,Blocked,0
Action shot,11.0,1,2,GRE,2.0,DRIES A,3 - 2,217,USA,3:37,3,Saved,0
Action shot,8.0,1,2,GRE,2.0,ROUMPESI A,3 - 2,194,GRE,3:14,3,Saved,0
Action shot,6.0,1,3,GRE,2.0,AVRAMIDOU A,3 - 3,175,GRE,2:55,3,Goal,1
Centre shot,12.0,1,3,GRE,2.0,CRAIG K,3 - 3,153,USA,2:33,3,Missed,0
