Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,UZB
Starting goalkeeper,1.0,1,0,RUS,1.0,DUKHANOVA E,0 - 0,480,UZB,8:00,0
Starting goalkeeper,1.0,1,0,RUS,1.0,USTYUKHINA A,0 - 0,480,RUS,8:00,0
Sprint won possession,3.0,1,0,RUS,1.0,PROKOFYEVA E,0 - 0,480,RUS,8:00,0
20 sec. exclusion in field,3.0,1,0,RUS,1.0,SARANCHA A,0 - 0,475,UZB,7:55,0
Centre shot - Saved,9.0,1,0,RUS,1.0,TIMOFEEVA A,0 - 0,436,RUS,7:16,0
Action shot - Goal,3.0,1,1,RUS,1.0,PROKOFYEVA E,1 - 0,412,RUS,6:52,0
Action shot - Missed,10.0,1,1,RUS,1.0,ZINUROVA A,1 - 0,390,UZB,6:30,0
Action shot - Goal,10.0,1,2,RUS,1.0,BELIAEVA O,2 - 0,375,RUS,6:15,0
Turnover foul,9.0,1,2,RUS,1.0,HALIKOVA R,2 - 0,354,UZB,5:54,0
Steal,10.0,1,2,RUS,1.0,BELIAEVA O,2 - 0,354,RUS,5:54,0
Action shot - Saved,7.0,1,2,RUS,1.0,PLYUSOVA N,2 - 0,331,UZB,5:31,0
Centre shot - Goal,3.0,1,2,RUS,1.0,SARANCHA A,2 - 1,316,UZB,5:16,1
Turnover foul,9.0,1,2,RUS,1.0,TIMOFEEVA A,2 - 1,300,RUS,5:00,1
Steal,9.0,1,2,RUS,1.0,HALIKOVA R,2 - 1,300,UZB,5:00,1
Turnover foul,2.0,1,2,RUS,1.0,DADABAEVA D,2 - 1,282,UZB,4:42,1
Steal,11.0,1,2,RUS,1.0,IVANOVA E,2 - 1,282,RUS,4:42,1
20 sec. exclusion in field,5.0,1,2,RUS,1.0,IVANOVA E,2 - 1,269,UZB,4:29,1
Extra player shot - Saved,5.0,1,2,RUS,1.0,ANTONOVA A,2 - 1,251,RUS,4:11,1
Action shot - Post,5.0,1,2,RUS,1.0,ANTONOVA A,2 - 1,244,RUS,4:04,1
Turnover foul,10.0,1,2,RUS,1.0,ZINUROVA A,2 - 1,229,UZB,3:49,1
Steal,1.0,1,2,RUS,1.0,USTYUKHINA A,2 - 1,229,RUS,3:49,1
Counter attack - Goal,6.0,1,3,RUS,1.0,BELOVA O,3 - 1,214,RUS,3:34,1
Turnover foul,5.0,1,3,RUS,1.0,IVANOVA E,3 - 1,193,UZB,3:13,1
Turnover foul,2.0,1,3,RUS,1.0,ANTONOVA D,3 - 1,176,RUS,2:56,1
Steal,7.0,1,3,RUS,1.0,PLYUSOVA N,3 - 1,176,UZB,2:56,1
Turnover foul,10.0,1,3,RUS,1.0,ZINUROVA A,3 - 1,168,UZB,2:48,1
Steal,8.0,1,3,RUS,1.0,GRINEVA A,3 - 1,168,RUS,2:48,1
20 sec. exclusion in field,11.0,1,3,RUS,1.0,HAMITOVA G,3 - 1,160,UZB,2:40,1
Extra player shot - Post,8.0,1,3,RUS,1.0,GRINEVA A,3 - 1,146,RUS,2:26,1
Extra player shot - Goal,5.0,1,4,RUS,1.0,ANTONOVA A,4 - 1,144,RUS,2:24,1
20 sec. exclusion in centre,8.0,1,4,RUS,1.0,GRINEVA A,4 - 1,133,RUS,2:13,1
Extra player shot - Saved,3.0,1,4,RUS,1.0,SARANCHA A,4 - 1,112,UZB,1:52,1
5m shot,8.0,1,4,RUS,1.0,GRINEVA A,4 - 1,84,RUS,1:24,1
Turnover foul,7.0,1,4,RUS,1.0,PLYUSOVA N,4 - 1,63,UZB,1:03,1
Steal,5.0,1,4,RUS,1.0,ANTONOVA A,4 - 1,63,RUS,1:03,1
5m shot - Goal,5.0,1,5,RUS,1.0,ANTONOVA A,5 - 1,54,RUS,0:54,1
Turnover foul,7.0,1,5,RUS,1.0,TANKEEVA E,5 - 1,14,RUS,0:14,1
20 sec. exclusion in field,7.0,1,5,RUS,1.0,TANKEEVA E,5 - 1,14,RUS,0:14,1
Extra player shot - Blocked,3.0,1,5,RUS,1.0,SARANCHA A,5 - 1,1,UZB,0:01,1
Starting goalkeeper,1.0,1,5,RUS,2.0,DUKHANOVA E,5 - 1,480,UZB,8:00,1
Starting goalkeeper,1.0,1,5,RUS,2.0,USTYUKHINA A,5 - 1,480,RUS,8:00,1
Sprint won possession,6.0,1,5,RUS,2.0,BELOVA O,5 - 1,480,RUS,8:00,1
Action shot - Goal,11.0,1,6,RUS,2.0,IVANOVA E,6 - 1,460,RUS,7:40,1
Turnover foul,9.0,1,6,RUS,2.0,HALIKOVA R,6 - 1,441,UZB,7:21,1
Steal,6.0,1,6,RUS,2.0,BELOVA O,6 - 1,441,RUS,7:21,1
Counter attack - Goal,11.0,1,7,RUS,2.0,IVANOVA E,7 - 1,430,RUS,7:10,1
Turnover foul,9.0,1,7,RUS,2.0,HALIKOVA R,7 - 1,404,UZB,6:44,1
Steal,1.0,1,7,RUS,2.0,DUKHANOVA E,7 - 1,404,UZB,6:44,1
Turnover foul,8.0,1,7,RUS,2.0,SHCHEGLOVA A,7 - 1,357,UZB,5:57,1
Action shot - Saved,11.0,1,7,RUS,2.0,IVANOVA E,7 - 1,349,RUS,5:49,1
Turnover foul,4.0,1,7,RUS,2.0,KARIMOVA E,7 - 1,346,RUS,5:46,1
Turnover foul,1.0,1,7,RUS,2.0,DUKHANOVA E,7 - 1,327,UZB,5:27,1
Steal,11.0,1,7,RUS,2.0,IVANOVA E,7 - 1,327,RUS,5:27,1
Turnover foul,6.0,1,7,RUS,2.0,MOROZOVA E,7 - 1,298,UZB,4:58,1
Steal,11.0,1,7,RUS,2.0,IVANOVA E,7 - 1,298,RUS,4:58,1
Counter attack - Goal,4.0,1,8,RUS,2.0,KARIMOVA E,8 - 1,287,RUS,4:47,1
Turnover foul,7.0,1,8,RUS,2.0,PLYUSOVA N,8 - 1,275,UZB,4:35,1
Action shot - Goal,12.0,1,9,RUS,2.0,ZELENTSOVA E,9 - 1,265,RUS,4:25,1
Turnover foul,3.0,1,9,RUS,2.0,SARANCHA A,9 - 1,250,UZB,4:10,1
Steal,6.0,1,9,RUS,2.0,BELOVA O,9 - 1,250,RUS,4:10,1
Turnover foul,11.0,1,9,RUS,2.0,IVANOVA E,9 - 1,239,RUS,3:59,1
Steal,1.0,1,9,RUS,2.0,DUKHANOVA E,9 - 1,239,UZB,3:59,1
Turnover foul,3.0,1,9,RUS,2.0,SARANCHA A,9 - 1,210,UZB,3:30,1
Steal,3.0,1,9,RUS,2.0,PROKOFYEVA E,9 - 1,210,RUS,3:30,1
Action shot - Goal,10.0,1,10,RUS,2.0,BELIAEVA O,10 - 1,191,RUS,3:11,1
Turnover foul,7.0,1,10,RUS,2.0,PLYUSOVA N,10 - 1,171,UZB,2:51,1
5m shot - Goal,5.0,1,11,RUS,2.0,ANTONOVA A,11 - 1,141,RUS,2:21,1
Penalty foul,6.0,1,11,RUS,2.0,BELOVA O,11 - 1,128,RUS,2:08,1
Penalty shot - Saved,7.0,1,11,RUS,2.0,PLYUSOVA N,11 - 1,128,UZB,2:08,1
5m shot - Blocked,2.0,1,11,RUS,2.0,ANTONOVA D,11 - 1,107,RUS,1:47,1
Turnover foul,3.0,1,11,RUS,2.0,SARANCHA A,11 - 1,78,UZB,1:18,1
Steal,6.0,1,11,RUS,2.0,BELOVA O,11 - 1,78,RUS,1:18,1
Turnover foul,2.0,1,11,RUS,2.0,ANTONOVA D,11 - 1,64,RUS,1:04,1
Steal,1.0,1,11,RUS,2.0,DUKHANOVA E,11 - 1,64,UZB,1:04,1
Action shot - Blocked,6.0,1,11,RUS,2.0,BELOVA O,11 - 1,28,RUS,0:28,1
Centre shot - Goal,3.0,1,11,RUS,2.0,SARANCHA A,11 - 2,16,UZB,0:16,2
Turnover foul,9.0,1,11,RUS,2.0,TIMOFEEVA A,11 - 2,4,RUS,0:04,2
Steal,10.0,1,11,RUS,2.0,ZINUROVA A,11 - 2,4,UZB,0:04,2
Starting goalkeeper,1.0,1,11,RUS,3.0,USTYUKHINA A,11 - 2,480,RUS,8:00,2
Starting goalkeeper,1.0,1,11,RUS,3.0,DUKHANOVA E,11 - 2,480,UZB,8:00,2
Sprint won possession,3.0,1,11,RUS,3.0,PROKOFYEVA E,11 - 2,13,RUS,0:13,2
