Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
DADABAEVA D,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
DJUMALIEVA A,2,1,0,1,0,0,0,1,0,0,0,0,0,2,1
DJUMALIEVA A,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
HALIKOVA R,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1
HALIKOVA R,2,1,0,0,0,1,0,0,0,0,0,0,0,2,0
HALIKOVA R,3,2,1,0,0,1,1,1,1,0,0,0,0,5,2
HALIKOVA R,4,0,2,0,0,0,0,0,0,0,0,0,0,2,0
HAMITOVA G,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0
MOROZOVA E,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
PLYUSOVA N,1,0,1,0,1,1,1,0,0,0,0,1,0,4,1
PLYUSOVA N,2,2,2,0,0,1,0,0,1,0,0,0,0,5,1
PLYUSOVA N,3,2,1,0,0,2,0,1,0,0,0,1,0,5,2
PLYUSOVA N,4,3,0,1,0,0,0,0,0,0,0,0,0,4,0
SARANCHA A,1,0,0,3,0,2,0,0,0,2,0,0,0,5,2
SARANCHA A,2,1,0,3,0,0,1,0,0,0,0,0,1,5,1
SARANCHA A,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
SARANCHA A,4,1,1,1,0,0,1,0,0,1,0,0,1,4,2
SHCHEGLOVA A,3,1,0,1,0,0,0,0,0,0,0,0,0,2,0
ZINUROVA A,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0
ZINUROVA A,2,3,0,0,0,0,0,0,0,0,0,0,0,3,0
ZINUROVA A,3,1,1,0,0,0,0,0,0,0,0,0,0,2,0
