Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,UZB,Result,Goal
Centre shot,9.0,1,0,RUS,1.0,TIMOFEEVA A,0 - 0,436,RUS,7:16,0,Saved,0
Action shot,3.0,1,1,RUS,1.0,PROKOFYEVA E,1 - 0,412,RUS,6:52,0,Goal,1
Action shot,10.0,1,1,RUS,1.0,ZINUROVA A,1 - 0,390,UZB,6:30,0,Missed,0
Action shot,10.0,1,2,RUS,1.0,BELIAEVA O,2 - 0,375,RUS,6:15,0,Goal,1
Action shot,7.0,1,2,RUS,1.0,PLYUSOVA N,2 - 0,331,UZB,5:31,0,Saved,0
Centre shot,3.0,1,2,RUS,1.0,SARANCHA A,2 - 1,316,UZB,5:16,1,Goal,1
Extra player shot,5.0,1,2,RUS,1.0,ANTONOVA A,2 - 1,251,RUS,4:11,1,Saved,0
Action shot,5.0,1,2,RUS,1.0,ANTONOVA A,2 - 1,244,RUS,4:04,1,Post,0
Counter attack,6.0,1,3,RUS,1.0,BELOVA O,3 - 1,214,RUS,3:34,1,Goal,1
Extra player shot,8.0,1,3,RUS,1.0,GRINEVA A,3 - 1,146,RUS,2:26,1,Post,0
Extra player shot,5.0,1,4,RUS,1.0,ANTONOVA A,4 - 1,144,RUS,2:24,1,Goal,1
Extra player shot,3.0,1,4,RUS,1.0,SARANCHA A,4 - 1,112,UZB,1:52,1,Saved,0
5m shot,8.0,1,4,RUS,1.0,GRINEVA A,4 - 1,84,RUS,1:24,1,,0
5m shot,5.0,1,5,RUS,1.0,ANTONOVA A,5 - 1,54,RUS,0:54,1,Goal,1
Extra player shot,3.0,1,5,RUS,1.0,SARANCHA A,5 - 1,1,UZB,0:01,1,Blocked,0
Action shot,11.0,1,6,RUS,2.0,IVANOVA E,6 - 1,460,RUS,7:40,1,Goal,1
Counter attack,11.0,1,7,RUS,2.0,IVANOVA E,7 - 1,430,RUS,7:10,1,Goal,1
Action shot,11.0,1,7,RUS,2.0,IVANOVA E,7 - 1,349,RUS,5:49,1,Saved,0
Counter attack,4.0,1,8,RUS,2.0,KARIMOVA E,8 - 1,287,RUS,4:47,1,Goal,1
Action shot,12.0,1,9,RUS,2.0,ZELENTSOVA E,9 - 1,265,RUS,4:25,1,Goal,1
Action shot,10.0,1,10,RUS,2.0,BELIAEVA O,10 - 1,191,RUS,3:11,1,Goal,1
5m shot,5.0,1,11,RUS,2.0,ANTONOVA A,11 - 1,141,RUS,2:21,1,Goal,1
Penalty shot,7.0,1,11,RUS,2.0,PLYUSOVA N,11 - 1,128,UZB,2:08,1,Saved,0
5m shot,2.0,1,11,RUS,2.0,ANTONOVA D,11 - 1,107,RUS,1:47,1,Blocked,0
Action shot,6.0,1,11,RUS,2.0,BELOVA O,11 - 1,28,RUS,0:28,1,Blocked,0
Centre shot,3.0,1,11,RUS,2.0,SARANCHA A,11 - 2,16,UZB,0:16,2,Goal,1
Action shot,5.0,1,11,RUS,3.0,ANTONOVA A,11 - 2,464,RUS,7:44,2,Missed,0
Extra player shot,3.0,1,12,RUS,3.0,PROKOFYEVA E,12 - 2,413,RUS,6:53,2,Goal,1
5m shot,10.0,1,12,RUS,3.0,ZINUROVA A,12 - 2,388,UZB,6:28,2,Saved,0
5m shot,12.0,1,12,RUS,3.0,ZELENTSOVA E,12 - 2,368,RUS,6:08,2,Saved,0
Counter attack,7.0,1,12,RUS,3.0,PLYUSOVA N,12 - 2,356,UZB,5:56,2,Post,0
Counter attack,3.0,1,13,RUS,3.0,PROKOFYEVA E,13 - 2,339,RUS,5:39,2,Goal,1
Action shot,10.0,1,14,RUS,3.0,BELIAEVA O,14 - 2,302,RUS,5:02,2,Goal,1
Centre shot,3.0,1,14,RUS,3.0,SARANCHA A,14 - 2,272,UZB,4:32,2,Saved,0
5m shot,4.0,1,14,RUS,3.0,KARIMOVA E,14 - 2,248,RUS,4:08,2,Post,0
Counter attack,3.0,1,15,RUS,3.0,PROKOFYEVA E,15 - 2,211,RUS,3:31,2,Goal,1
Extra player shot,9.0,1,15,RUS,3.0,HALIKOVA R,15 - 3,177,UZB,2:57,3,Goal,1
Action shot,11.0,1,15,RUS,3.0,IVANOVA E,15 - 3,156,RUS,2:36,3,Post,0
Extra player shot,7.0,1,15,RUS,3.0,PLYUSOVA N,15 - 4,130,UZB,2:10,4,Goal,1
Extra player shot,6.0,1,16,RUS,3.0,BELOVA O,16 - 4,98,RUS,1:38,4,Goal,1
5m shot,2.0,1,16,RUS,3.0,ANTONOVA D,16 - 4,1,RUS,0:01,4,Saved,0
Penalty shot,3.0,1,17,RUS,4.0,PROKOFYEVA E,17 - 4,465,RUS,7:45,4,Goal,1
Counter attack,10.0,1,18,RUS,4.0,BELIAEVA O,18 - 4,437,RUS,7:17,4,Goal,1
Action shot,6.0,1,18,RUS,4.0,BELOVA O,18 - 4,399,RUS,6:39,4,Saved,0
Action shot,4.0,1,18,RUS,4.0,KARIMOVA E,18 - 4,397,RUS,6:37,4,Post,0
Counter attack,10.0,1,18,RUS,4.0,BELIAEVA O,18 - 4,370,RUS,6:10,4,Post,0
5m shot,11.0,2,1,NED,1.0,KLAASSEN L,0 - 1,440,NED,7:20,0,Goal,1
5m shot,7.0,2,2,NED,1.0,van BELKUM I,0 - 2,394,NED,6:34,0,Goal,1
Penalty shot,3.0,2,2,NED,1.0,SARANCHA A,1 - 2,382,UZB,6:22,1,Goal,1
5m shot,10.0,2,3,NED,1.0,GENEE D,1 - 3,364,NED,6:04,1,Goal,1
Extra player shot,9.0,2,4,NED,1.0,SLAGTER C,1 - 4,332,NED,5:32,1,Goal,1
Centre shot,2.0,2,5,NED,1.0,SMIT Y,1 - 5,293,NED,4:53,1,Goal,1
Centre shot,12.0,2,6,NED,1.0,van der MOLEN l,1 - 6,249,NED,4:09,1,Goal,1
Centre shot,8.0,2,6,NED,1.0,SEVENICH V,1 - 6,210,NED,3:30,1,Saved,0
Centre shot,8.0,2,7,NED,1.0,SEVENICH V,1 - 7,165,NED,2:45,1,Goal,1
Counter attack,8.0,2,7,NED,1.0,SEVENICH V,1 - 7,121,NED,2:01,1,Post,0
Action shot,7.0,2,7,NED,1.0,PLYUSOVA N,1 - 7,94,UZB,1:34,1,Blocked,0
5m shot,2.0,2,7,NED,1.0,SMIT Y,1 - 7,76,NED,1:16,1,Post,0
5m shot,7.0,2,7,NED,1.0,PLYUSOVA N,1 - 7,49,UZB,0:49,1,Saved,0
