ARG,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
0,Starting goalkeeper,1.0,1,0,RSA,1.0,FLATSCHER D,0 - 0,480,RSA,8:00
0,Starting goalkeeper,1.0,1,0,RSA,1.0,MALNERO D,0 - 0,480,ARG,8:00
0,Sprint won possession,11.0,1,0,RSA,1.0,MOLYNEUX N,0 - 0,480,RSA,8:00
0,20 sec. exclusion in centre,9.0,1,0,RSA,1.0,CARABANTES I,0 - 0,462,ARG,7:42
0,Turnover foul,3.0,1,0,RSA,1.0,CARD D,0 - 0,436,RSA,7:16
0,20 sec. exclusion in centre,3.0,1,0,RSA,1.0,CARD D,0 - 0,415,RSA,6:55
0,Extra player shot - Post,9.0,1,0,RSA,1.0,CARABANTES I,0 - 0,388,ARG,6:28
0,Penalty foul,5.0,1,0,RSA,1.0,LOPEZ E,0 - 0,375,ARG,6:15
0,Penalty shot - Goal,10.0,1,1,RSA,1.0,LE ROUX P,1 - 0,375,RSA,6:15
0,5m shot - Saved,6.0,1,1,RSA,1.0,BULGHERONI T,1 - 0,343,ARG,5:43
0,20 sec. exclusion in centre,12.0,1,1,RSA,1.0,YANEZ G,1 - 0,327,ARG,5:27
0,Extra player shot - Goal,2.0,1,2,RSA,1.0,LE ROUX E,2 - 0,304,RSA,5:04
0,5m shot - Post,2.0,1,2,RSA,1.0,VEICH R,2 - 0,292,ARG,4:52
0,20 sec. exclusion in centre,9.0,1,2,RSA,1.0,CARABANTES I,2 - 0,273,ARG,4:33
0,Extra player shot - Goal,6.0,1,3,RSA,1.0,DE CARVALHO J,3 - 0,252,RSA,4:12
0,Turnover foul,2.0,1,3,RSA,1.0,VEICH R,3 - 0,238,ARG,3:58
0,Steal,10.0,1,3,RSA,1.0,LE ROUX P,3 - 0,238,RSA,3:58
0,Centre shot - Saved,11.0,1,3,RSA,1.0,MOLYNEUX N,3 - 0,221,RSA,3:41
0,Action shot - Goal,3.0,1,4,RSA,1.0,CARD D,4 - 0,221,RSA,3:41
0,Time-Out,,1,4,RSA,1.0,,4 - 0,221,ARG,3:41
0,20 sec. exclusion in centre,11.0,1,4,RSA,1.0,MOLYNEUX N,4 - 0,209,RSA,3:29
