Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Total attempted,Total made
BULGHERONI T,1,2,2,0,0,1,0,1,0,0,0,5,1
BULGHERONI T,2,0,1,0,0,2,0,1,0,0,1,3,2
CARABANTES I,1,3,0,0,0,1,0,0,0,0,0,4,0
CARABANTES I,2,1,1,0,0,1,1,0,0,0,0,3,1
CARABANTES I,3,4,1,0,0,0,0,0,0,0,0,5,0
CARABANTES I,4,1,4,1,0,0,0,3,0,0,0,6,3
CARABANTES I,5,4,0,0,0,0,2,0,0,0,0,4,2
CORSI E,1,0,1,0,0,0,0,0,0,0,0,1,0
CORSI E,3,1,1,0,0,0,0,0,0,0,0,2,0
CORSI E,4,0,2,1,0,0,0,0,0,0,0,3,0
DASZCZYK J,4,1,0,0,0,0,0,0,0,0,0,1,0
DEMARCHI F,1,1,0,0,1,1,0,0,0,0,0,3,0
DEMARCHI F,2,0,1,0,0,0,0,0,0,0,0,1,0
DEMARCHI F,3,1,1,0,0,0,0,1,0,0,0,2,1
DEMARCHI F,4,3,2,0,1,1,0,1,0,1,1,7,3
DEMARCHI F,5,0,1,0,0,0,0,0,0,0,0,1,0
GALIMBERTI T,4,0,1,0,0,0,0,0,0,0,0,1,0
LOPEZ E,2,0,1,0,0,0,0,0,0,0,0,1,0
LOPEZ E,3,0,3,0,0,0,0,2,0,0,0,3,2
VEICH R,1,4,0,1,0,1,1,0,0,0,1,6,2
VEICH R,2,1,0,0,0,2,0,0,0,0,1,3,1
VEICH R,3,4,2,0,0,0,0,0,0,0,0,6,0
VEICH R,4,1,0,0,0,0,0,0,0,0,0,1,0
VEICH R,5,4,0,1,2,1,0,0,1,1,0,8,2
YANEZ G,1,4,2,0,0,2,1,1,0,0,1,8,3
YANEZ G,2,1,3,0,2,4,0,0,0,2,1,10,3
YANEZ G,3,2,2,0,0,0,0,1,0,0,0,4,1
YANEZ G,5,3,1,0,0,3,2,0,0,0,3,7,5
