ARG,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
0,Extra player shot,9.0,1,0,RSA,1.0,CARABANTES I,0 - 0,388,ARG,6:28,Post,0
0,Penalty shot,10.0,1,1,RSA,1.0,LE ROUX P,1 - 0,375,RSA,6:15,Goal,1
0,5m shot,6.0,1,1,RSA,1.0,BULGHERONI T,1 - 0,343,ARG,5:43,Saved,0
0,Extra player shot,2.0,1,2,RSA,1.0,LE ROUX E,2 - 0,304,RSA,5:04,Goal,1
0,5m shot,2.0,1,2,RSA,1.0,VEICH R,2 - 0,292,ARG,4:52,Post,0
0,Extra player shot,6.0,1,3,RSA,1.0,DE CARVALHO J,3 - 0,252,RSA,4:12,Goal,1
0,Centre shot,11.0,1,3,RSA,1.0,MOLYNEUX N,3 - 0,221,RSA,3:41,Saved,0
0,Action shot,3.0,1,4,RSA,1.0,CARD D,4 - 0,221,RSA,3:41,Goal,1
1,Extra player shot,12.0,1,4,RSA,1.0,YANEZ G,4 - 1,207,ARG,3:27,Goal,1
1,Extra player shot,4.0,1,5,RSA,1.0,BADENHORST I,5 - 1,170,RSA,2:50,Goal,1
1,Centre shot,10.0,1,5,RSA,1.0,LE ROUX P,5 - 1,129,RSA,2:09,Saved,0
1,Centre shot,11.0,1,5,RSA,1.0,MOLYNEUX N,5 - 1,71,RSA,1:11,Post,0
1,Penalty shot,2.0,1,6,RSA,1.0,LE ROUX E,6 - 1,71,RSA,1:11,Goal,1
2,5m shot,2.0,1,6,RSA,1.0,VEICH R,6 - 2,51,ARG,0:51,Goal,1
2,5m shot,9.0,1,6,RSA,1.0,CARABANTES I,6 - 2,13,ARG,0:13,Blocked,0
3,Action shot,12.0,1,6,RSA,2.0,YANEZ G,6 - 3,433,ARG,7:13,Goal,1
3,5m shot,10.0,1,6,RSA,2.0,LE ROUX P,6 - 3,409,RSA,6:49,Missed,0
3,Action shot,12.0,1,6,RSA,2.0,YANEZ G,6 - 3,381,ARG,6:21,Saved,0
3,Action shot,11.0,1,6,RSA,2.0,MOLYNEUX N,6 - 3,325,RSA,5:25,Saved,0
3,Extra player shot,5.0,1,7,RSA,2.0,HOCK N,7 - 3,198,RSA,3:18,Goal,1
3,5m shot,12.0,1,7,RSA,2.0,YANEZ G,7 - 3,179,ARG,2:59,Post,0
4,Extra player shot,2.0,1,7,RSA,2.0,VEICH R,7 - 4,111,ARG,1:51,Goal,1
4,Action shot,5.0,1,7,RSA,2.0,HOCK N,7 - 4,86,RSA,1:26,Blocked,0
4,5m shot,12.0,1,7,RSA,2.0,YANEZ G,7 - 4,58,ARG,0:58,Blocked,0
4,5m shot,2.0,1,7,RSA,2.0,LE ROUX E,7 - 4,17,RSA,0:17,Post,0
4,5m shot,9.0,1,7,RSA,2.0,CARABANTES I,7 - 4,7,ARG,0:07,Saved,0
4,5m shot,10.0,1,7,RSA,2.0,LE ROUX P,7 - 4,0,RSA,0:00,Missed,0
4,Extra player shot,12.0,1,7,RSA,3.0,YANEZ G,7 - 4,416,ARG,6:56,Saved,0
4,5m shot,11.0,1,7,RSA,3.0,DEMARCHI F,7 - 4,364,ARG,6:04,Saved,0
4,Extra player shot,6.0,1,7,RSA,3.0,BULGHERONI T,7 - 4,314,ARG,5:14,Blocked,0
4,Centre shot,2.0,1,7,RSA,3.0,VEICH R,7 - 4,294,ARG,4:54,Saved,0
4,Penalty shot,10.0,1,8,RSA,3.0,LE ROUX P,8 - 4,265,RSA,4:25,Goal,1
4,Extra player shot,11.0,1,8,RSA,3.0,DEMARCHI F,8 - 4,241,ARG,4:01,Post,0
4,5m shot,8.0,1,8,RSA,3.0,WINGATE-PEARSE J,8 - 4,170,RSA,2:50,Saved,0
4,Action shot,4.0,1,8,RSA,3.0,BADENHORST I,8 - 4,105,RSA,1:45,Post,0
5,Action shot,6.0,1,8,RSA,3.0,BULGHERONI T,8 - 5,41,ARG,0:41,Goal,1
5,5m shot,2.0,1,8,RSA,3.0,LE ROUX E,8 - 5,13,RSA,0:13,Saved,0
