Action,BRA,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,0,1.0,1,0,CHN,1.0,ANTONELLI V,0 - 0,480,BRA,8:00
Starting goalkeeper,0,1.0,1,0,CHN,1.0,WU H,0 - 0,480,CHN,8:00
Sprint won possession,0,4.0,1,0,CHN,1.0,DONG T,0 - 0,480,CHN,8:00
Turnover foul,0,10.0,1,0,CHN,1.0,CHEN J,0 - 0,453,CHN,7:33
Steal,0,1.0,1,0,CHN,1.0,ANTONELLI V,0 - 0,453,BRA,7:33
20 sec. exclusion in centre,0,10.0,1,0,CHN,1.0,CHEN J,0 - 0,438,CHN,7:18
Action shot - Goal,1,10.0,1,0,CHN,1.0,PERRONE F,1 - 0,413,BRA,6:53
Centre shot - Saved,1,11.0,1,0,CHN,1.0,ZHANG C,1 - 0,387,CHN,6:27
20 sec. exclusion in centre,1,8.0,1,0,CHN,1.0,SILVA F,1 - 0,377,BRA,6:17
Extra player shot - Goal,1,11.0,1,1,CHN,1.0,ZHANG C,1 - 1,356,CHN,5:56
Turnover foul,1,2.0,1,1,CHN,1.0,TAN F,1 - 1,333,CHN,5:33
Turnover foul,1,4.0,1,1,CHN,1.0,DONG T,1 - 1,310,CHN,5:10
Counter attack - Goal,2,10.0,1,1,CHN,1.0,PERRONE F,2 - 1,298,BRA,4:58
Action shot - Goal,2,12.0,1,2,CHN,1.0,LIANG N,2 - 2,279,CHN,4:39
Turnover foul,2,10.0,1,2,CHN,1.0,PERRONE F,2 - 2,246,BRA,4:06
Turnover foul,2,12.0,1,2,CHN,1.0,LIANG N,2 - 2,235,CHN,3:55
Action shot - Goal,3,10.0,1,2,CHN,1.0,PERRONE F,3 - 2,214,BRA,3:34
Centre shot - Goal,3,11.0,1,3,CHN,1.0,ZHANG C,3 - 3,186,CHN,3:06
Turnover foul,3,10.0,1,3,CHN,1.0,PERRONE F,3 - 3,163,BRA,2:43
