Action,BRA,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,1,10.0,1,0,CHN,1.0,PERRONE F,1 - 0,413,BRA,6:53,Goal,1
Centre shot,1,11.0,1,0,CHN,1.0,ZHANG C,1 - 0,387,CHN,6:27,Saved,0
Extra player shot,1,11.0,1,1,CHN,1.0,ZHANG C,1 - 1,356,CHN,5:56,Goal,1
Counter attack,2,10.0,1,1,CHN,1.0,PERRONE F,2 - 1,298,BRA,4:58,Goal,1
Action shot,2,12.0,1,2,CHN,1.0,LIANG N,2 - 2,279,CHN,4:39,Goal,1
Action shot,3,10.0,1,2,CHN,1.0,PERRONE F,3 - 2,214,BRA,3:34,Goal,1
Centre shot,3,11.0,1,3,CHN,1.0,ZHANG C,3 - 3,186,CHN,3:06,Goal,1
Action shot,3,10.0,1,3,CHN,1.0,CHEN J,3 - 3,139,CHN,2:19,Saved,0
5m shot,3,10.0,1,3,CHN,1.0,PERRONE F,3 - 3,83,BRA,1:23,Blocked,0
Counter attack,3,4.0,1,4,CHN,1.0,DONG T,3 - 4,73,CHN,1:13,Goal,1
Extra player shot,3,6.0,1,4,CHN,1.0,GOMES B,3 - 4,39,BRA,0:39,Saved,0
5m shot,3,11.0,1,4,CHN,1.0,ZHANG C,3 - 4,0,CHN,0:00,Saved,0
Extra player shot,3,4.0,1,5,CHN,2.0,DONG T,3 - 5,435,CHN,7:15,Goal,1
5m shot,3,6.0,1,5,CHN,2.0,GOMES B,3 - 5,405,BRA,6:45,Post,0
Extra player shot,3,7.0,1,5,CHN,2.0,DELGADO A,3 - 5,345,BRA,5:45,Post,0
Action shot,3,12.0,1,5,CHN,2.0,VRLIC J,3 - 5,283,BRA,4:43,Missed,0
Action shot,4,11.0,1,5,CHN,2.0,GUIMARAES G,4 - 5,247,BRA,4:07,Goal,1
5m shot,4,3.0,1,5,CHN,2.0,HU Z,4 - 5,225,CHN,3:45,Saved,0
Action shot,4,11.0,1,5,CHN,2.0,GUIMARAES G,4 - 5,204,BRA,3:24,Saved,0
Extra player shot,5,3.0,1,5,CHN,2.0,GOMES G,5 - 5,124,BRA,2:04,Goal,1
Extra player shot,5,5.0,1,5,CHN,2.0,LU W,5 - 5,101,CHN,1:41,Post,0
Penalty shot,5,11.0,1,5,CHN,2.0,GUIMARAES G,5 - 5,32,BRA,0:32,Saved,0
5m shot,5,2.0,1,5,CHN,2.0,TAN F,5 - 5,7,CHN,0:07,Blocked,0
5m shot,5,7.0,1,5,CHN,3.0,DELGADO A,5 - 5,451,BRA,7:31,Post,0
