Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
BOYD J,1,4,1,0,0,1,0,0,0,0,0,0,0,6,0
BOYD J,2,4,1,0,0,0,0,1,0,0,0,0,0,5,1
BOYD J,3,1,2,0,2,3,0,0,1,0,1,0,0,8,2
BOYD J,4,3,0,0,0,1,0,0,0,0,0,0,0,4,0
BOYD J,5,1,0,0,1,0,0,0,0,0,0,0,0,2,0
BOYD J,6,0,2,1,0,1,0,0,1,0,0,0,0,4,1
CONSTANTIN-BICARI,1,0,2,1,0,0,0,0,1,0,0,0,0,3,1
CONSTANTIN-BICARI,2,0,3,0,0,0,0,0,1,0,0,0,0,3,1
CONSTANTIN-BICARI,3,0,0,1,0,0,0,0,0,1,0,0,0,1,1
CONSTANTIN-BICARI,5,0,1,0,0,0,0,0,1,0,0,0,0,1,1
CONSTANTIN-BICARI,6,0,4,0,0,0,0,0,1,0,0,0,0,4,1
CONWAY J,1,0,0,0,1,2,0,0,0,0,1,2,0,3,3
CONWAY J,2,0,3,0,0,1,0,0,0,0,0,0,0,4,0
CONWAY J,3,1,1,0,0,1,0,0,0,0,0,1,0,3,1
CONWAY J,4,1,2,0,0,0,1,0,0,0,0,0,0,4,0
CONWAY J,5,1,6,0,1,1,1,1,0,0,1,1,1,10,4
CONWAY J,6,0,3,0,0,0,1,0,1,0,0,0,1,4,2
GRAHAM K,1,4,1,0,0,0,0,1,0,0,0,0,0,5,1
GRAHAM K,2,1,3,0,0,0,0,0,0,0,0,0,0,4,0
GRAHAM K,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0
GRAHAM K,4,3,2,0,0,0,0,0,0,0,0,0,0,5,0
GRAHAM K,5,0,2,0,2,0,0,0,1,0,0,0,0,4,1
GRAHAM K,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0
HALAJIAN M,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
HALAJIAN M,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
KUDABA C,1,3,1,1,0,0,0,1,0,0,0,0,0,5,1
KUDABA C,2,0,1,0,0,1,0,0,1,0,0,1,0,2,2
KUDABA C,3,0,1,0,0,0,0,0,1,0,0,0,0,1,1
KUDABA C,4,2,1,0,0,1,0,0,0,0,0,1,0,4,1
KUDABA C,5,2,0,0,0,0,0,0,0,0,0,0,0,2,0
KUDABA C,6,1,1,0,0,1,0,0,1,0,0,1,0,3,2
LAPINS D,3,0,1,0,0,0,0,0,1,0,0,0,0,1,1
MCELROY J,2,1,3,0,0,1,1,1,1,0,0,0,1,6,3
MCELROY J,3,1,0,0,1,2,0,1,0,0,1,0,0,4,2
MCELROY J,4,0,0,0,0,2,1,0,0,0,0,0,0,3,0
MCELROY J,5,1,1,0,0,3,0,0,0,0,0,2,0,5,2
MCELROY J,6,1,0,1,0,0,0,0,0,1,0,0,0,2,1
TASCHEREAU A,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
TASCHEREAU A,3,1,0,0,0,1,0,0,0,0,0,1,0,2,1
TASCHEREAU A,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
TORAKIS G,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0
TORAKIS G,4,4,0,0,0,0,0,1,0,0,0,0,0,4,1
TORAKIS G,5,2,0,1,0,0,0,0,0,0,0,0,0,3,0
TORAKIS G,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0
VIKALO O,1,0,2,2,0,0,0,0,1,0,0,0,0,4,1
VIKALO O,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1
VIKALO O,3,0,0,0,0,1,0,0,0,0,0,1,0,1,1
VIKALO O,5,0,1,0,0,1,0,0,0,0,0,1,0,2,1
VIKALO O,6,0,0,0,0,2,0,0,0,0,0,0,0,2,0
