Action,CAN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Penalty shot,0,9.0,1,1,CRO,1.0,SUKNO S,1 - 0,387,CRO,6:27,Goal,1
5m shot,0,2.0,1,1,CRO,1.0,KUDABA C,1 - 0,365,CAN,6:05,Missed,0
Penalty shot,0,5.0,1,1,CRO,1.0,JOKOVIC M,1 - 0,342,CRO,5:42,Saved,0
5m shot,1,8.0,1,1,CRO,1.0,GRAHAM K,1 - 1,313,CAN,5:13,Goal,1
Centre shot,1,4.0,1,2,CRO,1.0,LONCAR L,2 - 1,289,CRO,4:49,Goal,1
Centre shot,1,2.0,1,2,CRO,1.0,KUDABA C,2 - 1,268,CAN,4:28,Saved,0
Action shot,1,12.0,1,3,CRO,1.0,OBRADOVIC P,3 - 1,208,CRO,3:28,Goal,1
Action shot,1,2.0,1,3,CRO,1.0,KUDABA C,3 - 1,178,CAN,2:58,Missed,0
Extra player shot,2,10.0,1,3,CRO,1.0,CONWAY J,3 - 2,118,CAN,1:58,Goal,1
Action shot,2,6.0,1,4,CRO,1.0,BUKIC L,4 - 2,8,CRO,0:08,Goal,1
5m shot,2,11.0,1,4,CRO,1.0,TORAKIS G,4 - 2,0,CAN,0:00,Blocked,0
Centre shot,2,3.0,1,4,CRO,2.0,VIKALO O,4 - 2,394,CAN,6:34,Saved,0
Action shot,3,3.0,1,4,CRO,2.0,VIKALO O,4 - 3,390,CAN,6:30,Goal,1
Action shot,3,2.0,1,5,CRO,2.0,BURIC D,5 - 3,363,CRO,6:03,Goal,1
5m shot,3,8.0,1,5,CRO,2.0,GRAHAM K,5 - 3,331,CAN,5:31,Saved,0
Centre shot,3,7.0,1,6,CRO,2.0,MUSLIM P,6 - 3,320,CRO,5:20,Goal,1
Extra player shot,4,10.0,1,6,CRO,2.0,CONWAY J,6 - 4,283,CAN,4:43,Goal,1
Centre shot,4,4.0,1,7,CRO,2.0,LONCAR L,7 - 4,253,CRO,4:13,Goal,1
Centre shot,4,6.0,1,8,CRO,2.0,BUKIC L,8 - 4,214,CRO,3:34,Goal,1
5m shot,4,11.0,1,8,CRO,2.0,TORAKIS G,8 - 4,183,CAN,3:03,Saved,0
Centre shot,4,10.0,1,9,CRO,2.0,PASKVALIN F,9 - 4,161,CRO,2:41,Goal,1
