Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
CHEN J,1,0,1,1,0,0,0,0,0,1,0,0,0,2,1
CHEN J,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
CHEN J,3,0,2,0,0,0,0,0,0,0,0,0,0,2,0
CHEN J,4,0,1,0,2,0,0,0,0,0,0,0,0,3,0
CHEN J,5,0,2,0,1,0,0,0,0,0,1,0,0,3,1
DONG T,1,1,1,0,1,1,0,0,1,0,1,1,0,4,3
DONG T,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
DONG T,4,1,5,0,0,2,0,0,2,0,0,1,0,8,3
DONG T,5,1,2,0,3,1,0,0,0,0,3,1,0,7,4
HU Z,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
HU Z,2,4,1,0,0,0,0,0,0,0,0,0,0,5,0
HU Z,3,2,0,0,0,1,0,0,0,0,0,0,0,3,0
HU Z,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0
HU Z,5,1,0,0,0,1,0,0,0,0,0,1,0,2,1
LI L,2,2,1,1,0,0,0,0,0,0,0,0,0,4,0
LI L,3,0,1,0,0,1,0,0,0,0,0,0,0,2,0
LI L,4,2,1,0,1,0,0,0,0,0,1,0,0,4,1
LI L,5,2,0,1,0,2,0,0,0,1,0,2,0,5,3
LIANG N,1,0,2,0,0,0,0,0,2,0,0,0,0,2,2
LIANG N,2,2,1,0,0,0,0,0,0,0,0,0,0,3,0
LIANG N,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0
LIANG N,5,0,2,1,0,0,0,0,1,1,0,0,0,3,2
LU W,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
LU W,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
LU W,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0
LU W,4,2,2,0,0,1,0,0,0,0,0,1,0,5,1
LU W,5,1,0,0,1,0,0,1,0,0,0,0,0,2,1
TAN F,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
TAN F,2,5,1,0,0,2,0,0,1,0,0,1,0,8,2
TAN F,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0
TAN F,4,0,1,0,3,0,0,0,1,0,3,0,0,4,4
TAN F,5,4,0,0,1,1,0,0,0,0,0,1,0,6,1
XIE Z,5,0,1,0,1,0,0,0,0,0,1,0,0,2,1
ZHANG C,1,2,0,2,0,2,1,0,0,1,0,1,1,7,3
ZHANG C,2,3,0,0,0,2,0,0,0,0,0,0,0,5,0
ZHANG C,3,1,3,1,0,1,1,0,0,1,0,0,0,7,1
ZHANG C,4,1,2,1,1,1,0,0,0,0,0,1,0,6,1
ZHANG C,5,4,1,0,0,0,0,1,1,0,0,0,0,5,2
