Action,CHN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,0,10.0,1,1,BRA,1.0,PERRONE F,1 - 0,413,BRA,6:53,Goal,1
Centre shot,0,11.0,1,1,BRA,1.0,ZHANG C,1 - 0,387,CHN,6:27,Saved,0
Extra player shot,1,11.0,1,1,BRA,1.0,ZHANG C,1 - 1,356,CHN,5:56,Goal,1
Counter attack,1,10.0,1,2,BRA,1.0,PERRONE F,2 - 1,298,BRA,4:58,Goal,1
Action shot,2,12.0,1,2,BRA,1.0,LIANG N,2 - 2,279,CHN,4:39,Goal,1
Action shot,2,10.0,1,3,BRA,1.0,PERRONE F,3 - 2,214,BRA,3:34,Goal,1
Centre shot,3,11.0,1,3,BRA,1.0,ZHANG C,3 - 3,186,CHN,3:06,Goal,1
Action shot,3,10.0,1,3,BRA,1.0,CHEN J,3 - 3,139,CHN,2:19,Saved,0
5m shot,3,10.0,1,3,BRA,1.0,PERRONE F,3 - 3,83,BRA,1:23,Blocked,0
Counter attack,4,4.0,1,3,BRA,1.0,DONG T,3 - 4,73,CHN,1:13,Goal,1
Extra player shot,4,6.0,1,3,BRA,1.0,GOMES B,3 - 4,39,BRA,0:39,Saved,0
5m shot,4,11.0,1,3,BRA,1.0,ZHANG C,3 - 4,0,CHN,0:00,Saved,0
Extra player shot,5,4.0,1,3,BRA,2.0,DONG T,3 - 5,435,CHN,7:15,Goal,1
5m shot,5,6.0,1,3,BRA,2.0,GOMES B,3 - 5,405,BRA,6:45,Post,0
Extra player shot,5,7.0,1,3,BRA,2.0,DELGADO A,3 - 5,345,BRA,5:45,Post,0
Action shot,5,12.0,1,3,BRA,2.0,VRLIC J,3 - 5,283,BRA,4:43,Missed,0
Action shot,5,11.0,1,4,BRA,2.0,GUIMARAES G,4 - 5,247,BRA,4:07,Goal,1
5m shot,5,3.0,1,4,BRA,2.0,HU Z,4 - 5,225,CHN,3:45,Saved,0
Action shot,5,11.0,1,4,BRA,2.0,GUIMARAES G,4 - 5,204,BRA,3:24,Saved,0
Extra player shot,5,3.0,1,5,BRA,2.0,GOMES G,5 - 5,124,BRA,2:04,Goal,1
Extra player shot,5,5.0,1,5,BRA,2.0,LU W,5 - 5,101,CHN,1:41,Post,0
Penalty shot,5,11.0,1,5,BRA,2.0,GUIMARAES G,5 - 5,32,BRA,0:32,Saved,0
5m shot,5,2.0,1,5,BRA,2.0,TAN F,5 - 5,7,CHN,0:07,Blocked,0
5m shot,5,7.0,1,5,BRA,3.0,DELGADO A,5 - 5,451,BRA,7:31,Post,0
Extra player shot,5,11.0,1,5,BRA,3.0,ZHANG C,5 - 5,411,CHN,6:51,Saved,0
Action shot,6,12.0,1,5,BRA,3.0,LIANG N,5 - 6,359,CHN,5:59,Goal,1
Penalty shot,6,10.0,1,6,BRA,3.0,PERRONE F,6 - 6,329,BRA,5:29,Goal,1
5m shot,6,11.0,1,6,BRA,3.0,ZHANG C,6 - 6,271,CHN,4:31,Saved,0
Centre shot,7,10.0,1,6,BRA,3.0,CHEN J,6 - 7,202,CHN,3:22,Goal,1
Penalty shot,8,11.0,1,6,BRA,3.0,ZHANG C,6 - 8,165,CHN,2:45,Goal,1
Extra player shot,8,12.0,1,7,BRA,3.0,VRLIC J,7 - 8,118,BRA,1:58,Goal,1
5m shot,8,4.0,1,7,BRA,3.0,DONG T,7 - 8,65,CHN,1:05,Post,0
Extra player shot,8,11.0,1,8,BRA,3.0,GUIMARAES G,8 - 8,38,BRA,0:38,Goal,1
Action shot,9,4.0,1,8,BRA,3.0,DONG T,8 - 9,18,CHN,0:18,Goal,1
5m shot,9,10.0,1,8,BRA,3.0,PERRONE F,8 - 9,0,BRA,0:00,Blocked,0
Action shot,9,12.0,1,8,BRA,4.0,VRLIC J,8 - 9,412,BRA,6:52,Saved,0
Centre shot,9,12.0,1,9,BRA,4.0,VRLIC J,9 - 9,365,BRA,6:05,Goal,1
Action shot,9,6.0,1,9,BRA,4.0,GOMES B,9 - 9,276,BRA,4:36,Post,0
Action shot,9,7.0,1,9,BRA,4.0,DELGADO A,9 - 9,179,BRA,2:59,Missed,0
Centre shot,9,10.0,1,9,BRA,4.0,PERRONE F,9 - 9,119,BRA,1:59,Saved,0
Penalty shot,9,10.0,1,9,BRA,4.0,PERRONE F,9 - 9,74,BRA,1:14,Saved,0
5m shot,0,11.0,2,0,CAN,1.0,ZHANG C,0 - 0,395,CHN,6:35,Post,0
Action shot,0,4.0,2,0,CAN,1.0,CONSTANTIN-BICARI,0 - 0,372,CAN,6:12,Post,0
5m shot,0,5.0,2,0,CAN,1.0,LU W,0 - 0,352,CHN,5:52,Missed,0
Action shot,0,5.0,2,0,CAN,1.0,BOYD J,0 - 0,335,CAN,5:35,Missed,0
Centre shot,0,6.0,2,0,CAN,1.0,LI L,0 - 0,320,CHN,5:20,Saved,0
5m shot,0,2.0,2,0,CAN,1.0,TAN F,0 - 0,294,CHN,4:54,Blocked,0
Action shot,0,10.0,2,0,CAN,1.0,CONWAY J,0 - 0,265,CAN,4:25,Saved,0
Action shot,0,8.0,2,0,CAN,1.0,GRAHAM K,0 - 0,241,CAN,4:01,Saved,0
5m shot,0,11.0,2,0,CAN,1.0,ZHANG C,0 - 0,212,CHN,3:32,Post,0
Extra player shot,0,2.0,2,1,CAN,1.0,KUDABA C,0 - 1,138,CAN,2:18,Goal,1
5m shot,0,3.0,2,1,CAN,1.0,HU Z,0 - 1,114,CHN,1:54,Blocked,0
5m shot,0,12.0,2,2,CAN,1.0,MCELROY J,0 - 2,97,CAN,1:37,Goal,1
5m shot,0,4.0,2,2,CAN,1.0,DONG T,0 - 2,73,CHN,1:13,Blocked,0
Action shot,0,12.0,2,3,CAN,1.0,MCELROY J,0 - 3,42,CAN,0:42,Goal,1
5m shot,0,2.0,2,3,CAN,1.0,TAN F,0 - 3,17,CHN,0:17,Saved,0
5m shot,0,8.0,2,3,CAN,2.0,GRAHAM K,0 - 3,456,CAN,7:36,Saved,0
Action shot,0,4.0,2,4,CAN,2.0,CONSTANTIN-BICARI,0 - 4,441,CAN,7:21,Goal,1
Action shot,0,12.0,2,4,CAN,2.0,LIANG N,0 - 4,420,CHN,7:00,Saved,0
5m shot,0,6.0,2,4,CAN,2.0,LI L,0 - 4,383,CHN,6:23,Saved,0
5m shot,0,5.0,2,4,CAN,2.0,BOYD J,0 - 4,360,CAN,6:00,Saved,0
Action shot,0,7.0,2,4,CAN,2.0,TASCHEREAU A,0 - 4,344,CAN,5:44,Saved,0
Penalty shot,0,12.0,2,5,CAN,2.0,MCELROY J,0 - 5,322,CAN,5:22,Goal,1
Action shot,0,10.0,2,5,CAN,2.0,CONWAY J,0 - 5,293,CAN,4:53,Saved,0
5m shot,0,5.0,2,5,CAN,2.0,BOYD J,0 - 5,246,CAN,4:06,Post,0
5m shot,0,5.0,2,6,CAN,2.0,BOYD J,0 - 6,205,CAN,3:25,Goal,1
Action shot,0,3.0,2,6,CAN,2.0,HU Z,0 - 6,184,CHN,3:04,Saved,0
5m shot,0,11.0,2,6,CAN,2.0,ZHANG C,0 - 6,138,CHN,2:18,Saved,0
Action shot,0,6.0,2,6,CAN,2.0,LI L,0 - 6,61,CHN,1:01,Blocked,0
Action shot,0,8.0,2,6,CAN,2.0,GRAHAM K,0 - 6,5,CAN,0:05,Saved,0
Action shot,0,10.0,2,6,CAN,2.0,CONWAY J,0 - 6,1,CAN,0:01,Saved,0
Action shot,0,12.0,2,6,CAN,3.0,MCELROY J,0 - 6,447,CAN,7:27,Saved,0
5m shot,0,3.0,2,6,CAN,3.0,HU Z,0 - 6,426,CHN,7:06,Missed,0
Action shot,0,4.0,2,6,CAN,3.0,CONSTANTIN-BICARI,0 - 6,411,CAN,6:51,Saved,0
Extra player shot,1,2.0,2,6,CAN,3.0,TAN F,1 - 6,372,CHN,6:12,Goal,1
5m shot,1,2.0,2,6,CAN,3.0,TAN F,1 - 6,326,CHN,5:26,Missed,0
Extra player shot,1,10.0,2,6,CAN,3.0,CONWAY J,1 - 6,285,CAN,4:45,Saved,0
Action shot,1,12.0,2,6,CAN,3.0,MCELROY J,1 - 6,276,CAN,4:36,Saved,0
