Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
ANGYAL D,1,1,1,0,0,0,0,0,1,0,0,0,0,2,1
ANGYAL D,2,0,1,0,0,1,0,0,0,0,0,1,0,2,1
ANGYAL D,3,0,1,0,0,1,0,0,0,0,0,1,0,2,1
BEDO K,1,0,1,1,0,2,0,0,0,0,0,2,0,4,2
BEDO K,2,0,0,1,0,0,0,0,0,1,0,0,0,1,1
BEDO K,3,0,2,0,0,0,0,0,0,0,0,0,0,2,0
BEDO K,6,0,1,0,0,2,0,0,0,0,0,1,0,3,1
ERDELYI B,1,1,1,0,0,1,0,0,0,0,0,0,0,3,0
ERDELYI B,2,0,1,0,1,0,1,0,1,0,1,0,1,3,3
ERDELYI B,3,0,0,0,1,1,0,0,0,0,1,1,0,2,2
ERDELYI B,4,0,0,0,0,2,0,0,0,0,0,1,0,2,1
ERDELYI B,5,0,2,0,0,0,0,0,1,0,0,0,0,2,1
ERDELYI B,6,0,0,0,0,2,0,0,0,0,0,2,0,2,2
GOR-NAGY M,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0
GOR-NAGY M,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0
GOR-NAGY M,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
GOR-NAGY M,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0
HARAI B,1,0,0,2,0,2,0,0,0,2,0,2,0,4,4
HARAI B,2,0,3,0,1,0,0,0,2,0,1,0,0,4,3
HARAI B,3,0,3,0,0,0,0,0,2,0,0,0,0,3,2
HARAI B,4,0,1,0,0,1,0,0,0,0,0,1,0,2,1
HARAI B,5,0,3,2,0,1,0,0,2,1,0,1,0,6,4
HOSNYANSZKY N,1,1,3,0,0,0,0,1,1,0,0,0,0,4,2
HOSNYANSZKY N,2,3,2,0,0,0,0,0,1,0,0,0,0,5,1
HOSNYANSZKY N,3,1,0,0,0,1,0,1,0,0,0,1,0,2,2
HOSNYANSZKY N,4,2,0,0,0,2,0,0,0,0,0,1,0,4,1
HOSNYANSZKY N,5,4,1,0,0,0,0,1,1,0,0,0,0,5,2
HOSNYANSZKY N,6,0,0,0,0,2,0,0,0,0,0,2,0,2,2
MADARAS N,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0
MADARAS N,2,3,0,0,0,1,0,0,0,0,0,0,0,4,0
MADARAS N,3,0,1,0,0,1,0,0,0,0,0,1,0,2,1
MADARAS N,4,0,0,0,1,1,0,0,0,0,0,0,0,2,0
MADARAS N,5,2,1,0,0,0,0,1,0,0,0,0,0,3,1
MADARAS N,6,3,0,0,0,1,0,0,0,0,0,0,0,4,0
SZIVOS M,1,0,1,0,0,1,0,0,0,0,0,1,0,2,1
SZIVOS M,2,1,1,0,0,0,0,0,1,0,0,0,0,2,1
SZIVOS M,3,1,2,1,0,1,0,0,1,1,0,1,0,5,3
SZIVOS M,4,1,1,0,0,0,0,0,0,0,0,0,0,2,0
SZIVOS M,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
SZIVOS M,6,0,2,0,0,0,0,0,1,0,0,0,0,2,1
VAMOS M,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0
VAMOS M,2,2,1,0,0,2,1,0,0,0,0,1,1,6,2
VAMOS M,3,0,2,0,0,1,1,0,2,0,0,1,1,4,4
VAMOS M,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
VAMOS M,5,2,0,0,0,0,0,0,0,0,0,0,0,2,0
VAMOS M,6,3,1,0,0,0,0,0,0,0,0,0,0,4,0
VARGA D,1,3,3,0,0,2,0,1,3,0,0,0,0,8,4
VARGA D,2,1,5,1,1,1,0,1,2,1,0,1,0,9,5
VARGA D,3,2,4,0,2,1,0,0,3,0,2,1,0,9,6
VARGA D,4,3,2,0,0,4,0,0,0,0,0,4,0,9,4
VARGA D,5,9,0,0,1,1,0,3,0,0,1,1,0,11,5
VARGA D,6,6,3,0,1,3,0,2,1,0,0,0,0,13,3
