Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
AICARDI M,1,0,1,0,0,2,0,0,1,0,0,1,0,3,2
AICARDI M,2,0,3,3,0,0,0,0,0,1,0,0,0,6,1
AICARDI M,3,0,0,2,1,0,0,0,0,1,0,0,0,3,1
AICARDI M,4,0,1,1,0,0,0,0,0,1,0,0,0,2,1
AICARDI M,5,0,2,0,0,0,0,0,0,0,0,0,0,2,0
AICARDI M,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0
AICARDI M,7,0,0,2,0,0,0,0,0,2,0,0,0,2,2
BARALDI F,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1
BARALDI F,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0
BARALDI F,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
BARALDI F,4,0,1,0,0,0,0,0,1,0,0,0,0,1,1
BARALDI F,5,0,0,0,0,1,0,0,0,0,0,1,0,1,1
BARALDI F,6,0,1,0,0,0,0,0,1,0,0,0,0,1,1
DI FULVIO F,1,2,2,0,0,0,0,0,0,0,0,0,0,4,0
DI FULVIO F,2,1,4,1,0,0,0,0,1,0,0,0,0,6,1
DI FULVIO F,3,2,1,0,1,1,1,1,1,0,1,0,1,6,4
DI FULVIO F,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
DI FULVIO F,5,1,2,0,0,3,0,0,0,0,0,2,0,6,2
DI FULVIO F,6,1,2,0,0,1,0,1,0,0,0,0,0,4,1
DI FULVIO F,7,2,0,0,0,0,0,1,0,0,0,0,0,2,1
FIGLIOLI P,1,0,3,0,0,1,0,0,1,0,0,1,0,4,2
FIGLIOLI P,2,1,1,0,0,0,0,1,0,0,0,0,0,2,1
FIGLIOLI P,3,1,1,1,0,0,0,0,0,1,0,0,0,3,1
FIGLIOLI P,4,1,1,0,0,0,0,1,0,0,0,0,0,2,1
FIGLIOLI P,5,1,2,0,0,2,0,0,0,0,0,1,0,5,1
FIGLIOLI P,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0
FIGLIOLI P,7,3,2,0,0,1,1,0,0,0,0,1,1,7,2
FONDELLI A,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
FONDELLI A,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0
FONDELLI A,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0
FONDELLI A,4,1,1,0,0,0,0,0,0,0,0,0,0,2,0
FONDELLI A,5,1,0,0,0,1,0,0,0,0,0,0,0,2,0
FONDELLI A,6,0,3,0,0,1,0,0,2,0,0,0,0,4,2
FONDELLI A,7,0,0,0,1,0,0,0,0,0,1,0,0,1,1
GIACOPPO M,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
GIACOPPO M,2,0,0,0,0,1,0,0,0,0,0,1,0,1,1
GIACOPPO M,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0
GIACOPPO M,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
GIACOPPO M,6,0,1,0,0,1,0,0,0,0,0,0,0,2,0
GIACOPPO M,7,1,1,0,0,0,0,0,0,0,0,0,0,2,0
GIORGETTI A,1,1,0,0,0,3,1,0,0,0,0,1,1,5,2
GIORGETTI A,2,0,2,0,0,2,0,0,0,0,0,2,0,4,2
GIORGETTI A,3,2,1,0,0,1,1,0,0,0,0,1,1,5,2
GIORGETTI A,4,1,2,1,0,0,0,0,1,1,0,0,0,4,2
GIORGETTI A,5,0,0,0,0,2,0,0,0,0,0,1,0,2,1
GIORGETTI A,6,0,4,0,0,2,0,0,0,0,0,1,0,6,1
GIORGETTI A,7,0,1,0,0,1,1,0,0,0,0,0,0,3,0
GITTO N,2,1,1,0,0,0,0,1,0,0,0,0,0,2,1
GITTO N,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0
GITTO N,4,1,0,0,0,2,0,0,0,0,0,2,0,3,2
GITTO N,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0
LUONGO S,1,3,1,0,0,2,0,0,0,0,0,2,0,6,2
LUONGO S,2,2,2,0,0,1,0,1,0,0,0,0,0,5,1
LUONGO S,3,2,2,1,1,1,0,0,1,0,0,0,0,7,1
LUONGO S,4,3,0,0,0,0,0,0,0,0,0,0,0,3,0
LUONGO S,5,2,0,0,0,1,0,1,0,0,0,1,0,3,2
LUONGO S,6,0,4,0,0,1,0,0,0,0,0,1,0,5,1
LUONGO S,7,0,0,0,1,1,0,0,0,0,0,0,0,2,0
PRESCIUTTI N,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0
PRESCIUTTI N,5,0,1,0,0,1,0,0,0,0,0,1,0,2,1
PRESCIUTTI N,6,0,1,1,0,0,0,0,0,0,0,0,0,2,0
PRESCIUTTI N,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0
VELOTTO A,2,1,0,0,0,1,0,0,0,0,0,1,0,2,1
VELOTTO A,4,0,0,0,0,2,0,0,0,0,0,1,0,2,1
VELOTTO A,6,0,1,1,0,0,0,0,0,0,0,0,0,2,0
VELOTTO A,7,1,1,0,0,0,0,0,1,0,0,0,0,2,1
