Action,Cap,Game,JPN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,1.0,1,0,0,AUS,1.0,TANAMURA K,0 - 0,480,JPN,8:00
Starting goalkeeper,1.0,1,0,0,AUS,1.0,STANTON - FRENCH J,0 - 0,480,AUS,8:00
Sprint won possession,11.0,1,0,0,AUS,1.0,HOWDEN R,0 - 0,480,AUS,8:00
20 sec. exclusion in centre,11.0,1,0,0,AUS,1.0,OKAWA K,0 - 0,403,JPN,6:43
Extra player shot - Goal,11.0,1,0,1,AUS,1.0,HOWDEN R,0 - 1,390,AUS,6:30
5m shot - Saved,9.0,1,0,1,AUS,1.0,TAKEI K,0 - 1,360,JPN,6:00
Action shot - Saved,2.0,1,0,1,AUS,1.0,ADACHI S,0 - 1,316,JPN,5:16
Action shot - Blocked,8.0,1,0,1,AUS,1.0,YOUNGER A,0 - 1,288,AUS,4:48
Action shot - Saved,7.0,1,0,1,AUS,1.0,SHIMIZU Y,0 - 1,276,JPN,4:36
20 sec. exclusion in centre,6.0,1,0,1,AUS,1.0,IIDA A,0 - 1,260,JPN,4:20
Extra player shot - Goal,8.0,1,0,2,AUS,1.0,YOUNGER A,0 - 2,242,AUS,4:02
20 sec. exclusion in centre,6.0,1,0,2,AUS,1.0,GILCHRIST J,0 - 2,229,AUS,3:49
Extra player shot - Post,8.0,1,0,2,AUS,1.0,KADONO Y,0 - 2,212,JPN,3:32
Turnover foul,4.0,1,0,2,AUS,1.0,COTTERILL J,0 - 2,187,AUS,3:07
Steal,3.0,1,0,2,AUS,1.0,ARAI A,0 - 2,187,JPN,3:07
Turnover foul,3.0,1,0,2,AUS,1.0,ARAI A,0 - 2,179,JPN,2:59
Steal,2.0,1,0,2,AUS,1.0,CAMPBELL R,0 - 2,179,AUS,2:59
5m shot - Saved,6.0,1,0,2,AUS,1.0,GILCHRIST J,0 - 2,144,AUS,2:24
5m shot - Saved,8.0,1,0,2,AUS,1.0,KADONO Y,0 - 2,117,JPN,1:57
Turnover foul,6.0,1,0,2,AUS,1.0,GILCHRIST J,0 - 2,98,AUS,1:38
Steal,9.0,1,0,2,AUS,1.0,TAKEI K,0 - 2,98,JPN,1:38
5m shot - Saved,3.0,1,0,2,AUS,1.0,ARAI A,0 - 2,75,JPN,1:15
Time-Out,,1,0,2,AUS,1.0,,0 - 2,73,AUS,1:13
Action shot - Saved,5.0,1,0,2,AUS,1.0,POWER N,0 - 2,57,AUS,0:57
Turnover foul,12.0,1,0,2,AUS,1.0,HAZUI S,0 - 2,40,JPN,0:40
Steal,10.0,1,0,2,AUS,1.0,EMERY M,0 - 2,40,AUS,0:40
Action shot - Saved,10.0,1,0,2,AUS,1.0,EMERY M,0 - 2,21,AUS,0:21
20 sec. exclusion in centre,8.0,1,0,2,AUS,1.0,YOUNGER A,0 - 2,5,AUS,0:05
Extra player shot - Missed,9.0,1,0,2,AUS,1.0,TAKEI K,0 - 2,0,JPN,0:00
Starting goalkeeper,1.0,1,0,2,AUS,2.0,TANAMURA K,0 - 2,480,JPN,8:00
Starting goalkeeper,1.0,1,0,2,AUS,2.0,STANTON - FRENCH J,0 - 2,480,AUS,8:00
Sprint won possession,11.0,1,0,2,AUS,2.0,HOWDEN R,0 - 2,480,AUS,8:00
Turnover foul,7.0,1,0,2,AUS,2.0,ROACH A,0 - 2,456,AUS,7:36
20 sec. exclusion in centre,3.0,1,0,2,AUS,2.0,FORD G,0 - 2,433,AUS,7:13
Extra player shot - Goal,11.0,1,1,2,AUS,2.0,OKAWA K,1 - 2,423,JPN,7:03
20 sec. exclusion in centre,6.0,1,1,2,AUS,2.0,IIDA A,1 - 2,402,JPN,6:42
Extra player shot - Goal,9.0,1,1,3,AUS,2.0,SWIFT J,1 - 3,389,AUS,6:29
5m shot - Post,4.0,1,1,3,AUS,2.0,SHIGA M,1 - 3,362,JPN,6:02
Turnover foul,8.0,1,1,3,AUS,2.0,YOUNGER A,1 - 3,332,AUS,5:32
Turnover foul,11.0,1,1,3,AUS,2.0,OKAWA K,1 - 3,316,JPN,5:16
Steal,8.0,1,1,3,AUS,2.0,YOUNGER A,1 - 3,316,AUS,5:16
20 sec. exclusion in centre,12.0,1,1,3,AUS,2.0,HAZUI S,1 - 3,295,JPN,4:55
Extra player shot - Goal,2.0,1,1,4,AUS,2.0,CAMPBELL R,1 - 4,279,AUS,4:39
Turnover foul,4.0,1,1,4,AUS,2.0,SHIGA M,1 - 4,255,JPN,4:15
Turnover foul,10.0,1,1,4,AUS,2.0,EMERY M,1 - 4,230,AUS,3:50
Steal,1.0,1,1,4,AUS,2.0,TANAMURA K,1 - 4,230,JPN,3:50
20 sec. exclusion in centre,7.0,1,1,4,AUS,2.0,ROACH A,1 - 4,214,AUS,3:34
Extra player shot - Goal,2.0,1,2,4,AUS,2.0,ADACHI S,2 - 4,202,JPN,3:22
Turnover foul,2.0,1,2,4,AUS,2.0,CAMPBELL R,2 - 4,171,AUS,2:51
Action shot - Post,7.0,1,2,4,AUS,2.0,SHIMIZU Y,2 - 4,149,JPN,2:29
Turnover foul,2.0,1,2,4,AUS,2.0,CAMPBELL R,2 - 4,129,AUS,2:09
Turnover foul,7.0,1,2,4,AUS,2.0,SHIMIZU Y,2 - 4,100,JPN,1:40
Centre shot - Saved,7.0,1,2,4,AUS,2.0,SHIMIZU Y,2 - 4,97,JPN,1:37
Turnover foul,8.0,1,2,4,AUS,2.0,YOUNGER A,2 - 4,77,AUS,1:17
Time-Out,,1,2,4,AUS,2.0,,2 - 4,50,AUS,0:50
Action shot - Post,6.0,1,2,4,AUS,2.0,GILCHRIST J,2 - 4,30,AUS,0:30
Time-Out,,1,2,4,AUS,2.0,,2 - 4,30,JPN,0:30
Starting goalkeeper,1.0,1,2,4,AUS,3.0,TANAMURA K,2 - 4,480,JPN,8:00
Starting goalkeeper,1.0,1,2,4,AUS,3.0,STANTON - FRENCH J,2 - 4,480,AUS,8:00
Sprint won possession,11.0,1,2,4,AUS,3.0,HOWDEN R,2 - 4,480,AUS,8:00
20 sec. exclusion in centre,7.0,1,2,4,AUS,3.0,SHIMIZU Y,2 - 4,462,JPN,7:42
Extra player shot - Goal,2.0,1,2,5,AUS,3.0,CAMPBELL R,2 - 5,451,AUS,7:31
Turnover foul,9.0,1,2,5,AUS,3.0,TAKEI K,2 - 5,437,JPN,7:17
Steal,7.0,1,2,5,AUS,3.0,ROACH A,2 - 5,437,AUS,7:17
Turnover foul,11.0,1,2,5,AUS,3.0,HOWDEN R,2 - 5,416,AUS,6:56
Action shot - Saved,2.0,1,2,5,AUS,3.0,ADACHI S,2 - 5,406,JPN,6:46
20 sec. exclusion in centre,11.0,1,2,5,AUS,3.0,OKAWA K,2 - 5,386,JPN,6:26
Extra player shot - Post,2.0,1,2,5,AUS,3.0,CAMPBELL R,2 - 5,362,AUS,6:02
Turnover foul,12.0,1,2,5,AUS,3.0,HAZUI S,2 - 5,334,JPN,5:34
