Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
ADACHI S,1,0,3,0,0,1,0,0,0,0,0,1,0,4,1
ADACHI S,2,0,0,0,0,1,1,0,0,0,0,0,1,2,1
ADACHI S,3,1,0,0,0,0,1,0,0,0,0,0,0,2,0
ADACHI S,4,0,0,2,0,1,0,0,0,1,0,0,0,3,1
ADACHI S,5,2,0,0,1,1,1,1,0,0,0,0,0,5,1
ARAI A,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
ARAI A,2,0,2,0,0,0,0,0,1,0,0,0,0,2,1
ARAI A,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ARAI A,5,0,1,0,1,0,1,0,0,0,1,0,1,3,2
HAZUI S,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0
HAZUI S,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0
HAZUI S,3,1,2,0,0,1,0,0,0,0,0,0,0,4,0
HAZUI S,4,1,1,0,0,0,0,1,0,0,0,0,0,2,1
HAZUI S,5,0,1,0,2,0,0,0,0,0,1,0,0,3,1
IIDA A,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
IIDA A,4,0,0,1,1,1,0,0,0,1,1,0,0,3,2
IIDA A,5,0,1,0,2,1,0,0,0,0,1,1,0,4,2
KADONO Y,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0
KADONO Y,2,0,2,0,0,1,0,0,0,0,0,1,0,3,1
KADONO Y,3,0,0,0,0,1,0,0,0,0,0,1,0,1,1
KADONO Y,4,1,0,0,0,2,0,0,0,0,0,0,0,3,0
OKAWA K,1,2,0,0,0,1,0,0,0,0,0,1,0,3,1
OKAWA K,2,1,1,0,1,2,0,1,0,0,1,1,0,5,3
OKAWA K,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0
OKAWA K,4,0,2,0,0,0,0,0,1,0,0,0,0,2,1
OKAWA K,5,0,0,0,3,1,0,0,0,0,2,1,0,4,3
SHIGA M,1,2,0,0,0,2,0,0,0,0,0,1,0,4,1
SHIGA M,2,1,0,0,0,1,0,0,0,0,0,0,0,2,0
SHIGA M,3,0,1,0,2,0,0,0,0,0,1,0,0,3,1
SHIGA M,4,0,1,0,0,1,0,0,1,0,0,1,0,2,2
SHIGA M,5,0,1,1,0,0,0,0,0,0,0,0,0,2,0
SHIMIZU Y,1,0,2,1,0,0,0,0,0,0,0,0,0,3,0
SHIMIZU Y,2,0,2,1,0,0,0,0,0,0,0,0,0,3,0
SHIMIZU Y,3,0,1,0,1,0,0,0,1,0,0,0,0,2,1
SHIMIZU Y,4,0,0,0,0,1,0,0,0,0,0,1,0,1,1
SHIMIZU Y,5,0,0,1,1,1,0,0,0,0,1,1,0,3,2
TAKEI K,1,1,1,0,0,2,0,0,0,0,0,1,0,4,1
TAKEI K,2,1,1,0,0,3,1,0,0,0,0,2,1,6,3
TAKEI K,3,3,1,0,0,2,2,1,1,0,0,0,2,8,4
TAKEI K,4,1,2,0,2,0,0,1,2,0,1,0,0,5,4
TAKEI K,5,0,1,0,2,0,1,0,1,0,1,0,0,4,2
YANASE A,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
YANASE A,3,0,2,0,0,1,0,0,2,0,0,1,0,3,3
YANASE A,4,0,0,0,0,1,0,0,0,0,0,1,0,1,1
YASUDA K,4,0,0,0,1,0,0,0,0,0,1,0,0,1,1
