Action,Cap,Game,MNE,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,1.0,1,0,0,SRB,1.0,PIJETLOVIC G,0 - 0,480,SRB,8:00
Starting goalkeeper,13.0,1,0,0,SRB,1.0,SCEPANOVIC M,0 - 0,480,MNE,8:00
Sprint won possession,12.0,1,0,0,SRB,1.0,MITORVIC S,0 - 0,480,SRB,8:00
Turnover foul,10.0,1,0,0,SRB,1.0,FILIPOVIC F,0 - 0,451,SRB,7:31
Steal,9.0,1,0,0,SRB,1.0,IVOVIC A,0 - 0,451,MNE,7:31
20 sec. exclusion in centre,4.0,1,0,0,SRB,1.0,RANDELOVIC S,0 - 0,436,SRB,7:16
Extra player shot - Saved,7.0,1,0,0,SRB,1.0,JANOVIC M,0 - 0,423,MNE,7:03
Action shot - Saved,6.0,1,0,0,SRB,1.0,PIJETLOVIC D,0 - 0,412,SRB,6:52
5m shot - Saved,9.0,1,0,0,SRB,1.0,IVOVIC A,0 - 0,392,MNE,6:32
Turnover foul,7.0,1,0,0,SRB,1.0,JANOVIC M,0 - 0,373,MNE,6:13
5m shot - Missed,8.0,1,0,0,SRB,1.0,ALEKSIC M,0 - 0,350,SRB,5:50
Turnover foul,9.0,1,0,0,SRB,1.0,IVOVIC A,0 - 0,331,MNE,5:31
Action shot - Post,12.0,1,0,0,SRB,1.0,MITORVIC S,0 - 0,318,SRB,5:18
5m shot - Blocked,9.0,1,0,0,SRB,1.0,IVOVIC A,0 - 0,295,MNE,4:55
20 sec. exclusion in centre,6.0,1,0,0,SRB,1.0,RADOVIC A,0 - 0,281,MNE,4:41
Extra player shot - Saved,2.0,1,0,0,SRB,1.0,MANDIC D,0 - 0,259,SRB,4:19
Action shot - Post,3.0,1,0,0,SRB,1.0,PASKOVIC V,0 - 0,239,MNE,3:59
20 sec. exclusion in centre,11.0,1,0,0,SRB,1.0,KLIKOVAC F,0 - 0,230,MNE,3:50
Time-Out,,1,0,0,SRB,1.0,,0 - 0,230,SRB,3:50
Extra player shot - Goal,10.0,1,0,1,SRB,1.0,FILIPOVIC F,1 - 0,211,SRB,3:31
Turnover foul,7.0,1,0,1,SRB,1.0,JANOVIC M,1 - 0,185,MNE,3:05
20 sec. exclusion in centre,10.0,1,0,1,SRB,1.0,MURISIC N,1 - 0,163,MNE,2:43
Extra player shot - Saved,9.0,1,0,1,SRB,1.0,JAKSIC N,1 - 0,142,SRB,2:22
Time-Out,,1,0,1,SRB,1.0,,1 - 0,142,MNE,2:22
5m shot - Saved,6.0,1,0,1,SRB,1.0,RADOVIC A,1 - 0,119,MNE,1:59
20 sec. exclusion in centre,2.0,1,0,1,SRB,1.0,MANDIC D,1 - 0,105,SRB,1:45
Action shot - Goal,2.0,1,1,1,SRB,1.0,BRGULJAN D,1 - 1,85,MNE,1:25
Turnover foul,10.0,1,1,1,SRB,1.0,FILIPOVIC F,1 - 1,65,SRB,1:05
Steal,4.0,1,1,1,SRB,1.0,CUCKOVIC U,1 - 1,65,MNE,1:05
5m shot - Saved,6.0,1,1,1,SRB,1.0,RADOVIC A,1 - 1,33,MNE,0:33
20 sec. exclusion in centre,7.0,1,1,1,SRB,1.0,JANOVIC M,1 - 1,19,MNE,0:19
Extra player shot - Goal,5.0,1,1,2,SRB,1.0,CUK M,2 - 1,12,SRB,0:12
Starting goalkeeper,1.0,1,1,2,SRB,2.0,PIJETLOVIC G,2 - 1,480,SRB,8:00
Starting goalkeeper,13.0,1,1,2,SRB,2.0,SCEPANOVIC M,2 - 1,480,MNE,8:00
Sprint won possession,2.0,1,1,2,SRB,2.0,BRGULJAN D,2 - 1,480,MNE,8:00
5m shot - Blocked,7.0,1,1,2,SRB,2.0,JANOVIC M,2 - 1,454,MNE,7:34
5m shot - Saved,6.0,1,1,2,SRB,2.0,RADOVIC A,2 - 1,431,MNE,7:11
5m shot - Saved,9.0,1,1,2,SRB,2.0,IVOVIC A,2 - 1,405,MNE,6:45
Turnover foul,12.0,1,1,2,SRB,2.0,MITORVIC S,2 - 1,388,SRB,6:28
5m shot - Goal,10.0,1,2,2,SRB,2.0,MURISIC N,2 - 2,364,MNE,6:04
5m shot - Post,10.0,1,2,2,SRB,2.0,FILIPOVIC F,2 - 2,340,SRB,5:40
Turnover foul,9.0,1,2,2,SRB,2.0,IVOVIC A,2 - 2,317,MNE,5:17
Steal,10.0,1,2,2,SRB,2.0,FILIPOVIC F,2 - 2,317,SRB,5:17
Action shot - Goal,2.0,1,2,3,SRB,2.0,MANDIC D,3 - 2,302,SRB,5:02
Turnover foul,5.0,1,2,3,SRB,2.0,BRGULJAN D,3 - 2,276,MNE,4:36
5m shot - Goal,8.0,1,2,4,SRB,2.0,ALEKSIC M,4 - 2,251,SRB,4:11
Turnover foul,7.0,1,2,4,SRB,2.0,JANOVIC M,4 - 2,226,MNE,3:46
Action shot - Missed,8.0,1,2,4,SRB,2.0,ALEKSIC M,4 - 2,202,SRB,3:22
Time-Out,,1,2,4,SRB,2.0,,4 - 2,202,MNE,3:22
Action shot - Saved,2.0,1,2,4,SRB,2.0,BRGULJAN D,4 - 2,180,MNE,3:00
Turnover foul,6.0,1,2,4,SRB,2.0,PIJETLOVIC D,4 - 2,151,SRB,2:31
Steal,9.0,1,2,4,SRB,2.0,IVOVIC A,4 - 2,151,MNE,2:31
20 sec. exclusion in centre,9.0,1,2,4,SRB,2.0,JAKSIC N,4 - 2,143,SRB,2:23
Action shot - Goal,10.0,1,2,5,SRB,2.0,FILIPOVIC F,5 - 2,127,SRB,2:07
Turnover foul,9.0,1,2,5,SRB,2.0,IVOVIC A,5 - 2,115,MNE,1:55
Steal,6.0,1,2,5,SRB,2.0,PIJETLOVIC D,5 - 2,115,SRB,1:55
Action shot - Goal,8.0,1,2,6,SRB,2.0,ALEKSIC M,6 - 2,106,SRB,1:46
Action shot - Goal,7.0,1,3,6,SRB,2.0,JANOVIC M,6 - 3,92,MNE,1:32
20 sec. exclusion in centre,4.0,1,3,6,SRB,2.0,CUCKOVIC U,6 - 3,76,MNE,1:16
Time-Out,,1,3,6,SRB,2.0,,6 - 3,76,SRB,1:16
Turnover foul,8.0,1,3,6,SRB,2.0,ALEKSIC M,6 - 3,55,SRB,0:55
Steal,9.0,1,3,6,SRB,2.0,IVOVIC A,6 - 3,55,MNE,0:55
5m shot - Missed,2.0,1,3,6,SRB,2.0,BRGULJAN D,6 - 3,28,MNE,0:28
5m shot - Saved,8.0,1,3,6,SRB,2.0,ALEKSIC M,6 - 3,4,SRB,0:04
Starting goalkeeper,1.0,1,3,6,SRB,3.0,PIJETLOVIC G,6 - 3,480,SRB,8:00
Starting goalkeeper,13.0,1,3,6,SRB,3.0,SCEPANOVIC M,6 - 3,480,MNE,8:00
Sprint won possession,2.0,1,3,6,SRB,3.0,BRGULJAN D,6 - 3,480,MNE,8:00
Turnover foul,6.0,1,3,6,SRB,3.0,RADOVIC A,6 - 3,451,MNE,7:31
Steal,7.0,1,3,6,SRB,3.0,NIKIC S,6 - 3,451,SRB,7:31
5m shot - Post,4.0,1,3,6,SRB,3.0,RANDELOVIC S,6 - 3,421,SRB,7:01
20 sec. exclusion in centre,4.0,1,3,6,SRB,3.0,RANDELOVIC S,6 - 3,405,SRB,6:45
Action shot - Goal,2.0,1,4,6,SRB,3.0,BRGULJAN D,6 - 4,384,MNE,6:24
5m shot - Post,11.0,1,4,6,SRB,3.0,PRLAINOVIC A,6 - 4,360,SRB,6:00
Turnover foul,9.0,1,4,6,SRB,3.0,IVOVIC A,6 - 4,340,MNE,5:40
20 sec. exclusion in centre,10.0,1,4,6,SRB,3.0,MURISIC N,6 - 4,322,MNE,5:22
Extra player shot - Goal,12.0,1,4,7,SRB,3.0,MITORVIC S,7 - 4,304,SRB,5:04
5m shot - Goal,5.0,1,5,7,SRB,3.0,BRGULJAN D,7 - 5,286,MNE,4:46
5m shot - Post,10.0,1,5,7,SRB,3.0,FILIPOVIC F,7 - 5,257,SRB,4:17
20 sec. exclusion in centre,8.0,1,5,7,SRB,3.0,ALEKSIC M,7 - 5,231,SRB,3:51
Time-Out,,1,5,7,SRB,3.0,,7 - 5,231,MNE,3:51
5m shot - Blocked,8.0,1,5,7,SRB,3.0,UKROPINA A,7 - 5,206,MNE,3:26
Action shot - Goal,3.0,1,6,7,SRB,3.0,PASKOVIC V,7 - 6,206,MNE,3:26
Time-Out,,1,6,7,SRB,3.0,,7 - 6,206,SRB,3:26
Action shot - Goal,2.0,1,6,8,SRB,3.0,MANDIC D,8 - 6,191,SRB,3:11
20 sec. exclusion in centre,2.0,1,6,8,SRB,3.0,MANDIC D,8 - 6,180,SRB,3:00
Extra player shot - Saved,7.0,1,6,8,SRB,3.0,JANOVIC M,8 - 6,153,MNE,2:33
20 sec. exclusion in centre,5.0,1,6,8,SRB,3.0,BRGULJAN D,8 - 6,150,MNE,2:30
Extra player shot - Goal,11.0,1,6,9,SRB,3.0,PRLAINOVIC A,9 - 6,137,SRB,2:17
Turnover foul,12.0,1,6,9,SRB,3.0,JOKIC P,9 - 6,108,MNE,1:48
Steal,3.0,1,6,9,SRB,3.0,GOCIC Z,9 - 6,108,SRB,1:48
20 sec. exclusion in centre,10.0,1,6,9,SRB,3.0,MURISIC N,9 - 6,88,MNE,1:28
Exclusion with substitution,10.0,1,6,9,SRB,3.0,MURISIC N,9 - 6,88,MNE,1:28
Extra player shot - Saved,12.0,1,6,9,SRB,3.0,MITORVIC S,9 - 6,68,SRB,1:08
Turnover foul,6.0,1,6,9,SRB,3.0,RADOVIC A,9 - 6,41,MNE,0:41
Turnover foul,9.0,1,6,9,SRB,3.0,JAKSIC N,9 - 6,20,SRB,0:20
Action shot - Goal,7.0,1,7,9,SRB,3.0,JANOVIC M,9 - 7,4,MNE,0:04
Starting goalkeeper,1.0,1,7,9,SRB,4.0,PIJETLOVIC G,9 - 7,480,SRB,8:00
Starting goalkeeper,13.0,1,7,9,SRB,4.0,SCEPANOVIC M,9 - 7,480,MNE,8:00
Sprint won possession,2.0,1,7,9,SRB,4.0,BRGULJAN D,9 - 7,480,MNE,8:00
5m shot - Saved,9.0,1,7,9,SRB,4.0,IVOVIC A,9 - 7,454,MNE,7:34
Penalty foul,5.0,1,7,9,SRB,4.0,BRGULJAN D,9 - 7,444,MNE,7:24
Penalty shot - Goal,10.0,1,7,10,SRB,4.0,FILIPOVIC F,10 - 7,444,SRB,7:24
Turnover foul,6.0,1,7,10,SRB,4.0,PIJETLOVIC D,10 - 7,404,SRB,6:44
Turnover foul,3.0,1,7,10,SRB,4.0,PASKOVIC V,10 - 7,384,MNE,6:24
20 sec. exclusion in centre,9.0,1,7,10,SRB,4.0,IVOVIC A,10 - 7,374,MNE,6:14
Extra player shot - Goal,9.0,1,7,11,SRB,4.0,JAKSIC N,11 - 7,358,SRB,5:58
Goalkeeper substitution,13.0,1,7,11,SRB,4.0,MITROVIC B,11 - 7,336,SRB,5:36
20 sec. exclusion in centre,4.0,1,7,11,SRB,4.0,RANDELOVIC S,11 - 7,338,SRB,5:38
Exclusion with substitution,4.0,1,7,11,SRB,4.0,RANDELOVIC S,11 - 7,338,SRB,5:38
Extra player shot - Post,2.0,1,7,11,SRB,4.0,BRGULJAN D,11 - 7,319,MNE,5:19
Turnover foul,11.0,1,7,11,SRB,4.0,PRLAINOVIC A,11 - 7,292,SRB,4:52
Goalkeeper substitution,1.0,1,7,11,SRB,4.0,LAZOVIC D,11 - 7,277,MNE,4:37
20 sec. exclusion in centre,9.0,1,7,11,SRB,4.0,JAKSIC N,11 - 7,274,SRB,4:34
Extra player shot - Goal,5.0,1,8,11,SRB,4.0,BRGULJAN D,11 - 8,257,MNE,4:17
Turnover foul,12.0,1,8,11,SRB,4.0,MITORVIC S,11 - 8,224,SRB,3:44
Steal,5.0,1,8,11,SRB,4.0,BRGULJAN D,11 - 8,224,MNE,3:44
Turnover foul,11.0,1,8,11,SRB,4.0,PRLAINOVIC A,11 - 8,179,SRB,2:59
20 sec. exclusion in centre,7.0,1,8,11,SRB,4.0,NIKIC S,11 - 8,159,SRB,2:39
Time-Out,,1,8,11,SRB,4.0,,11 - 8,159,MNE,2:39
Goalkeeper substitution,13.0,1,8,11,SRB,4.0,SCEPANOVIC M,11 - 8,159,MNE,2:39
Action shot - Saved,4.0,1,8,11,SRB,4.0,CUCKOVIC U,11 - 8,134,MNE,2:14
Action shot - Saved,9.0,1,8,11,SRB,4.0,JAKSIC N,11 - 8,114,SRB,1:54
Time-Out,,1,8,11,SRB,4.0,,11 - 8,114,SRB,1:54
Action shot - Saved,5.0,1,8,11,SRB,4.0,CUK M,11 - 8,83,SRB,1:23
Turnover foul,12.0,1,8,11,SRB,4.0,JOKIC P,11 - 8,65,MNE,1:05
Centre shot - Post,6.0,1,8,11,SRB,4.0,PIJETLOVIC D,11 - 8,34,SRB,0:34
Action shot - Saved,9.0,1,8,11,SRB,4.0,IVOVIC A,11 - 8,16,MNE,0:16
Starting goalkeeper,1.0,2,0,0,AUS,1.0,STANTON-FRENCH J,0 - 0,480,AUS,8:00
