Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
ASHAEV A,1,1,0,1,0,1,0,0,0,0,0,0,0,3,0
ASHAEV A,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
ASHAEV A,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0
ASHAEV A,5,0,0,1,0,0,0,0,0,1,0,0,0,1,1
BUGAYCHUK A,1,3,2,0,0,0,0,2,1,0,0,0,0,5,3
BUGAYCHUK A,2,2,1,0,0,1,0,0,0,0,0,0,0,4,0
BUGAYCHUK A,3,1,0,0,0,1,0,1,0,0,0,1,0,2,2
BUGAYCHUK A,4,1,0,0,0,1,0,0,0,0,0,0,0,2,0
BUGAYCHUK A,5,0,1,0,0,0,1,0,1,0,0,0,1,2,2
BYCHKOV I,1,2,2,0,0,0,0,0,0,0,0,0,0,4,0
BYCHKOV I,2,2,0,0,0,1,0,0,0,0,0,0,0,3,0
BYCHKOV I,3,3,3,1,0,0,0,0,1,0,0,0,0,7,1
BYCHKOV I,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
BYCHKOV I,5,1,2,0,1,1,0,0,2,0,1,0,0,5,3
KHOLOD D,1,5,0,0,0,0,0,0,0,0,0,0,0,5,0
KHOLOD D,2,0,2,0,0,1,0,0,2,0,0,1,0,3,3
KHOLOD D,3,0,2,0,0,0,0,0,1,0,0,0,0,2,1
KHOLOD D,4,0,1,0,0,2,0,0,1,0,0,1,0,3,2
KHOLOD D,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
LISUNOV S,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
LISUNOV S,2,0,0,0,0,2,0,0,0,0,0,1,0,2,1
LISUNOV S,3,0,0,2,0,1,0,0,0,1,0,1,0,3,2
LISUNOV S,4,0,0,3,0,1,0,0,0,1,0,1,0,4,2
LISUNOV S,5,0,1,1,0,0,0,0,0,0,0,0,0,2,0
MAGOMAEV L,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0
MAGOMAEV L,5,1,1,0,0,0,0,0,0,0,0,0,0,2,0
NAGAEV I,1,3,0,0,0,0,0,1,0,0,0,0,0,3,1
NAGAEV I,2,0,1,0,0,1,1,0,0,0,0,0,1,3,1
NAGAEV I,3,0,2,0,0,2,1,0,0,0,0,2,1,5,3
NAGAEV I,4,1,1,0,1,0,0,0,1,0,0,0,0,3,1
NAGAEV I,5,2,0,0,0,2,0,0,0,0,0,1,0,4,1
ODINTSOV A,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1
ODINTSOV A,3,0,0,0,0,2,0,0,0,0,0,1,0,2,1
ODINTSOV A,4,0,0,0,0,2,0,0,0,0,0,2,0,2,2
STEPANIUK K,1,4,1,1,0,1,0,0,1,0,0,0,0,7,1
STEPANIUK K,2,3,0,0,0,0,0,0,0,0,0,0,0,3,0
STEPANIUK K,3,1,0,0,0,0,0,1,0,0,0,0,0,1,1
STEPANIUK K,4,2,1,0,0,1,1,0,0,0,0,1,1,5,2
STEPANIUK K,5,0,1,1,0,0,1,0,0,1,0,0,1,3,2
TIMAKOV V,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
TIMAKOV V,2,1,2,0,0,0,0,0,1,0,0,0,0,3,1
TIMAKOV V,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0
TIMAKOV V,4,0,1,0,0,1,0,0,0,0,0,1,0,2,1
TIMAKOV V,5,0,0,1,1,0,0,0,0,0,0,0,0,2,0
