Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
ARANCINI Z,1,1,1,0,0,1,0,0,1,0,0,0,0,3,1
ARANCINI Z,2,0,0,1,1,0,0,0,0,0,1,0,0,2,1
ARANCINI Z,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0
ARANCINI Z,4,0,3,0,0,0,0,0,1,0,0,0,0,3,1
ARANCINI Z,5,0,0,0,0,1,1,0,0,0,0,1,0,2,1
ARANCINI Z,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0
BEADSWORTH G,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
BEADSWORTH G,2,0,0,0,0,2,0,0,0,0,0,2,0,2,2
BEADSWORTH G,4,0,1,0,0,1,0,0,0,0,0,0,0,2,0
BEADSWORTH G,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0
BEADSWORTH G,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0
BUCKLING H,1,1,2,0,0,1,0,0,0,0,0,1,0,4,1
BUCKLING H,2,0,2,0,1,0,0,0,2,0,0,0,0,3,2
BUCKLING H,4,0,2,0,0,0,0,0,1,0,0,0,0,2,1
BUCKLING H,5,1,0,0,1,0,0,0,0,0,0,0,0,2,0
BUCKLING H,6,0,0,0,0,1,0,0,0,0,0,1,0,1,1
GOFERS K,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
GOFERS K,2,2,1,0,0,1,1,0,1,0,0,1,1,5,3
GOFERS K,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0
GOFERS K,5,0,1,0,0,1,0,0,0,0,0,1,0,2,1
GOFERS K,6,1,1,0,1,0,0,0,0,0,0,0,0,3,0
HALLIGAN B,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0
HALLIGAN B,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0
HALLIGAN B,3,0,1,0,1,0,0,0,0,0,1,0,0,2,1
HALLIGAN B,4,0,2,0,0,0,0,0,1,0,0,0,0,2,1
KNOX B,1,1,2,0,0,0,0,0,0,0,0,0,0,3,0
KNOX B,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0
KNOX B,3,1,2,0,1,0,0,0,0,0,1,0,0,4,1
KNOX B,4,1,1,0,0,0,0,0,1,0,0,0,0,2,1
KNOX B,5,1,0,0,0,1,0,0,0,0,0,0,0,2,0
KNOX B,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0
LINCOLN-SMITH H,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
LINCOLN-SMITH H,2,0,1,1,2,0,0,0,0,1,2,0,0,4,3
LINCOLN-SMITH H,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0
LINCOLN-SMITH H,5,0,1,0,0,0,0,0,1,0,0,0,0,1,1
MCGHIE G,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1
MCGHIE G,2,2,0,0,0,0,0,1,0,0,0,0,0,2,1
MCGHIE G,3,2,4,1,0,0,0,0,1,0,0,0,0,7,1
MCGHIE G,4,0,2,0,2,0,0,0,0,0,1,0,0,4,1
MCGHIE G,5,2,4,0,0,0,0,0,1,0,0,0,0,6,1
MCGHIE G,6,2,3,0,0,0,0,0,1,0,0,0,0,5,1
SOUTHERN A,1,1,4,0,0,1,0,0,0,0,0,1,0,6,1
SOUTHERN A,2,2,2,0,1,2,0,1,2,0,1,1,0,7,5
SOUTHERN A,3,0,1,1,1,1,1,0,0,0,0,1,1,5,2
SOUTHERN A,4,2,2,0,0,0,0,1,0,0,0,0,0,4,1
SOUTHERN A,5,3,2,1,0,0,0,0,0,1,0,0,0,6,1
SOUTHERN A,6,1,2,1,1,0,0,0,1,0,1,0,0,5,2
WEBSTER R,1,1,1,0,0,2,0,0,0,0,0,1,0,4,1
WEBSTER R,2,1,2,0,0,0,1,0,0,0,0,0,1,4,1
WEBSTER R,3,1,1,0,0,0,1,1,0,0,0,0,0,3,1
WEBSTER R,4,2,2,0,0,0,1,0,0,0,0,0,1,5,1
WEBSTER R,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0
WEBSTER R,6,3,3,0,1,0,0,0,1,0,1,0,0,7,2
ZAGAME N,1,1,0,1,1,1,0,0,0,0,1,1,0,4,2
ZAGAME N,2,0,1,0,2,0,0,0,0,0,1,0,0,3,1
ZAGAME N,3,0,0,1,2,0,0,0,0,1,1,0,0,3,2
ZAGAME N,5,0,2,0,0,0,0,0,1,0,0,0,0,2,1
ZAGAME N,6,0,1,0,2,1,0,0,0,0,0,1,0,4,1
