Action,BRA,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,0,1.0,1,0,USA,1.0,OLIVEIRA T,0 - 0,480,BRA,8:00
Starting goalkeeper,0,13.0,1,0,USA,1.0,JOHNSON A,0 - 0,480,USA,8:00
Sprint won possession,0,3.0,1,0,USA,1.0,ZABLITH M,0 - 0,480,BRA,8:00
20 sec. exclusion in centre,0,6.0,1,0,USA,1.0,CHIAPPINI I,0 - 0,450,BRA,7:30
Extra player shot - Goal,0,6.0,1,1,USA,1.0,STEFFENS M,0 - 1,435,USA,7:15
Turnover foul,0,12.0,1,1,USA,1.0,MANTELLATO G,0 - 1,402,BRA,6:42
Action shot - Goal,0,12.0,1,2,USA,1.0,CRAIG K,0 - 2,390,USA,6:30
Action shot - Saved,0,7.0,1,2,USA,1.0,OLIVEIRA A,0 - 2,357,BRA,5:57
Action shot - Saved,0,5.0,1,2,USA,1.0,WILLIAMS A,0 - 2,342,USA,5:42
Turnover foul,0,5.0,1,2,USA,1.0,BARRONCAS L,0 - 2,315,BRA,5:15
Steal,0,13.0,1,2,USA,1.0,JOHNSON A,0 - 2,315,USA,5:15
Action shot - Goal,0,4.0,1,3,USA,1.0,FATTAL R,0 - 3,305,USA,5:05
Turnover foul,0,7.0,1,3,USA,1.0,OLIVEIRA A,0 - 3,288,BRA,4:48
Action shot - Saved,0,10.0,1,3,USA,1.0,GILCHRIST K,0 - 3,270,USA,4:30
Penalty foul,0,7.0,1,3,USA,1.0,OLIVEIRA A,0 - 3,270,BRA,4:30
Penalty shot - Goal,0,11.0,1,4,USA,1.0,FISCHER M,0 - 4,270,USA,4:30
5m shot - Missed,0,6.0,1,4,USA,1.0,CHIAPPINI I,0 - 4,244,BRA,4:04
Action shot - Missed,0,8.0,1,4,USA,1.0,NEUSHUL K,0 - 4,221,USA,3:41
20 sec. exclusion in centre,0,3.0,1,4,USA,1.0,SEIDEMANN M,0 - 4,206,USA,3:26
Action shot - Missed,0,6.0,1,4,USA,1.0,CHIAPPINI I,0 - 4,190,BRA,3:10
Turnover foul,0,8.0,1,4,USA,1.0,NEUSHUL K,0 - 4,148,USA,2:28
Steal,0,1.0,1,4,USA,1.0,OLIVEIRA T,0 - 4,148,BRA,2:28
Action shot - Goal,0,11.0,1,5,USA,1.0,FISCHER M,0 - 5,115,USA,1:55
20 sec. exclusion in centre,0,3.0,1,5,USA,1.0,ZABLITH M,0 - 5,75,BRA,1:15
Extra player shot - Goal,0,7.0,1,6,USA,1.0,MATHEWSON C,0 - 6,65,USA,1:05
Time-Out,0,,1,6,USA,1.0,,0 - 6,57,BRA,0:57
Turnover foul,0,9.0,1,6,USA,1.0,DIAS M,0 - 6,34,BRA,0:34
Time-Out,0,,1,6,USA,1.0,,0 - 6,34,USA,0:34
20 sec. exclusion in centre,0,3.0,1,6,USA,1.0,ZABLITH M,0 - 6,19,BRA,0:19
Extra player shot - Post,0,7.0,1,6,USA,1.0,MATHEWSON C,0 - 6,0,USA,0:00
Starting goalkeeper,0,1.0,1,6,USA,2.0,OLIVEIRA T,0 - 6,480,BRA,8:00
Starting goalkeeper,0,13.0,1,6,USA,2.0,JOHNSON A,0 - 6,480,USA,8:00
Sprint won possession,0,8.0,1,6,USA,2.0,NEUSHUL K,0 - 6,480,USA,8:00
Turnover foul,0,6.0,1,6,USA,2.0,STEFFENS M,0 - 6,445,USA,7:25
Turnover foul,0,6.0,1,6,USA,2.0,CHIAPPINI I,0 - 6,415,BRA,6:55
Steal,0,4.0,1,6,USA,2.0,FATTAL R,0 - 6,415,USA,6:55
Turnover foul,0,5.0,1,6,USA,2.0,WILLIAMS A,0 - 6,382,USA,6:22
Turnover foul,0,9.0,1,6,USA,2.0,DIAS M,0 - 6,365,BRA,6:05
Action shot - Saved,0,8.0,1,6,USA,2.0,NEUSHUL K,0 - 6,354,USA,5:54
5m shot - Saved,0,12.0,1,6,USA,2.0,MANTELLATO G,0 - 6,329,BRA,5:29
Action shot - Goal,0,4.0,1,7,USA,2.0,FATTAL R,0 - 7,313,USA,5:13
20 sec. exclusion in centre,0,2.0,1,7,USA,2.0,MUSSELMAN M,0 - 7,298,USA,4:58
Action shot - Saved,0,4.0,1,7,USA,2.0,DUARTE M,0 - 7,274,BRA,4:34
Turnover foul,0,10.0,1,7,USA,2.0,GILCHRIST K,0 - 7,242,USA,4:02
Steal,0,10.0,1,7,USA,2.0,BAHIA V,0 - 7,242,BRA,4:02
Turnover foul,0,8.0,1,7,USA,2.0,CARVALHO L,0 - 7,226,BRA,3:46
Action shot - Goal,0,2.0,1,8,USA,2.0,MUSSELMAN M,0 - 8,213,USA,3:33
20 sec. exclusion in centre,0,11.0,1,8,USA,2.0,FISCHER M,0 - 8,198,USA,3:18
Action shot - Saved,0,9.0,1,8,USA,2.0,DIAS M,0 - 8,179,BRA,2:59
Action shot - Goal,0,10.0,1,9,USA,2.0,GILCHRIST K,0 - 9,148,USA,2:28
5m shot - Saved,0,9.0,1,9,USA,2.0,DIAS M,0 - 9,122,BRA,2:02
Centre shot - Saved,0,9.0,1,9,USA,2.0,GROSSMAN A,0 - 9,96,USA,1:36
Turnover foul,0,3.0,1,9,USA,2.0,ZABLITH M,0 - 9,74,BRA,1:14
Steal,0,13.0,1,9,USA,2.0,JOHNSON A,0 - 9,74,USA,1:14
5m shot - Post,0,4.0,1,9,USA,2.0,FATTAL R,0 - 9,48,USA,0:48
Time-Out,0,,1,9,USA,2.0,,0 - 9,34,BRA,0:34
5m shot - Saved,0,10.0,1,9,USA,2.0,BAHIA V,0 - 9,19,BRA,0:19
Time-Out,0,,1,9,USA,2.0,,0 - 9,16,USA,0:16
Action shot - Missed,0,6.0,1,9,USA,2.0,STEFFENS M,0 - 9,2,USA,0:02
Starting goalkeeper,0,13.0,1,9,USA,3.0,CHAMORRO V,0 - 9,480,BRA,8:00
Starting goalkeeper,0,13.0,1,9,USA,3.0,JOHNSON A,0 - 9,480,USA,8:00
Sprint won possession,0,8.0,1,9,USA,3.0,NEUSHUL K,0 - 9,480,USA,8:00
5m shot - Goal,0,8.0,1,10,USA,3.0,NEUSHUL K,0 - 10,451,USA,7:31
