Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
BAHIA V,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0
BAHIA V,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0
BAHIA V,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
BAHIA V,5,0,1,0,0,0,0,0,1,0,0,0,0,1,1
BARRONCAS L,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0
CARVALHO L,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1
CHIAPPINI I,1,4,2,0,0,0,0,1,0,0,0,0,0,6,1
CHIAPPINI I,2,1,2,1,0,2,1,1,2,1,0,0,1,7,5
CHIAPPINI I,3,7,0,0,0,1,0,1,0,0,0,0,0,8,1
CHIAPPINI I,4,4,0,0,3,0,2,2,0,0,2,0,1,9,5
CHIAPPINI I,5,0,1,0,0,2,1,0,0,0,0,2,1,4,3
CHIAPPINI I,6,3,3,0,1,0,0,0,2,0,0,0,0,7,2
DIAS M,1,2,1,0,0,0,0,0,0,0,0,0,0,3,0
DIAS M,2,0,0,1,0,2,0,0,0,1,0,2,0,3,3
DIAS M,3,3,2,0,0,0,0,0,1,0,0,0,0,5,1
DIAS M,4,1,0,0,0,2,0,0,0,0,0,1,0,3,1
DIAS M,5,2,2,0,1,1,0,0,0,0,1,1,0,6,2
DIAS M,6,1,0,0,0,1,0,1,0,0,0,0,0,2,1
DUARTE M,1,1,2,0,0,0,0,0,0,0,0,0,0,3,0
DUARTE M,4,1,0,0,0,0,0,1,0,0,0,0,0,1,1
DUARTE M,5,3,0,0,0,0,0,1,0,0,0,0,0,3,1
DUARTE M,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0
MANTELLATO G,1,2,2,0,0,0,0,0,0,0,0,0,0,4,0
MANTELLATO G,2,0,0,0,0,1,0,0,0,0,0,1,0,1,1
MANTELLATO G,3,0,3,0,0,1,0,0,0,0,0,0,0,4,0
MANTELLATO G,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
MANTELLATO G,5,0,1,0,1,0,0,0,0,0,1,0,0,2,1
MANTELLATO G,6,0,2,0,0,0,0,0,1,0,0,0,0,2,1
OLIVEIRA A,1,1,2,0,0,0,0,0,1,0,0,0,0,3,1
OLIVEIRA A,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1
OLIVEIRA A,3,3,6,0,0,0,0,1,3,0,0,0,0,9,4
OLIVEIRA A,4,4,0,0,0,1,0,0,0,0,0,1,0,5,1
OLIVEIRA A,5,2,1,0,0,0,0,1,0,0,0,0,0,3,1
OLIVEIRA A,6,3,1,0,0,0,0,1,0,0,0,0,0,4,1
ZABLITH M,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ZABLITH M,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0
ZABLITH M,5,2,1,0,0,0,0,1,0,0,0,0,0,3,1
ZABLITH M,6,0,2,0,0,0,0,0,2,0,0,0,0,2,2
