Action,BRA,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Extra player shot,0,6.0,1,1,USA,1.0,STEFFENS M,0 - 1,435,USA,7:15,Goal,1
Action shot,0,12.0,1,2,USA,1.0,CRAIG K,0 - 2,390,USA,6:30,Goal,1
Action shot,0,7.0,1,2,USA,1.0,OLIVEIRA A,0 - 2,357,BRA,5:57,Saved,0
Action shot,0,5.0,1,2,USA,1.0,WILLIAMS A,0 - 2,342,USA,5:42,Saved,0
Action shot,0,4.0,1,3,USA,1.0,FATTAL R,0 - 3,305,USA,5:05,Goal,1
Action shot,0,10.0,1,3,USA,1.0,GILCHRIST K,0 - 3,270,USA,4:30,Saved,0
Penalty shot,0,11.0,1,4,USA,1.0,FISCHER M,0 - 4,270,USA,4:30,Goal,1
5m shot,0,6.0,1,4,USA,1.0,CHIAPPINI I,0 - 4,244,BRA,4:04,Missed,0
Action shot,0,8.0,1,4,USA,1.0,NEUSHUL K,0 - 4,221,USA,3:41,Missed,0
Action shot,0,6.0,1,4,USA,1.0,CHIAPPINI I,0 - 4,190,BRA,3:10,Missed,0
Action shot,0,11.0,1,5,USA,1.0,FISCHER M,0 - 5,115,USA,1:55,Goal,1
Extra player shot,0,7.0,1,6,USA,1.0,MATHEWSON C,0 - 6,65,USA,1:05,Goal,1
Extra player shot,0,7.0,1,6,USA,1.0,MATHEWSON C,0 - 6,0,USA,0:00,Post,0
Action shot,0,8.0,1,6,USA,2.0,NEUSHUL K,0 - 6,354,USA,5:54,Saved,0
5m shot,0,12.0,1,6,USA,2.0,MANTELLATO G,0 - 6,329,BRA,5:29,Saved,0
Action shot,0,4.0,1,7,USA,2.0,FATTAL R,0 - 7,313,USA,5:13,Goal,1
Action shot,0,4.0,1,7,USA,2.0,DUARTE M,0 - 7,274,BRA,4:34,Saved,0
Action shot,0,2.0,1,8,USA,2.0,MUSSELMAN M,0 - 8,213,USA,3:33,Goal,1
Action shot,0,9.0,1,8,USA,2.0,DIAS M,0 - 8,179,BRA,2:59,Saved,0
Action shot,0,10.0,1,9,USA,2.0,GILCHRIST K,0 - 9,148,USA,2:28,Goal,1
5m shot,0,9.0,1,9,USA,2.0,DIAS M,0 - 9,122,BRA,2:02,Saved,0
Centre shot,0,9.0,1,9,USA,2.0,GROSSMAN A,0 - 9,96,USA,1:36,Saved,0
5m shot,0,4.0,1,9,USA,2.0,FATTAL R,0 - 9,48,USA,0:48,Post,0
5m shot,0,10.0,1,9,USA,2.0,BAHIA V,0 - 9,19,BRA,0:19,Saved,0
Action shot,0,6.0,1,9,USA,2.0,STEFFENS M,0 - 9,2,USA,0:02,Missed,0
5m shot,0,8.0,1,10,USA,3.0,NEUSHUL K,0 - 10,451,USA,7:31,Goal,1
5m shot,0,6.0,1,10,USA,3.0,CHIAPPINI I,0 - 10,422,BRA,7:02,Missed,0
Extra player shot,0,6.0,1,11,USA,3.0,STEFFENS M,0 - 11,381,USA,6:21,Goal,1
Action shot,1,7.0,1,11,USA,3.0,OLIVEIRA A,1 - 11,356,BRA,5:56,Goal,1
Action shot,1,12.0,1,11,USA,3.0,MANTELLATO G,1 - 11,304,BRA,5:04,Saved,0
Extra player shot,1,2.0,1,11,USA,3.0,MUSSELMAN M,1 - 11,225,USA,3:45,Post,0
5m shot,1,10.0,1,11,USA,3.0,BAHIA V,1 - 11,194,BRA,3:14,Saved,0
Action shot,1,3.0,1,11,USA,3.0,SEIDEMANN M,1 - 11,166,USA,2:46,Missed,0
5m shot,1,7.0,1,11,USA,3.0,OLIVEIRA A,1 - 11,145,BRA,2:25,Saved,0
Action shot,1,11.0,1,11,USA,3.0,FISCHER M,1 - 11,122,USA,2:02,Blocked,0
5m shot,1,9.0,1,11,USA,3.0,DIAS M,1 - 11,94,BRA,1:34,Saved,0
Action shot,1,11.0,1,11,USA,3.0,FISCHER M,1 - 11,80,USA,1:20,Saved,0
5m shot,1,4.0,1,11,USA,3.0,FATTAL R,1 - 11,56,USA,0:56,Missed,0
5m shot,1,12.0,1,11,USA,3.0,MANTELLATO G,1 - 11,25,BRA,0:25,Saved,0
5m shot,1,2.0,1,11,USA,3.0,MUSSELMAN M,1 - 11,3,USA,0:03,Post,0
Action shot,1,8.0,1,12,USA,4.0,NEUSHUL K,1 - 12,451,USA,7:31,Goal,1
5m shot,1,4.0,1,12,USA,4.0,DUARTE M,1 - 12,426,BRA,7:06,Missed,0
5m shot,1,6.0,1,13,USA,4.0,STEFFENS M,1 - 13,402,USA,6:42,Goal,1
5m shot,1,6.0,1,13,USA,4.0,CHIAPPINI I,1 - 13,376,BRA,6:16,Saved,0
Action shot,1,4.0,1,13,USA,4.0,FATTAL R,1 - 13,318,USA,5:18,Blocked,0
Action shot,1,12.0,1,13,USA,4.0,MANTELLATO G,1 - 13,279,BRA,4:39,Saved,0
Action shot,1,4.0,1,13,USA,4.0,DUARTE M,1 - 13,248,BRA,4:08,Saved,0
5m shot,2,6.0,1,13,USA,4.0,CHIAPPINI I,2 - 13,168,BRA,2:48,Goal,1
5m shot,2,3.0,1,13,USA,4.0,SEIDEMANN M,2 - 13,137,USA,2:17,Saved,0
Action shot,2,6.0,1,13,USA,4.0,CHIAPPINI I,2 - 13,94,BRA,1:34,Blocked,0
Action shot,2,8.0,1,13,USA,4.0,NEUSHUL K,2 - 13,60,USA,1:00,Post,0
Action shot,2,8.0,1,13,USA,4.0,NEUSHUL K,2 - 13,40,USA,0:40,Blocked,0
Extra player shot,0,6.0,2,0,JPN,1.0,CHIAPPINI I,0 - 0,451,BRA,7:31,Saved,0
Centre shot,1,6.0,2,0,JPN,1.0,CHIAPPINI I,1 - 0,436,BRA,7:16,Goal,1
Centre shot,2,9.0,2,0,JPN,1.0,DIAS M,2 - 0,403,BRA,6:43,Goal,1
Extra player shot,2,10.0,2,0,JPN,1.0,MORI T,2 - 0,326,JPN,5:26,Blocked,0
Action shot,2,7.0,2,0,JPN,1.0,NAKANO Y,2 - 0,312,JPN,5:12,Saved,0
Action shot,2,11.0,2,0,JPN,1.0,TOKUMOTO M,2 - 0,302,JPN,5:02,Saved,0
Action shot,2,7.0,2,0,JPN,1.0,NAKANO Y,2 - 0,265,JPN,4:25,Blocked,0
Counter attack,2,7.0,2,1,JPN,1.0,NAKANO Y,2 - 1,221,JPN,3:41,Goal,1
Extra player shot,3,12.0,2,1,JPN,1.0,MANTELLATO G,3 - 1,181,BRA,3:01,Goal,1
Penalty shot,4,6.0,2,1,JPN,1.0,CHIAPPINI I,4 - 1,130,BRA,2:10,Goal,1
5m shot,4,7.0,2,1,JPN,1.0,NAKANO Y,4 - 1,108,JPN,1:48,Post,0
5m shot,4,7.0,2,1,JPN,1.0,NAKANO Y,4 - 1,59,JPN,0:59,Post,0
Action shot,4,6.0,2,2,JPN,1.0,TAKAHASHI A,4 - 2,26,JPN,0:26,Goal,1
Action shot,4,4.0,2,2,JPN,2.0,MAGARIYAMA S,4 - 2,437,JPN,7:17,Saved,0
Action shot,4,3.0,2,2,JPN,2.0,ZABLITH M,4 - 2,383,BRA,6:23,Missed,0
5m shot,4,4.0,2,2,JPN,2.0,MAGARIYAMA S,4 - 2,376,JPN,6:16,Missed,0
Action shot,4,2.0,2,2,JPN,2.0,SAKANOUE C,4 - 2,299,JPN,4:59,Saved,0
5m shot,5,6.0,2,2,JPN,2.0,CHIAPPINI I,5 - 2,277,BRA,4:37,Goal,1
5m shot,5,12.0,2,2,JPN,2.0,SUZUKI K,5 - 2,255,JPN,4:15,Saved,0
Action shot,5,9.0,2,2,JPN,2.0,HOSOYA K,5 - 2,211,JPN,3:31,Saved,0
Extra player shot,6,9.0,2,2,JPN,2.0,DIAS M,6 - 2,186,BRA,3:06,Goal,1
Action shot,6,4.0,2,2,JPN,2.0,MAGARIYAMA S,6 - 2,154,JPN,2:34,Saved,0
Action shot,6,4.0,2,3,JPN,2.0,MAGARIYAMA S,6 - 3,109,JPN,1:49,Goal,1
Extra player shot,6,6.0,2,3,JPN,2.0,CHIAPPINI I,6 - 3,22,BRA,0:22,Saved,0
5m shot,6,7.0,2,3,JPN,2.0,NAKANO Y,6 - 3,0,JPN,0:00,Post,0
Counter attack,6,3.0,2,4,JPN,3.0,KAZAMA Y,6 - 4,349,JPN,5:49,Goal,1
Extra player shot,6,5.0,2,4,JPN,3.0,BARRONCAS L,6 - 4,308,BRA,5:08,Saved,0
Action shot,7,6.0,2,4,JPN,3.0,CHIAPPINI I,7 - 4,281,BRA,4:41,Goal,1
Penalty shot,7,7.0,2,5,JPN,3.0,NAKANO Y,7 - 5,250,JPN,4:10,Goal,1
