Action,CAN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Centre shot,1,10.0,1,0,NZL,1.0,ROBINSON C,1 - 0,450,CAN,7:30,Goal,1
Penalty shot,2,5.0,1,0,NZL,1.0,EGGENS M,2 - 0,409,CAN,6:49,Goal,1
Centre shot,2,3.0,1,0,NZL,1.0,MONTON K,2 - 0,367,CAN,6:07,Missed,0
Action shot,2,9.0,1,0,NZL,1.0,STONEMAN E,2 - 0,344,NZL,5:44,Saved,0
Extra player shot,3,11.0,1,0,NZL,1.0,VALIN S,3 - 0,312,CAN,5:12,Goal,1
Action shot,3,4.0,1,0,NZL,1.0,LEWIS D,3 - 0,283,NZL,4:43,Saved,0
5m shot,3,12.0,1,0,NZL,1.0,MYLES J,3 - 0,238,NZL,3:58,Missed,0
Action shot,3,7.0,1,0,NZL,1.0,BEKHAZI J,3 - 0,206,CAN,3:26,Post,0
5m shot,3,6.0,1,0,NZL,1.0,LANDRY S,3 - 0,182,NZL,3:02,Saved,0
Action shot,3,4.0,1,0,NZL,1.0,WRIGHT E,3 - 0,155,CAN,2:35,Saved,0
Action shot,3,4.0,1,0,NZL,1.0,LEWIS D,3 - 0,137,NZL,2:17,Post,0
Extra player shot,3,11.0,1,1,NZL,1.0,HUDSON K,3 - 1,78,NZL,1:18,Goal,1
Action shot,4,8.0,1,1,NZL,1.0,FOURNIER S,4 - 1,57,CAN,0:57,Goal,1
5m shot,4,9.0,1,1,NZL,1.0,STONEMAN E,4 - 1,33,NZL,0:33,Blocked,0
Centre shot,5,9.0,1,1,NZL,1.0,EGGENS C,5 - 1,16,CAN,0:16,Goal,1
5m shot,5,,1,1,NZL,1.0,,5 - 1,1,4,0:01,Blocked,0
5m shot,5,11.0,1,1,NZL,2.0,HUDSON K,5 - 1,451,NZL,7:31,Saved,0
5m shot,6,10.0,1,1,NZL,2.0,ROBINSON C,6 - 1,436,CAN,7:16,Goal,1
Extra player shot,6,10.0,1,2,NZL,2.0,DANCE L,6 - 2,402,NZL,6:42,Goal,1
Action shot,6,4.0,1,2,NZL,2.0,LEWIS D,6 - 2,343,NZL,5:43,Saved,0
5m shot,7,8.0,1,2,NZL,2.0,FOURNIER S,7 - 2,334,CAN,5:34,Goal,1
Centre shot,7,2.0,1,3,NZL,2.0,LEWIS N,7 - 3,277,NZL,4:37,Goal,1
5m shot,7,7.0,1,3,NZL,2.0,BEKHAZI J,7 - 3,214,CAN,3:34,Saved,0
5m shot,7,5.0,1,3,NZL,2.0,EGGENS M,7 - 3,195,CAN,3:15,Saved,0
Centre shot,7,10.0,1,3,NZL,2.0,ROBINSON C,7 - 3,177,CAN,2:57,Missed,0
Extra player shot,7,12.0,1,4,NZL,2.0,MYLES J,7 - 4,108,NZL,1:48,Goal,1
Centre shot,7,2.0,1,4,NZL,2.0,ALOGBO K,7 - 4,87,CAN,1:27,Saved,0
5m shot,7,12.0,1,4,NZL,2.0,MYLES J,7 - 4,64,NZL,1:04,Missed,0
Action shot,7,10.0,1,4,NZL,2.0,ROBINSON C,7 - 4,46,CAN,0:46,Saved,0
Centre shot,7,2.0,1,4,NZL,2.0,ALOGBO K,7 - 4,5,CAN,0:05,Post,0
Action shot,7,7.0,1,4,NZL,3.0,BEKHAZI J,7 - 4,452,CAN,7:32,Saved,0
Action shot,7,8.0,1,4,NZL,3.0,FOURNIER S,7 - 4,412,CAN,6:52,Blocked,0
Action shot,8,8.0,1,4,NZL,3.0,FOURNIER S,8 - 4,387,CAN,6:27,Goal,1
Centre shot,8,5.0,1,4,NZL,3.0,EGGENS M,8 - 4,289,CAN,4:49,Saved,0
5m shot,8,9.0,1,4,NZL,3.0,STONEMAN E,8 - 4,262,NZL,4:22,Saved,0
5m shot,8,12.0,1,5,NZL,3.0,MYLES J,8 - 5,217,NZL,3:37,Goal,1
Action shot,9,7.0,1,5,NZL,3.0,BEKHAZI J,9 - 5,132,CAN,2:12,Goal,1
5m shot,9,6.0,1,6,NZL,3.0,LANDRY S,9 - 6,91,NZL,1:31,Goal,1
Centre shot,10,2.0,1,6,NZL,3.0,ALOGBO K,10 - 6,71,CAN,1:11,Goal,1
5m shot,10,10.0,1,6,NZL,3.0,DANCE L,10 - 6,43,NZL,0:43,Saved,0
Action shot,11,5.0,1,6,NZL,3.0,EGGENS M,11 - 6,18,CAN,0:18,Goal,1
Action shot,11,11.0,1,6,NZL,3.0,HUDSON K,11 - 6,2,NZL,0:02,Blocked,0
Penalty shot,12,5.0,1,6,NZL,4.0,EGGENS M,12 - 6,438,CAN,7:18,Goal,1
Action shot,12,11.0,1,6,NZL,4.0,VALIN S,12 - 6,393,CAN,6:33,Post,0
5m shot,12,11.0,1,6,NZL,4.0,VALIN S,12 - 6,329,CAN,5:29,Post,0
Action shot,12,11.0,1,6,NZL,4.0,VALIN S,12 - 6,279,CAN,4:39,Saved,0
Extra player shot,13,11.0,1,6,NZL,4.0,VALIN S,13 - 6,258,CAN,4:18,Goal,1
5m shot,13,6.0,1,6,NZL,4.0,MCKEE K,13 - 6,228,CAN,3:48,Blocked,0
Action shot,13,5.0,1,6,NZL,4.0,EGGENS M,13 - 6,197,CAN,3:17,Saved,0
Centre shot,14,3.0,1,6,NZL,4.0,MONTON K,14 - 6,180,CAN,3:00,Goal,1
Action shot,14,9.0,1,6,NZL,4.0,STONEMAN E,14 - 6,103,NZL,1:43,Saved,0
Counter attack,14,10.0,1,6,NZL,4.0,DANCE L,14 - 6,92,NZL,1:32,Saved,0
Extra player shot,15,6.0,1,6,NZL,4.0,MCKEE K,15 - 6,65,CAN,1:05,Goal,1
5m shot,15,12.0,1,6,NZL,4.0,MYLES J,15 - 6,31,NZL,0:31,Saved,0
