Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
ASIMAKI A,1,0,1,2,0,1,0,0,0,0,0,1,0,4,1
ASIMAKI A,2,0,1,2,0,0,0,0,0,0,0,0,0,3,0
ASIMAKI A,3,0,3,3,0,0,0,0,3,2,0,0,0,6,5
ASIMAKI A,4,0,0,1,0,1,0,0,0,0,0,0,0,2,0
ASIMAKI A,5,0,2,1,0,0,0,0,1,0,0,0,0,3,1
ASIMAKI A,6,0,0,1,1,0,0,0,0,0,1,0,0,2,1
ASIMAKI A,7,0,5,1,0,1,0,0,3,1,0,0,0,7,4
AVRAMIDOU A,3,0,1,0,0,1,0,0,1,0,0,0,0,2,1
AVRAMIDOU A,4,1,4,0,0,0,0,0,0,0,0,0,0,5,0
AVRAMIDOU A,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0
AVRAMIDOU A,6,0,0,0,0,2,0,0,0,0,0,1,0,2,1
AVRAMIDOU A,7,1,1,0,0,2,0,0,0,0,0,0,0,4,0
CHARALAMPIDI I,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
CHARALAMPIDI I,3,0,1,0,0,1,0,0,0,0,0,1,0,2,1
CHARALAMPIDI S,1,1,2,0,0,0,0,0,0,0,0,0,0,3,0
CHARALAMPIDI S,2,0,0,0,0,2,0,0,0,0,0,1,0,2,1
CHARALAMPIDI S,3,1,2,0,1,1,0,0,0,0,1,1,0,5,2
CHARALAMPIDI S,4,1,2,0,0,0,1,1,1,0,0,0,1,4,3
CHARALAMPIDI S,5,0,2,0,0,2,0,0,1,0,0,2,0,4,3
CHARALAMPIDI S,6,0,2,0,0,1,0,0,1,0,0,0,0,3,1
CHARALAMPIDI S,7,0,3,0,1,1,0,0,1,0,1,1,0,5,3
KOTSIA C,2,1,0,0,0,0,0,1,0,0,0,0,0,1,1
KOTSIA C,3,0,1,0,0,1,0,0,1,0,0,1,0,2,2
KOTSIA C,4,0,1,0,0,0,0,0,1,0,0,0,0,1,1
KOTSIA C,5,0,2,0,0,0,0,0,1,0,0,0,0,2,1
KOTSIA C,6,2,1,0,0,0,0,0,0,0,0,0,0,3,0
MANOLIOUDAKI T,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
MANOLIOUDAKI T,2,1,2,1,0,0,0,0,0,1,0,0,0,4,1
MANOLIOUDAKI T,3,0,1,0,0,0,0,0,1,0,0,0,0,1,1
MANOLIOUDAKI T,4,3,3,0,0,0,0,0,2,0,0,0,0,6,2
MANOLIOUDAKI T,5,1,4,0,0,0,0,0,1,0,0,0,0,5,1
MANOLIOUDAKI T,6,2,0,0,0,0,0,1,0,0,0,0,0,2,1
PLEVRITOU E,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1
PLEVRITOU E,2,2,2,0,1,0,0,0,0,0,1,0,0,5,1
PLEVRITOU E,3,2,4,0,1,0,1,0,2,0,1,0,0,8,3
PLEVRITOU E,4,1,1,0,0,0,0,0,1,0,0,0,0,2,1
PLEVRITOU E,5,0,3,0,0,0,0,0,0,0,0,0,0,3,0
PLEVRITOU E,6,0,1,0,0,0,0,0,1,0,0,0,0,1,1
PLEVRITOU E,7,1,3,0,0,0,0,0,2,0,0,0,0,4,2
PLEVRITOU M,2,0,1,0,0,1,0,0,1,0,0,1,0,2,2
PLEVRITOU M,3,4,0,0,0,0,0,1,0,0,0,0,0,4,1
PLEVRITOU M,6,2,1,0,0,0,0,1,0,0,0,0,0,3,1
ROUMPESI A,1,2,2,0,0,0,0,0,1,0,0,0,0,4,1
ROUMPESI A,2,2,5,0,0,0,0,0,2,0,0,0,0,7,2
ROUMPESI A,3,0,2,0,0,0,0,0,1,0,0,0,0,2,1
ROUMPESI A,4,2,0,0,0,1,1,0,0,0,0,1,0,4,1
ROUMPESI A,5,3,1,0,0,0,0,0,0,0,0,0,0,4,0
ROUMPESI A,6,3,2,0,0,0,0,1,2,0,0,0,0,5,3
ROUMPESI A,7,2,0,0,0,0,0,0,0,0,0,0,0,2,0
TSOUKALA C,1,3,1,0,0,1,3,1,1,0,0,0,2,8,4
TSOUKALA C,2,2,0,0,0,1,1,0,0,0,0,1,0,4,1
TSOUKALA C,3,0,5,0,0,0,0,0,1,0,0,0,0,5,1
TSOUKALA C,5,1,1,0,0,1,0,0,0,0,0,0,0,3,0
TSOUKALA C,6,7,0,0,0,2,0,2,0,0,0,0,0,9,2
TSOUKALA C,7,2,0,0,0,0,0,0,0,0,0,0,0,2,0
XENAKI E,3,0,0,2,0,0,0,0,0,2,0,0,0,2,2
XENAKI E,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0
XENAKI E,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0
XENAKI E,6,0,1,1,0,0,0,0,0,1,0,0,0,2,1
