Action,Cap,GRE,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,10.0,0,1,0,AUS,1.0,SOUTHERN A,0 - 0,457,AUS,7:37,Post,0
Action shot,2.0,1,1,0,AUS,1.0,TSOUKALA C,0 - 1,408,GRE,6:48,Goal,1
Action shot,5.0,1,1,0,AUS,1.0,GOFERS K,0 - 1,313,AUS,5:13,Post,0
Action shot,10.0,1,1,0,AUS,1.0,MANOLIOUDAKI T,0 - 1,286,GRE,4:46,Saved,0
Centre shot,2.0,1,1,1,AUS,1.0,BEADSWORTH G,1 - 1,270,AUS,4:30,Goal,1
Extra player shot,9.0,1,1,1,AUS,1.0,ARANCINI Z,1 - 1,222,AUS,3:42,Saved,0
Extra player shot,3.0,1,1,2,AUS,1.0,BUCKLING H,2 - 1,170,AUS,2:50,Goal,1
5m shot,2.0,1,1,2,AUS,1.0,TSOUKALA C,2 - 1,139,GRE,2:19,Blocked,0
Centre shot,4.0,1,1,2,AUS,1.0,LINCOLN-SMITH H,2 - 1,111,AUS,1:51,Saved,0
Action shot,3.0,1,1,2,AUS,1.0,CHARALAMPIDI S,2 - 1,81,GRE,1:21,Saved,0
Action shot,11.0,1,1,2,AUS,1.0,HALLIGAN B,2 - 1,52,AUS,0:52,Saved,0
Extra player shot,12.0,1,1,3,AUS,2.0,ZAGAME N,3 - 1,452,AUS,7:32,Goal,1
Penalty shot,2.0,2,1,3,AUS,2.0,TSOUKALA C,3 - 2,432,GRE,7:12,Goal,1
Penalty shot,2.0,3,1,3,AUS,2.0,TSOUKALA C,3 - 3,390,GRE,6:30,Goal,1
5m shot,12.0,3,1,3,AUS,2.0,ZAGAME N,3 - 3,363,AUS,6:03,Post,0
Action shot,7.0,3,1,3,AUS,2.0,WEBSTER R,3 - 3,337,AUS,5:37,Saved,0
Centre shot,7.0,3,1,3,AUS,2.0,ASIMAKI A,3 - 3,318,GRE,5:18,Missed,0
5m shot,6.0,3,1,3,AUS,2.0,KNOX B,3 - 3,294,AUS,4:54,Post,0
5m shot,9.0,3,1,3,AUS,2.0,ARANCINI Z,3 - 3,237,AUS,3:57,Saved,0
Extra player shot,2.0,3,1,3,AUS,2.0,TSOUKALA C,3 - 3,210,GRE,3:30,Missed,0
Action shot,10.0,3,1,3,AUS,2.0,SOUTHERN A,3 - 3,155,AUS,2:35,Saved,0
Action shot,10.0,3,1,3,AUS,2.0,SOUTHERN A,3 - 3,120,AUS,2:00,Saved,0
Action shot,10.0,3,1,3,AUS,2.0,SOUTHERN A,3 - 3,95,AUS,1:35,Missed,0
