Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
ANTAL D,1,0,3,0,0,0,1,0,1,0,0,0,1,4,2
ANTAL D,2,1,4,0,0,2,0,0,1,0,0,0,0,7,1
ANTAL D,3,0,1,0,0,0,0,0,1,0,0,0,0,1,1
ANTAL D,4,1,1,0,0,1,0,0,1,0,0,0,0,3,1
ANTAL D,5,0,1,2,0,0,0,0,0,0,0,0,0,3,0
ANTAL D,6,0,2,0,1,0,0,0,1,0,1,0,0,3,2
BOLONYAI F,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
BUJKA B,2,0,2,1,0,2,0,0,0,1,0,1,0,5,2
BUJKA B,3,1,2,3,0,2,0,0,1,3,0,2,0,8,6
BUJKA B,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
BUJKA B,5,1,2,0,1,0,0,0,1,0,1,0,0,4,2
BUJKA B,6,0,1,2,0,1,1,0,1,1,0,1,1,5,4
CZIGANY D,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1
CZIGANY D,2,1,2,0,0,0,0,0,2,0,0,0,0,3,2
CZIGANY D,3,1,1,0,0,0,0,0,0,0,0,0,0,2,0
CZIGANY D,4,0,2,0,0,0,0,0,2,0,0,0,0,2,2
CZIGANY D,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0
CZIGANY D,6,0,1,0,2,1,0,0,1,0,2,1,0,4,4
GARDA K,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
GARDA K,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0
GARDA K,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0
GARDA K,6,1,2,0,1,0,0,0,0,0,1,0,0,4,1
ILLES A,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ILLES A,3,0,2,0,0,0,0,0,1,0,0,0,0,2,1
ILLES A,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ILLES A,5,2,1,0,0,0,0,0,1,0,0,0,0,3,1
KESZTHELYI R,1,1,2,0,0,0,1,0,0,0,0,0,1,4,1
KESZTHELYI R,2,0,2,0,1,2,0,0,1,0,1,1,0,5,3
KESZTHELYI R,3,1,2,1,0,2,0,1,1,1,0,2,0,6,5
KESZTHELYI R,4,3,1,0,1,2,1,0,0,0,1,1,1,8,3
KESZTHELYI R,5,2,2,0,0,3,0,0,1,0,0,3,0,7,4
KESZTHELYI R,6,0,0,0,4,1,0,0,0,0,4,1,0,5,5
KISTELEKI D,1,3,2,0,0,0,0,1,0,0,0,0,0,5,1
KISTELEKI D,2,1,1,1,0,0,0,0,0,1,0,0,0,3,1
KISTELEKI D,3,1,3,0,1,1,0,0,2,0,1,0,0,6,3
KISTELEKI D,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
KISTELEKI D,5,2,1,0,1,1,0,0,0,0,1,1,0,5,2
KISTELEKI D,6,0,1,3,2,0,0,0,1,2,1,0,0,6,4
MENCZINGER K,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
MENCZINGER K,3,1,1,0,0,0,0,0,0,0,0,0,0,2,0
MENCZINGER K,4,1,1,0,0,1,0,0,1,0,0,0,0,3,1
MENCZINGER K,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0
SZUCS G,1,1,3,0,0,0,0,0,1,0,0,0,0,4,1
SZUCS G,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
SZUCS G,5,4,0,0,0,0,0,1,0,0,0,0,0,4,1
SZUCS G,6,0,1,0,1,0,0,0,0,0,1,0,0,2,1
TAKACS O,1,1,1,0,0,0,0,0,1,0,0,0,0,2,1
TAKACS O,2,0,2,0,0,1,0,0,1,0,0,0,0,3,1
TAKACS O,3,0,1,0,0,1,0,0,0,0,0,0,0,2,0
TAKACS O,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
TAKACS O,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0
TAKACS O,6,1,2,0,0,0,0,0,1,0,0,0,0,3,1
TOTH I,1,0,0,1,0,1,0,0,0,1,0,0,0,2,1
TOTH I,2,0,2,0,0,0,0,0,1,0,0,0,0,2,1
TOTH I,3,0,1,1,0,0,0,0,1,1,0,0,0,2,2
TOTH I,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0
TOTH I,6,1,0,1,0,0,0,0,0,0,0,0,0,2,0
