Action,Cap,Game,HUN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Extra player shot,11.0,1,0,1,CHN,1.0,WANG X,0 - 1,443,CHN,7:23,Goal,1
Extra player shot,7.0,1,0,2,CHN,1.0,SONG D,0 - 2,394,CHN,6:34,Goal,1
Action shot,8.0,1,0,2,CHN,1.0,KESZTHELYI R,0 - 2,268,HUN,4:28,Blocked,0
5m shot,5.0,1,0,2,CHN,1.0,NIU G,0 - 2,238,CHN,3:58,Blocked,0
Action shot,7.0,1,0,2,CHN,1.0,SONG D,0 - 2,218,CHN,3:38,Missed,0
Penalty shot,9.0,1,0,3,CHN,1.0,ZHAO Z,0 - 3,160,CHN,2:40,Goal,1
Penalty shot,8.0,1,1,3,CHN,1.0,KESZTHELYI R,1 - 3,141,HUN,2:21,Goal,1
Extra player shot,11.0,1,1,4,CHN,1.0,WANG X,1 - 4,113,CHN,1:53,Goal,1
Action shot,9.0,1,1,4,CHN,1.0,ZHAO Z,1 - 4,82,CHN,1:22,Post,0
Penalty shot,12.0,1,1,4,CHN,1.0,ZHANG J,1 - 4,78,CHN,1:18,Post,0
5m shot,8.0,1,1,4,CHN,1.0,KESZTHELYI R,1 - 4,13,HUN,0:13,Post,0
5m shot,4.0,1,1,4,CHN,2.0,KISTELEKI D,1 - 4,453,HUN,7:33,Post,0
5m shot,5.0,1,1,4,CHN,2.0,SZUCS G,1 - 4,432,HUN,7:12,Missed,0
Action shot,5.0,1,1,4,CHN,2.0,SZUCS G,1 - 4,336,HUN,5:36,Saved,0
5m shot,4.0,1,2,4,CHN,2.0,KISTELEKI D,2 - 4,327,HUN,5:27,Goal,1
Action shot,6.0,1,2,4,CHN,2.0,SUN Y,2 - 4,309,CHN,5:09,Missed,0
Action shot,11.0,1,2,4,CHN,2.0,GARDA K,2 - 4,288,HUN,4:48,Saved,0
Centre shot,9.0,1,3,4,CHN,2.0,TOTH I,3 - 4,271,HUN,4:31,Goal,1
