Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
AIELLO R,1,0,1,1,0,0,0,0,0,1,0,0,0,2,1
AIELLO R,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
AIELLO R,3,0,1,1,0,2,0,0,1,0,0,0,0,4,1
AIELLO R,5,0,1,0,0,0,0,0,1,0,0,0,0,1,1
AIELLO R,6,0,0,1,1,0,0,0,0,1,1,0,0,2,2
BARZON L,1,0,2,0,0,1,0,0,1,0,0,1,0,3,2
BARZON L,3,1,3,0,0,0,0,0,1,0,0,0,0,4,1
BARZON L,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
BARZON L,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0
BIANCONI R,1,1,1,0,0,0,0,1,1,0,0,0,0,2,2
BIANCONI R,2,2,3,0,0,1,1,0,2,0,0,1,1,7,4
BIANCONI R,3,2,2,0,0,0,1,1,1,0,0,0,1,5,3
BIANCONI R,4,3,2,1,0,1,0,1,0,1,0,0,0,7,2
BIANCONI R,5,4,2,0,0,1,0,0,0,0,0,0,0,7,0
BIANCONI R,6,2,1,0,0,1,0,0,0,0,0,1,0,4,1
DI MARIO T,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1
DI MARIO T,2,1,1,0,0,0,0,0,1,0,0,0,0,2,1
DI MARIO T,3,3,1,0,0,0,0,0,1,0,0,0,0,4,1
DI MARIO T,4,1,2,1,0,4,1,0,1,1,0,1,1,9,4
DI MARIO T,5,4,0,1,0,0,0,0,0,0,0,0,0,5,0
DI MARIO T,6,2,2,0,0,0,0,1,2,0,0,0,0,4,3
EMMOLO G,1,1,1,0,0,1,0,0,0,0,0,1,0,3,1
EMMOLO G,2,0,3,0,0,1,0,0,2,0,0,1,0,4,3
EMMOLO G,3,1,1,0,0,0,0,1,1,0,0,0,0,2,2
EMMOLO G,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0
EMMOLO G,5,2,0,0,0,2,0,0,0,0,0,0,0,4,0
EMMOLO G,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0
FRASSINETTI T,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
FRASSINETTI T,3,0,1,0,0,0,0,0,1,0,0,0,0,1,1
FRASSINETTI T,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0
GARIBOTTI A,1,0,2,0,0,2,0,0,1,0,0,2,0,4,3
GARIBOTTI A,2,6,1,0,0,0,0,1,0,0,0,0,0,7,1
GARIBOTTI A,3,2,0,0,0,0,0,1,0,0,0,0,0,2,1
GARIBOTTI A,4,2,4,0,0,0,0,0,2,0,0,0,0,6,2
GARIBOTTI A,5,3,1,0,0,1,0,1,0,0,0,0,0,5,1
GARIBOTTI A,6,2,1,0,0,1,0,0,0,0,0,1,0,4,1
POMERI F,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0
QUEIROLO E,1,0,2,0,0,0,1,0,1,0,0,0,1,3,2
QUEIROLO E,2,0,2,0,0,0,0,0,1,0,0,0,0,2,1
QUEIROLO E,3,2,2,1,0,0,0,1,0,1,0,0,0,5,2
QUEIROLO E,4,1,1,0,0,0,0,0,0,0,0,0,0,2,0
QUEIROLO E,5,0,2,0,0,1,0,0,0,0,0,1,0,3,1
RADICCHI F,2,1,0,0,0,1,0,0,0,0,0,0,0,2,0
RADICCHI F,3,4,1,0,0,0,0,2,1,0,0,0,0,5,3
RADICCHI F,4,0,1,0,0,0,0,0,1,0,0,0,0,1,1
RADICCHI F,5,5,2,0,0,0,0,1,1,0,0,0,0,7,2
RADICCHI F,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0
TABANI C,1,1,2,0,0,0,0,1,2,0,0,0,0,3,3
TABANI C,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
TABANI C,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
