Action,Cap,Game,ITA,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,6.0,1,0,0,JPN,1.0,TAKAHASHI A,0 - 0,443,JPN,7:23,Post,0
Extra player shot,3.0,1,1,0,JPN,1.0,GARIBOTTI A,0 - 1,412,ITA,6:52,Goal,1
Extra player shot,9.0,1,2,0,JPN,1.0,EMMOLO G,0 - 2,361,ITA,6:01,Goal,1
Extra player shot,7.0,1,2,0,JPN,1.0,NAKANO Y,0 - 2,292,JPN,4:52,Saved,0
Penalty shot,8.0,1,2,0,JPN,1.0,HASHIGUCHI M,0 - 2,213,JPN,3:33,Saved,0
Action shot,8.0,1,3,0,JPN,1.0,BIANCONI R,0 - 3,183,ITA,3:03,Goal,1
Centre shot,6.0,1,4,0,JPN,1.0,AIELLO R,0 - 4,92,ITA,1:32,Goal,1
Extra player shot,11.0,1,5,0,JPN,1.0,BARZON L,0 - 5,25,ITA,0:25,Goal,1
Action shot,3.0,1,5,0,JPN,2.0,KAZAMA Y,0 - 5,432,JPN,7:12,Saved,0
Action shot,10.0,1,5,0,JPN,2.0,MORI T,0 - 5,372,JPN,6:12,Blocked,0
Extra player shot,3.0,1,6,0,JPN,2.0,GARIBOTTI A,0 - 6,329,ITA,5:29,Goal,1
5m shot,10.0,1,6,0,JPN,2.0,MORI T,0 - 6,258,JPN,4:18,Post,0
Action shot,3.0,1,6,1,JPN,2.0,KAZAMA Y,1 - 6,230,JPN,3:50,Goal,1
Action shot,2.0,1,7,1,JPN,2.0,TABANI C,1 - 7,202,ITA,3:22,Goal,1
Action shot,9.0,1,7,1,JPN,2.0,EMMOLO G,1 - 7,156,ITA,2:36,Saved,0
Action shot,8.0,1,7,1,JPN,2.0,HASHIGUCHI M,1 - 7,131,JPN,2:11,Post,0
Action shot,4.0,1,7,1,JPN,2.0,QUEIROLO E,1 - 7,113,ITA,1:53,Saved,0
Action shot,11.0,1,8,1,JPN,2.0,BARZON L,1 - 8,68,ITA,1:08,Goal,1
Action shot,5.0,1,8,1,JPN,2.0,NAKATA M,1 - 8,36,JPN,0:36,Post,0
5m shot,2.0,1,8,1,JPN,2.0,SAKANOUE C,1 - 8,1,JPN,0:01,Saved,0
Action shot,3.0,1,8,1,JPN,3.0,KAZAMA Y,1 - 8,441,JPN,7:21,Saved,0
