Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
HASHIGUCHI M,1,1,1,0,0,0,2,0,0,0,0,0,0,4,0
HASHIGUCHI M,3,0,2,0,0,0,0,0,0,0,0,0,0,2,0
HASHIGUCHI M,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0
HASHIGUCHI M,5,0,2,1,3,0,0,0,0,0,2,0,0,6,2
HOSOYA K,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0
HOSOYA K,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
HOSOYA K,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0
HOSOYA K,4,0,3,0,0,1,0,0,0,0,0,1,0,4,1
HOSOYA K,5,0,1,0,0,0,0,0,1,0,0,0,0,1,1
KAZAMA Y,1,0,3,0,0,0,0,0,1,0,0,0,0,3,1
KAZAMA Y,2,1,1,0,1,0,0,1,0,0,1,0,0,3,2
KAZAMA Y,4,0,1,0,1,1,0,0,0,0,0,0,0,3,0
KAZAMA Y,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
MAGARIYAMA S,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
MAGARIYAMA S,2,2,3,0,0,0,0,0,1,0,0,0,0,5,1
MAGARIYAMA S,4,3,1,0,0,0,0,0,0,0,0,0,0,4,0
MAGARIYAMA S,5,1,1,0,2,0,0,0,0,0,0,0,0,4,0
MORI T,1,2,3,0,0,1,0,0,1,0,0,0,0,6,1
MORI T,2,1,0,0,0,2,0,0,0,0,0,0,0,3,0
MORI T,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0
MORI T,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
MORI T,5,2,3,0,0,0,0,1,1,0,0,0,0,5,2
NAKANO Y,1,2,0,0,0,2,0,0,0,0,0,0,0,4,0
NAKANO Y,2,4,3,0,1,0,1,0,1,0,1,0,1,9,3
NAKANO Y,3,0,4,0,1,0,0,0,1,0,1,0,0,5,2
NAKANO Y,4,1,2,1,0,1,0,0,1,1,0,0,0,5,2
NAKANO Y,5,1,3,0,2,0,0,0,2,0,2,0,0,6,4
NAKATA M,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0
NAKATA M,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
NAKATA M,4,0,1,0,0,1,0,0,0,0,0,1,0,2,1
NAKATA M,5,1,1,0,1,0,0,1,0,0,0,0,0,3,1
SAKANOUE C,1,1,2,0,0,0,0,0,1,0,0,0,0,3,1
SAKANOUE C,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
SAKANOUE C,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0
SAKANOUE C,4,0,2,0,0,1,0,0,0,0,0,0,0,3,0
SAKANOUE C,5,0,0,0,2,0,0,0,0,0,2,0,0,2,2
SUZUKI K,2,1,1,1,0,0,0,0,1,0,0,0,0,3,1
SUZUKI K,4,0,0,0,1,1,0,0,0,0,0,1,0,2,1
SUZUKI K,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
TAKAHASHI A,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
TAKAHASHI A,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1
TAKAHASHI A,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0
TAKAHASHI A,4,0,1,0,0,0,0,0,1,0,0,0,0,1,1
TAKAHASHI A,5,0,1,0,1,1,0,0,0,0,1,1,0,3,2
TOKUMOTO M,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
TOKUMOTO M,4,1,1,0,0,0,0,0,0,0,0,0,0,2,0
TOKUMOTO M,5,1,0,0,1,0,0,0,0,0,1,0,0,2,1
