Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
AKILBAYEVA A,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1
AKILBAYEVA A,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0
AKILBAYEVA A,3,0,5,0,0,2,0,0,4,0,0,2,0,7,6
AKILBAYEVA A,4,1,0,0,0,1,0,0,0,0,0,0,0,2,0
AKILBAYEVA A,5,4,1,0,0,0,0,0,0,0,0,0,0,5,0
AKILBAYEVA A,6,1,5,0,0,2,0,0,0,0,0,1,0,8,1
MIRSHINA A,1,1,2,0,0,2,0,1,1,0,0,1,0,5,3
MIRSHINA A,2,0,1,1,1,0,1,0,0,0,1,0,1,4,2
MIRSHINA A,3,2,2,0,1,1,1,1,0,0,0,0,1,7,2
MIRSHINA A,4,1,0,0,0,4,0,0,0,0,0,1,0,5,1
MIRSHINA A,5,2,0,0,0,2,1,1,0,0,0,1,1,5,3
MIRSHINA A,6,1,3,1,0,1,0,0,0,1,0,1,0,6,2
MUSSAROVA A,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
MUSSAROVA A,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
MUSSAROVA A,3,0,0,0,1,0,0,0,0,0,1,0,0,1,1
MUSSAROVA A,4,0,1,0,0,1,0,0,0,0,0,0,0,2,0
MUSSAROVA A,5,0,2,0,0,0,0,0,0,0,0,0,0,2,0
MYRZABEKOVA Z,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
MYRZABEKOVA Z,2,0,1,0,1,0,0,0,0,0,0,0,0,2,0
MYRZABEKOVA Z,3,0,2,1,0,0,0,0,1,0,0,0,0,3,1
MYRZABEKOVA Z,4,1,0,2,1,1,0,0,0,0,0,0,0,5,0
MYRZABEKOVA Z,5,1,1,0,0,1,0,0,0,0,0,0,0,3,0
MYRZABEKOVA Z,6,1,1,0,0,0,0,0,0,0,0,0,0,2,0
ROGA D,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
ROGA D,2,2,0,0,1,0,0,0,0,0,1,0,0,3,1
ROGA D,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ROGA D,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
ROGA D,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ROGA D,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0
SAICHUK O,1,0,0,0,0,2,0,0,0,0,0,1,0,2,1
SAICHUK O,2,1,0,0,0,1,0,0,0,0,0,0,0,2,0
SAICHUK O,3,1,1,1,0,2,0,0,0,1,0,0,0,5,1
SAICHUK O,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0
SAICHUK O,5,3,2,0,0,1,0,0,1,0,0,0,0,6,1
SAICHUK O,6,1,1,0,0,0,1,0,0,0,0,0,0,3,0
TUROVA A,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0
TUROVA A,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0
TUROVA A,3,1,0,0,0,0,0,1,0,0,0,0,0,1,1
TUROVA A,4,3,0,0,0,1,0,0,0,0,0,0,0,4,0
TUROVA A,5,3,2,0,0,1,0,0,0,0,0,1,0,6,1
TUROVA A,6,3,0,1,0,0,0,1,0,0,0,0,0,4,1
YEGEMBERDIYEVA A,3,2,0,0,0,1,0,1,0,0,0,0,0,3,1
YEGEMBERDIYEVA A,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0
YEGEMBERDIYEVA A,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0
ZAKIROVA K,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1
ZAKIROVA K,2,2,0,0,0,2,0,1,0,0,0,0,0,4,1
ZAKIROVA K,3,1,1,0,0,1,0,0,1,0,0,0,0,3,1
ZAKIROVA K,4,3,2,0,0,0,0,0,0,0,0,0,0,5,0
ZAKIROVA K,5,0,2,0,0,0,0,0,0,0,0,0,0,2,0
ZAKIROVA K,6,2,0,0,0,0,0,0,0,0,0,0,0,2,0
