Action,Cap,Game,NZL,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,1.0,1,0,0,CAN,1.0,GAUDREAULT J,0 - 0,480,CAN,8:00
Starting goalkeeper,1.0,1,0,0,CAN,1.0,MILLAR B,0 - 0,480,NZL,8:00
Sprint won possession,5.0,1,0,0,CAN,1.0,EGGENS M,0 - 0,480,CAN,8:00
Centre shot - Goal,10.0,1,0,1,CAN,1.0,ROBINSON C,1 - 0,450,CAN,7:30
Turnover foul,10.0,1,0,1,CAN,1.0,ROBINSON C,1 - 0,424,CAN,7:04
Steal,8.0,1,0,1,CAN,1.0,LOPES DA SILVA C,1 - 0,424,NZL,7:04
Penalty foul,11.0,1,0,1,CAN,1.0,HUDSON K,1 - 0,409,NZL,6:49
Penalty shot - Goal,5.0,1,0,2,CAN,1.0,EGGENS M,2 - 0,409,CAN,6:49
Turnover foul,2.0,1,0,2,CAN,1.0,LEWIS N,2 - 0,380,NZL,6:20
Centre shot - Missed,3.0,1,0,2,CAN,1.0,MONTON K,2 - 0,367,CAN,6:07
Action shot - Saved,9.0,1,0,2,CAN,1.0,STONEMAN E,2 - 0,344,NZL,5:44
20 sec. exclusion in centre,9.0,1,0,2,CAN,1.0,STONEMAN E,2 - 0,327,NZL,5:27
Extra player shot - Goal,11.0,1,0,3,CAN,1.0,VALIN S,3 - 0,312,CAN,5:12
Action shot - Saved,4.0,1,0,3,CAN,1.0,LEWIS D,3 - 0,283,NZL,4:43
Turnover foul,7.0,1,0,3,CAN,1.0,BEKHAZI J,3 - 0,254,CAN,4:14
5m shot - Missed,12.0,1,0,3,CAN,1.0,MYLES J,3 - 0,238,NZL,3:58
20 sec. exclusion in centre,2.0,1,0,3,CAN,1.0,LEWIS N,3 - 0,216,NZL,3:36
Action shot - Post,7.0,1,0,3,CAN,1.0,BEKHAZI J,3 - 0,206,CAN,3:26
5m shot - Saved,6.0,1,0,3,CAN,1.0,LANDRY S,3 - 0,182,NZL,3:02
Action shot - Saved,4.0,1,0,3,CAN,1.0,WRIGHT E,3 - 0,155,CAN,2:35
Action shot - Post,4.0,1,0,3,CAN,1.0,LEWIS D,3 - 0,137,NZL,2:17
Turnover foul,7.0,1,0,3,CAN,1.0,BEKHAZI J,3 - 0,102,CAN,1:42
Time-Out,,1,0,3,CAN,1.0,,3 - 0,102,NZL,1:42
20 sec. exclusion in centre,8.0,1,0,3,CAN,1.0,FOURNIER S,3 - 0,93,CAN,1:33
Extra player shot - Goal,11.0,1,1,3,CAN,1.0,HUDSON K,3 - 1,78,NZL,1:18
Action shot - Goal,8.0,1,1,4,CAN,1.0,FOURNIER S,4 - 1,57,CAN,0:57
5m shot - Blocked,9.0,1,1,4,CAN,1.0,STONEMAN E,4 - 1,33,NZL,0:33
Time-Out,,1,1,4,CAN,1.0,,4 - 1,33,CAN,0:33
Centre shot - Goal,9.0,1,1,5,CAN,1.0,EGGENS C,5 - 1,16,CAN,0:16
5m shot - Blocked,,1,1,5,CAN,1.0,,5 - 1,1,4,0:01
Starting goalkeeper,1.0,1,1,5,CAN,2.0,GAUDREAULT J,5 - 1,480,CAN,8:00
Starting goalkeeper,1.0,1,1,5,CAN,2.0,MILLAR B,5 - 1,480,NZL,8:00
Sprint won possession,4.0,1,1,5,CAN,2.0,LEWIS D,5 - 1,480,NZL,8:00
5m shot - Saved,11.0,1,1,5,CAN,2.0,HUDSON K,5 - 1,451,NZL,7:31
5m shot - Goal,10.0,1,1,6,CAN,2.0,ROBINSON C,6 - 1,436,CAN,7:16
20 sec. exclusion in centre,5.0,1,1,6,CAN,2.0,EGGENS M,6 - 1,419,CAN,6:59
Extra player shot - Goal,10.0,1,2,6,CAN,2.0,DANCE L,6 - 2,402,NZL,6:42
Action shot - Saved,4.0,1,2,6,CAN,2.0,LEWIS D,6 - 2,343,NZL,5:43
5m shot - Goal,8.0,1,2,7,CAN,2.0,FOURNIER S,7 - 2,334,CAN,5:34
20 sec. exclusion in field,12.0,1,2,7,CAN,2.0,MYLES J,7 - 2,323,NZL,5:23
Centre shot - Goal,2.0,1,3,7,CAN,2.0,LEWIS N,7 - 3,277,NZL,4:37
20 sec. exclusion in centre,6.0,1,3,7,CAN,2.0,LANDRY S,7 - 3,257,NZL,4:17
5m shot - Saved,7.0,1,3,7,CAN,2.0,BEKHAZI J,7 - 3,214,CAN,3:34
5m shot - Saved,5.0,1,3,7,CAN,2.0,EGGENS M,7 - 3,195,CAN,3:15
20 sec. exclusion in field,6.0,1,3,7,CAN,2.0,LANDRY S,7 - 3,191,NZL,3:11
Centre shot - Missed,10.0,1,3,7,CAN,2.0,ROBINSON C,7 - 3,177,CAN,2:57
Turnover foul,5.0,1,3,7,CAN,2.0,EGGENS M,7 - 3,138,CAN,2:18
20 sec. exclusion in field,9.0,1,3,7,CAN,2.0,EGGENS C,7 - 3,121,CAN,2:01
Extra player shot - Goal,12.0,1,4,7,CAN,2.0,MYLES J,7 - 4,108,NZL,1:48
Centre shot - Saved,2.0,1,4,7,CAN,2.0,ALOGBO K,7 - 4,87,CAN,1:27
