Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
CHASE M,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
CHASE M,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0
CHASE M,4,0,0,0,0,1,0,0,0,0,0,1,0,1,1
DANCE L,1,1,0,0,1,1,0,0,0,0,0,1,0,3,1
DANCE L,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0
DANCE L,4,1,3,0,1,0,0,0,1,0,0,0,0,5,1
DANCE L,5,1,2,0,0,0,0,0,1,0,0,0,0,3,1
HUDSON K,1,1,1,0,0,1,0,0,0,0,0,1,0,3,1
HUDSON K,2,3,0,0,0,1,0,0,0,0,0,0,0,4,0
HUDSON K,3,0,1,0,0,0,1,0,0,0,0,0,0,2,0
HUDSON K,4,1,0,0,0,1,0,1,0,0,0,1,0,2,2
LANDRY S,1,2,0,0,0,0,0,1,0,0,0,0,0,2,1
LANDRY S,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
LANDRY S,3,0,3,0,0,1,0,0,0,0,0,0,0,4,0
LANDRY S,4,2,0,0,1,0,0,0,0,0,0,0,0,3,0
LANDRY S,5,6,0,0,0,0,0,1,0,0,0,0,0,6,1
LEWIS D,1,0,3,0,0,0,0,0,0,0,0,0,0,3,0
LEWIS D,2,2,0,0,0,1,0,0,0,0,0,1,0,3,1
LEWIS D,3,1,1,1,1,3,0,0,0,1,1,1,0,7,3
LEWIS D,4,2,3,1,3,1,0,0,1,0,0,1,0,10,2
LEWIS D,5,0,0,0,0,1,0,0,0,0,0,1,0,1,1
LEWIS N,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
LEWIS N,2,0,0,1,0,1,0,0,0,0,0,0,0,2,0
LEWIS N,3,0,3,1,0,0,0,0,0,0,0,0,0,4,0
LEWIS N,4,1,2,3,0,2,0,0,0,1,0,0,0,8,1
LEWIS N,5,0,1,0,0,1,0,0,0,0,0,0,0,2,0
LEWIS S,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
LOPES DA SILVA C,2,1,0,0,0,3,0,0,0,0,0,1,0,4,1
LOPES DA SILVA C,3,0,4,1,0,0,0,0,1,0,0,0,0,5,1
LOPES DA SILVA C,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
LOPES DA SILVA C,5,2,1,1,1,1,0,0,0,0,0,1,0,6,1
MYLES J,1,4,0,0,0,1,0,1,0,0,0,1,0,5,2
MYLES J,2,2,0,1,0,2,0,0,0,0,0,0,0,5,0
MYLES J,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0
MYLES J,4,2,1,0,0,2,0,1,0,0,0,2,0,5,3
MYLES J,5,5,1,0,0,1,0,1,0,0,0,1,0,7,2
PATTISON S,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
PATTISON S,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0
PATTISON S,5,0,1,0,0,0,0,0,1,0,0,0,0,1,1
STONEMAN E,1,2,2,0,0,0,0,0,0,0,0,0,0,4,0
STONEMAN E,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0
STONEMAN E,4,1,0,0,0,0,0,1,0,0,0,0,0,1,1
STONEMAN E,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
