Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
HALLENDORFF A,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
HALLENDORFF A,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
HALLENDORFF A,5,0,1,0,0,0,0,0,1,0,0,0,0,1,1
KAY K,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0
KAY K,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0
KAY K,3,1,1,0,0,0,0,0,0,0,0,0,0,2,0
KAY K,4,0,4,1,0,2,0,0,0,0,0,1,0,7,1
KAY K,5,0,2,3,0,2,0,0,0,1,0,0,0,7,1
KILLEEN L,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
KILLEEN L,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0
O'HANLON D,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0
O'HANLON D,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
O'HANLON D,5,0,1,0,0,0,0,0,1,0,0,0,0,1,1
PALEY K,2,0,1,0,0,1,0,0,0,0,0,0,0,2,0
PALEY K,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0
PALEY K,4,2,1,0,0,1,0,0,0,0,0,1,0,4,1
PALEY K,5,0,2,0,0,0,0,0,0,0,0,0,0,2,0
PARKES M,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
PARKES M,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
SCHOOLING M,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
SCHOOLING M,5,0,0,0,0,1,0,0,0,0,0,1,0,1,1
VERSFELD R,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
VERSFELD R,2,0,0,2,0,0,0,0,0,1,0,0,0,2,1
VERSFELD R,3,0,0,1,1,0,0,0,0,1,1,0,0,2,2
VERSFELD R,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
VERSFELD R,5,0,4,0,0,0,0,0,1,0,0,0,0,4,1
WHITE K,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
WHITE K,2,5,0,0,0,0,0,0,0,0,0,0,0,5,0
WHITE K,3,6,1,0,0,0,1,0,1,0,0,0,1,8,2
WHITE K,4,0,1,1,0,1,0,0,0,1,0,0,0,3,1
WHITE K,5,2,1,0,1,1,0,0,0,0,1,1,0,5,2
