Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
ABDRIZIAKOVA E,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ABDRIZIAKOVA E,2,0,2,0,0,1,0,0,1,0,0,1,0,3,2
ABDRIZIAKOVA E,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0
ABDRIZIAKOVA E,4,2,0,0,0,1,0,0,0,0,0,0,0,3,0
ABDRIZIAKOVA E,5,1,1,0,0,1,0,0,1,0,0,0,0,3,1
ABDRIZIAKOVA E,6,0,1,1,0,1,0,0,0,1,0,0,0,3,1
IARONDAIKINA N,1,2,2,0,0,0,0,1,1,0,0,0,0,4,2
IARONDAIKINA N,2,0,1,0,0,1,0,0,0,0,0,1,0,2,1
IARONDAIKINA N,3,0,2,0,0,0,0,0,0,0,0,0,0,2,0
IARONDAIKINA N,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0
IVANOVA E,1,1,1,1,0,0,1,0,1,0,0,0,1,4,2
IVANOVA E,2,0,2,1,0,3,0,0,0,0,0,2,0,6,2
IVANOVA E,3,0,2,0,0,2,0,0,0,0,0,1,0,4,1
IVANOVA E,4,2,2,0,1,3,0,0,0,0,1,2,0,8,3
IVANOVA E,5,1,2,1,2,2,0,0,0,0,2,2,0,8,4
IVANOVA E,6,3,1,0,0,2,1,0,1,0,0,1,1,7,3
KARIMOVA E,1,0,2,2,0,0,0,0,1,2,0,0,0,4,3
KARIMOVA E,2,0,0,0,1,2,0,0,0,0,1,1,0,3,2
KARIMOVA E,3,0,3,1,0,0,0,0,2,1,0,0,0,4,3
KARIMOVA E,4,0,4,0,1,0,0,0,2,0,1,0,0,5,3
KARIMOVA E,5,0,0,2,0,0,0,0,0,1,0,0,0,2,1
KARIMOVA E,6,0,2,0,0,1,0,0,1,0,0,0,0,3,1
LISUNOVA E,1,0,4,0,0,0,0,0,2,0,0,0,0,4,2
LISUNOVA E,2,3,4,2,0,1,0,1,0,1,0,1,0,10,3
LISUNOVA E,3,1,2,0,0,0,1,0,1,0,0,0,0,4,1
LISUNOVA E,4,1,1,0,1,1,0,0,0,0,1,0,0,4,1
LISUNOVA E,5,2,4,0,1,0,0,0,2,0,1,0,0,7,3
LISUNOVA E,6,1,2,0,0,4,0,0,0,0,0,2,0,7,2
PROKOFYEVA E,1,1,2,1,0,0,0,0,2,1,0,0,0,4,3
PROKOFYEVA E,2,1,0,0,0,0,1,0,0,0,0,0,1,2,1
PROKOFYEVA E,3,3,0,0,2,0,1,2,0,0,1,0,0,6,3
PROKOFYEVA E,4,2,2,0,1,1,0,0,1,0,1,0,0,6,2
PROKOFYEVA E,5,6,1,0,0,0,0,2,0,0,0,0,0,7,2
PROKOFYEVA E,6,3,0,0,0,0,1,0,0,0,0,0,1,4,1
SIMANOVICH A,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1
SIMANOVICH A,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1
SIMANOVICH A,6,0,0,0,0,2,0,0,0,0,0,2,0,2,2
TANKEEVA E,1,0,3,1,0,0,0,0,0,0,0,0,0,4,0
TANKEEVA E,2,0,1,1,0,0,0,0,0,0,0,0,0,2,0
TANKEEVA E,3,0,1,1,0,0,0,0,0,0,0,0,0,2,0
TANKEEVA E,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0
TIMOFEEVA A,1,2,1,0,0,0,0,1,0,0,0,0,0,3,1
TIMOFEEVA A,2,0,2,0,0,0,0,0,1,0,0,0,0,2,1
TIMOFEEVA A,4,1,2,0,0,0,0,0,0,0,0,0,0,3,0
TIMOFEEVA A,5,0,0,0,0,1,0,0,0,0,0,1,0,1,1
TIMOFEEVA A,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ZUBACHEVA E,1,0,2,0,0,0,0,0,1,0,0,0,0,2,1
ZUBACHEVA E,3,1,0,0,0,0,0,1,0,0,0,0,0,1,1
ZUBACHEVA E,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0
ZUBACHEVA E,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ZUBKOVA T,1,0,1,0,0,1,0,0,1,0,0,0,0,2,1
ZUBKOVA T,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0
