Action,Cap,Game,Opponent,Opponent name,Period,Player,RUS,Score,Seconds,Team,Time,Result,Goal
5m shot,3.0,1,0,FRA,1.0,PROKOFYEVA E,0,0 - 0,414,RUS,6:54,Saved,0
Centre shot,4.0,1,0,FRA,1.0,KARIMOVA E,1,1 - 0,409,RUS,6:49,Goal,1
5m shot,5.0,1,0,FRA,1.0,GUILLET L,1,1 - 0,387,FRA,6:27,Saved,0
Centre shot,4.0,1,0,FRA,1.0,KARIMOVA E,2,2 - 0,369,RUS,6:09,Goal,1
5m shot,5.0,1,1,FRA,1.0,GUILLET L,2,2 - 1,340,FRA,5:40,Goal,1
Centre shot,3.0,1,1,FRA,1.0,PROKOFYEVA E,3,3 - 1,318,RUS,5:18,Goal,1
Action shot,6.0,1,1,FRA,1.0,MAHIEU G,3,3 - 1,294,FRA,4:54,Missed,0
Centre shot,11.0,1,1,FRA,1.0,IVANOVA E,3,3 - 1,249,RUS,4:09,Post,0
Action shot,6.0,1,1,FRA,1.0,MAHIEU G,3,3 - 1,207,FRA,3:27,Missed,0
Penalty shot,11.0,1,1,FRA,1.0,IVANOVA E,4,4 - 1,191,RUS,3:11,Goal,1
Action shot,3.0,1,1,FRA,1.0,BACHELIER L,4,4 - 1,166,FRA,2:46,Missed,0
Action shot,8.0,1,1,FRA,1.0,ABDRIZIAKOVA E,4,4 - 1,144,RUS,2:24,Post,0
Action shot,7.0,1,1,FRA,1.0,LISUNOVA E,5,5 - 1,124,RUS,2:04,Goal,1
Action shot,5.0,1,1,FRA,1.0,GUILLET L,5,5 - 1,83,FRA,1:23,Saved,0
Centre shot,10.0,1,1,FRA,1.0,TANKEEVA E,5,5 - 1,63,RUS,1:03,Saved,0
Action shot,4.0,1,1,FRA,1.0,KARIMOVA E,5,5 - 1,22,RUS,0:22,Post,0
5m shot,11.0,1,1,FRA,2.0,IVANOVA E,5,5 - 1,464,RUS,7:44,Post,0
5m shot,12.0,1,1,FRA,2.0,IARONDAIKINA N,5,5 - 1,444,RUS,7:24,Post,0
Action shot,5.0,1,1,FRA,2.0,GUILLET L,5,5 - 1,416,FRA,6:56,Saved,0
5m shot,9.0,1,1,FRA,2.0,TIMOFEEVA A,6,6 - 1,393,RUS,6:33,Goal,1
Action shot,2.0,1,1,FRA,2.0,ZUBKOVA T,7,7 - 1,366,RUS,6:06,Goal,1
