Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
CRAIG K,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1
CRAIG K,3,0,3,1,0,0,0,0,2,1,0,0,0,4,3
CRAIG K,5,0,1,0,1,0,0,0,1,0,0,0,0,2,1
CRAIG K,6,0,1,1,0,0,0,0,1,0,0,0,0,2,1
CRAIG K,7,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FATTAL R,1,2,3,0,0,0,0,0,2,0,0,0,0,5,2
FATTAL R,2,1,6,0,1,2,0,0,4,0,1,0,0,10,5
FATTAL R,3,0,0,0,0,1,0,0,0,0,0,1,0,1,1
FATTAL R,4,1,3,0,1,0,0,1,2,0,1,0,0,5,4
FATTAL R,5,0,3,0,0,2,0,0,2,0,0,0,0,5,2
FATTAL R,6,4,0,0,0,0,0,2,0,0,0,0,0,4,2
FATTAL R,7,1,1,0,0,1,0,0,1,0,0,1,0,3,2
FISCHER M,1,0,3,0,0,0,1,0,1,0,0,0,1,4,2
FISCHER M,2,0,2,0,0,0,1,0,0,0,0,0,1,3,1
FISCHER M,3,0,3,0,0,0,0,0,2,0,0,0,0,3,2
FISCHER M,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
FISCHER M,6,0,0,0,1,0,0,0,0,0,1,0,0,1,1
FISCHER M,7,1,1,0,0,2,0,0,0,0,0,0,0,4,0
GILCHRIST K,1,0,2,0,0,0,0,0,1,0,0,0,0,2,1
GILCHRIST K,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0
GILCHRIST K,5,1,1,0,0,0,0,0,1,0,0,0,0,2,1
GILCHRIST K,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0
GILCHRIST K,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0
GROSSMAN A,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
GROSSMAN A,3,0,3,0,1,0,0,0,2,0,1,0,0,4,3
GROSSMAN A,4,0,1,1,0,0,0,0,1,0,0,0,0,2,1
GROSSMAN A,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0
MATHEWSON C,1,0,0,0,0,2,0,0,0,0,0,1,0,2,1
MATHEWSON C,2,3,1,0,0,1,0,0,0,0,0,0,0,5,0
MATHEWSON C,3,0,0,0,1,0,0,0,0,0,1,0,0,1,1
MATHEWSON C,4,1,4,0,0,1,0,0,2,0,0,1,0,6,3
MATHEWSON C,5,0,0,0,1,0,0,0,0,0,1,0,0,1,1
MATHEWSON C,6,1,2,0,0,0,0,0,0,0,0,0,0,3,0
MATHEWSON C,7,1,2,0,0,2,0,1,0,0,0,0,0,5,1
MUSSELMAN M,1,1,1,0,0,1,0,0,1,0,0,0,0,3,1
MUSSELMAN M,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0
MUSSELMAN M,3,0,2,1,0,0,0,0,2,0,0,0,0,3,2
MUSSELMAN M,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
MUSSELMAN M,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0
MUSSELMAN M,6,0,1,0,0,0,0,0,1,0,0,0,0,1,1
MUSSELMAN M,7,1,0,0,1,0,0,0,0,0,1,0,0,2,1
NEUSHUL K,1,1,5,0,0,0,0,1,1,0,0,0,0,6,2
NEUSHUL K,2,0,7,0,0,0,0,0,2,0,0,0,0,7,2
NEUSHUL K,3,0,0,0,0,1,0,0,0,0,0,1,0,1,1
NEUSHUL K,4,1,1,0,0,0,0,0,0,0,0,0,0,2,0
NEUSHUL K,5,0,4,0,1,0,0,0,1,0,1,0,0,5,2
NEUSHUL K,6,1,2,1,0,0,0,0,0,0,0,0,0,4,0
NEUSHUL K,7,0,2,0,0,0,0,0,1,0,0,0,0,2,1
SEIDEMANN M,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0
SEIDEMANN M,2,1,1,0,0,0,0,0,1,0,0,0,0,2,1
SEIDEMANN M,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0
SEIDEMANN M,4,2,2,0,0,0,0,0,1,0,0,0,0,4,1
SEIDEMANN M,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0
SEIDEMANN M,6,1,0,0,0,0,0,1,0,0,0,0,0,1,1
SEIDEMANN M,7,3,2,0,0,0,0,0,0,0,0,0,0,5,0
STEFFENS M,1,1,1,0,0,2,0,1,0,0,0,2,0,4,3
STEFFENS M,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0
STEFFENS M,3,0,3,1,1,0,0,0,3,0,1,0,0,5,4
STEFFENS M,4,1,2,1,0,1,0,0,1,1,0,1,0,5,3
STEFFENS M,5,0,3,0,0,0,1,0,0,0,0,0,1,4,1
STEFFENS M,6,2,2,0,0,0,0,0,2,0,0,0,0,4,2
STEFFENS M,7,2,0,0,0,1,0,0,0,0,0,0,0,3,0
WILLIAMS A,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
WILLIAMS A,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0
