AUS,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
0,Starting goalkeeper,13.0,1,0,HUN,1.0,HRYSANTHOS A,0 - 0,480,AUS,8:00
0,Starting goalkeeper,1.0,1,0,HUN,1.0,NAGY V,0 - 0,480,HUN,8:00
0,Sprint won possession,9.0,1,0,HUN,1.0,ERDELYI B,0 - 0,480,HUN,8:00
0,Turnover foul,12.0,1,0,HUN,1.0,HARAI B,0 - 0,456,HUN,7:36
0,Steal,3.0,1,0,HUN,1.0,FORD G,0 - 0,456,AUS,7:36
0,Action shot - Missed,7.0,1,0,HUN,1.0,GILCHRIST J,0 - 0,432,AUS,7:12
0,Turnover foul,12.0,1,0,HUN,1.0,HARAI B,0 - 0,412,HUN,6:52
0,Steal,3.0,1,0,HUN,1.0,FORD G,0 - 0,412,AUS,6:52
0,Turnover foul,6.0,1,0,HUN,1.0,EDWARDS L,0 - 0,392,AUS,6:32
0,Steal,8.0,1,0,HUN,1.0,GOR-NAGY M,0 - 0,392,HUN,6:32
0,Action shot - Saved,9.0,1,0,HUN,1.0,ERDELYI B,0 - 0,375,HUN,6:15
1,Centre shot - Goal,6.0,1,0,HUN,1.0,EDWARDS L,1 - 0,348,AUS,5:48
1,Action shot - Saved,9.0,1,0,HUN,1.0,ERDELYI B,1 - 0,322,HUN,5:22
1,Turnover foul,4.0,1,0,HUN,1.0,KAYES J,1 - 0,301,AUS,5:01
1,Turnover foul,12.0,1,0,HUN,1.0,HARAI B,1 - 0,284,HUN,4:44
1,Steal,13.0,1,0,HUN,1.0,HRYSANTHOS A,1 - 0,284,AUS,4:44
1,Action shot - Saved,3.0,1,0,HUN,1.0,FORD G,1 - 0,259,AUS,4:19
1,Action shot - Saved,10.0,1,0,HUN,1.0,VARGA D,1 - 0,241,HUN,4:01
1,5m shot - Missed,9.0,1,0,HUN,1.0,FORD A,1 - 0,218,AUS,3:38
1,Time-Out,,1,0,HUN,1.0,,1 - 0,217,HUN,3:37
1,20 sec. exclusion in centre,5.0,1,0,HUN,1.0,POWER N,1 - 0,198,AUS,3:18
1,Extra player shot - Post,4.0,1,0,HUN,1.0,ZALANKI G,1 - 0,180,HUN,3:00
1,Action shot - Saved,9.0,1,0,HUN,1.0,FORD A,1 - 0,153,AUS,2:33
1,Action shot - Goal,5.0,1,1,HUN,1.0,VAMOS M,1 - 1,101,HUN,1:41
1,Action shot - Saved,12.0,1,1,HUN,1.0,BROOKS N,1 - 1,71,AUS,1:11
1,Turnover foul,9.0,1,1,HUN,1.0,ERDELYI B,1 - 1,51,HUN,0:51
1,Steal,13.0,1,1,HUN,1.0,HRYSANTHOS A,1 - 1,51,AUS,0:51
1,5m shot - Blocked,11.0,1,1,HUN,1.0,HOLLIS L,1 - 1,26,AUS,0:26
1,20 sec. exclusion in centre,2.0,1,1,HUN,1.0,TOROK B,1 - 1,4,HUN,0:04
