Period,Time,Action,Score,Team,Player,Cap,BRA,Opponent,Seconds,Game,Opponent name
1.0,8:00,Starting goalkeeper,0 - 0,BRA,SORO S,1.0,0,0,480,1,KAZ
1.0,8:00,Starting goalkeeper,0 - 0,KAZ,SHLEMOV V,13.0,0,0,480,1,KAZ
1.0,8:00,Sprint won possession,0 - 0,KAZ,MEDVEDEV Y,2.0,0,0,480,1,KAZ
1.0,7:31,Turnover foul,0 - 0,KAZ,SHMIDER A,6.0,0,0,451,1,KAZ
1.0,7:18,20 sec. exclusion in centre,0 - 0,BRA,CRUZ A,2.0,0,0,438,1,KAZ
1.0,7:00,Turnover foul,0 - 0,BRA,CRUZ A,2.0,0,0,420,1,KAZ
1.0,6:32,Action shot - Saved,0 - 0,KAZ,SHAKENOV M,7.0,0,0,392,1,KAZ
1.0,6:04,20 sec. exclusion in centre,0 - 0,KAZ,MANAFOV R,11.0,0,0,364,1,KAZ
1.0,5:41,Action shot - Saved,0 - 0,BRA,ROCHA B,9.0,0,0,341,1,KAZ
1.0,5:13,5m shot - Missed,0 - 0,KAZ,UKUMANOV R,9.0,0,0,313,1,KAZ
1.0,4:45,5m shot - Saved,0 - 0,BRA,FREITAS R,12.0,0,0,285,1,KAZ
1.0,4:18,Action shot - Saved,0 - 0,KAZ,SHMIDER A,6.0,0,0,258,1,KAZ
1.0,3:52,5m shot - Saved,0 - 0,BRA,COUTINHO G,4.0,0,0,232,1,KAZ
1.0,3:38,20 sec. exclusion in field,0 - 0,BRA,GUIMARAES G,11.0,0,0,218,1,KAZ
1.0,3:38,Time-Out,0 - 0,KAZ,,,0,0,218,1,KAZ
1.0,3:12,Action shot - Saved,0 - 0,KAZ,PILIPENKO R,4.0,0,0,192,1,KAZ
1.0,2:54,20 sec. exclusion in field,0 - 0,KAZ,RUDAY M,10.0,0,0,174,1,KAZ
1.0,2:41,Extra player shot - Goal,1 - 0,BRA,GUIMARAES G,11.0,1,0,161,1,KAZ
