Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
ALMEIDA G,1,0,0,2,0,0,0,0,0,1,0,0,0,2,1
ALMEIDA G,2,2,1,0,0,0,0,1,0,0,0,0,0,3,1
ALMEIDA G,4,0,2,0,0,0,0,0,0,0,0,0,0,2,0
ALMEIDA G,6,0,0,0,0,1,0,0,0,0,0,1,0,1,1
CARRULO H,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1
CARRULO H,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
CARRULO H,5,0,1,0,0,0,0,0,1,0,0,0,0,1,1
CARRULO H,6,0,0,0,0,1,0,0,0,0,0,1,0,1,1
COUTINHO G,1,2,1,1,0,1,0,0,0,0,0,0,0,5,0
COUTINHO G,2,3,2,1,0,0,0,1,0,0,0,0,0,6,1
COUTINHO G,3,4,1,0,0,1,0,1,0,0,0,1,0,6,2
COUTINHO G,4,2,1,0,0,0,0,0,0,0,0,0,0,3,0
COUTINHO G,5,5,2,1,0,0,0,1,1,0,0,0,0,8,2
COUTINHO G,6,2,1,0,0,2,0,1,0,0,0,1,0,5,2
CRUZ A,1,0,3,0,0,0,0,0,0,0,0,0,0,3,0
CRUZ A,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0
CRUZ A,3,1,2,0,0,1,0,0,0,0,0,1,0,4,1
CRUZ A,4,0,2,0,0,0,0,0,0,0,0,0,0,2,0
CRUZ A,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0
CRUZ A,6,3,0,0,0,1,0,0,0,0,0,1,0,4,1
FREITAS R,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0
FREITAS R,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0
FREITAS R,3,3,1,0,0,1,0,0,0,0,0,1,0,5,1
FREITAS R,4,1,2,0,0,0,0,0,1,0,0,0,0,3,1
FREITAS R,5,0,2,0,0,1,0,0,1,0,0,1,0,3,2
FREITAS R,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0
GUIMARAES G,1,3,1,0,1,2,0,1,0,0,1,2,0,7,4
GUIMARAES G,2,4,2,0,0,0,0,1,1,0,0,0,0,6,2
GUIMARAES G,3,3,2,1,0,0,1,0,0,0,0,0,1,7,1
GUIMARAES G,4,1,2,0,0,3,0,0,0,0,0,2,0,6,2
GUIMARAES G,5,5,2,0,0,0,0,1,0,0,0,0,0,7,1
GUIMARAES G,6,2,1,0,0,0,0,0,0,0,0,0,0,3,0
GUIMARAES R,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0
ROCHA B,1,0,1,0,0,1,0,0,0,0,0,1,0,2,1
ROCHA B,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0
ROCHA B,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
ROCHA B,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0
SILVA L,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
SILVA L,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
SILVA L,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
STELLET M,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
STELLET M,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0
STELLET M,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
STELLET P,3,0,0,1,0,0,0,0,0,1,0,0,0,1,1
STELLET P,4,0,2,0,0,0,0,0,0,0,0,0,0,2,0
STELLET P,5,0,1,0,0,0,0,0,1,0,0,0,0,1,1
STELLET P,6,0,0,0,1,1,0,0,0,0,0,0,0,2,0
