Period,Time,Action,Score,Team,Player,Cap,BRA,Opponent,Seconds,Game,Opponent name,Result,Goal
1.0,6:32,Action shot,0 - 0,KAZ,SHAKENOV M,7.0,0,0,392,1,KAZ,Saved,0
1.0,5:41,Action shot,0 - 0,BRA,ROCHA B,9.0,0,0,341,1,KAZ,Saved,0
1.0,5:13,5m shot,0 - 0,KAZ,UKUMANOV R,9.0,0,0,313,1,KAZ,Missed,0
1.0,4:45,5m shot,0 - 0,BRA,FREITAS R,12.0,0,0,285,1,KAZ,Saved,0
1.0,4:18,Action shot,0 - 0,KAZ,SHMIDER A,6.0,0,0,258,1,KAZ,Saved,0
1.0,3:52,5m shot,0 - 0,BRA,COUTINHO G,4.0,0,0,232,1,KAZ,Saved,0
1.0,3:12,Action shot,0 - 0,KAZ,PILIPENKO R,4.0,0,0,192,1,KAZ,Saved,0
1.0,2:41,Extra player shot,1 - 0,BRA,GUIMARAES G,11.0,1,0,161,1,KAZ,Goal,1
1.0,1:08,Action shot,1 - 0,BRA,CRUZ A,2.0,1,0,68,1,KAZ,Saved,0
1.0,0:59,Action shot,1 - 0,BRA,CRUZ A,2.0,1,0,59,1,KAZ,Saved,0
1.0,0:37,Action shot,1 - 0,KAZ,TURLYKHANOV B,12.0,1,0,37,1,KAZ,Saved,0
1.0,0:37,Action shot,1 - 1,KAZ,TURLYKHANOV B,12.0,1,1,37,1,KAZ,Goal,1
2.0,7:36,Centre shot,1 - 1,KAZ,SHAKENOV M,7.0,1,1,456,1,KAZ,Missed,0
2.0,6:40,5m shot,1 - 1,KAZ,SHMIDER A,6.0,1,1,400,1,KAZ,Missed,0
2.0,5:49,Centre shot,1 - 1,BRA,COUTINHO G,4.0,1,1,349,1,KAZ,Saved,0
2.0,5:30,Action shot,1 - 1,KAZ,SHAKENOV M,7.0,1,1,330,1,KAZ,Saved,0
2.0,4:23,5m shot,1 - 1,KAZ,SHAKENOV M,7.0,1,1,263,1,KAZ,Missed,0
2.0,3:33,Action shot,1 - 1,KAZ,TURLYKHANOV B,12.0,1,1,213,1,KAZ,Saved,0
2.0,3:06,5m shot,1 - 1,BRA,GUIMARAES G,11.0,1,1,186,1,KAZ,Saved,0
2.0,2:45,Action shot,1 - 2,KAZ,UKUMANOV R,9.0,1,2,165,1,KAZ,Goal,1
2.0,2:19,5m shot,1 - 2,BRA,COUTINHO G,4.0,1,2,139,1,KAZ,Missed,0
2.0,1:55,Action shot,1 - 2,KAZ,MEDVEDEV Y,2.0,1,2,115,1,KAZ,Saved,0
2.0,1:32,Centre shot,1 - 2,BRA,ALMEIDA G,3.0,1,2,92,1,KAZ,Missed,0
4.0,1:42,Extra player shot,1 - 2,KAZ,SHAKENOV M,7.0,1,2,102,1,KAZ,Post,0
2.0,0:01,5m shot,1 - 2,BRA,GUIMARAES G,11.0,1,2,1,1,KAZ,Blocked,0
3.0,7:00,Extra player shot,1 - 2,KAZ,MEDVEDEV Y,2.0,1,2,420,1,KAZ,Saved,0
3.0,6:23,Extra player shot,2 - 2,BRA,ROCHA B,9.0,2,2,383,1,KAZ,Goal,1
3.0,5:38,Action shot,2 - 2,KAZ,SHAKENOV M,7.0,2,2,338,1,KAZ,Saved,0
3.0,4:22,Action shot,2 - 2,BRA,GUIMARAES G,11.0,2,2,262,1,KAZ,Saved,0
3.0,3:15,Centre shot,3 - 2,BRA,ALMEIDA G,3.0,3,2,195,1,KAZ,Goal,1
3.0,2:23,Extra player shot,4 - 2,BRA,GUIMARAES G,11.0,4,2,143,1,KAZ,Goal,1
3.0,1:20,5m shot,4 - 2,KAZ,UKUMANOV R,9.0,4,2,80,1,KAZ,Missed,0
3.0,0:09,Extra player shot,4 - 2,BRA,COUTINHO G,4.0,4,2,9,1,KAZ,Saved,0
4.0,7:33,Centre shot,4 - 2,KAZ,SHAKENOV M,7.0,4,2,453,1,KAZ,Missed,0
