Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
BULJUBASIC I,3,1,0,0,1,0,0,0,0,0,1,0,0,2,1
BULJUBASIC I,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
BULJUBASIC I,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0
BUSLJE A,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
BUSLJE A,3,0,0,1,0,0,0,0,0,1,0,0,0,1,1
BUSLJE A,4,0,1,1,0,0,0,0,0,1,0,0,0,2,1
BUSLJE A,5,3,0,0,0,1,0,1,0,0,0,1,0,4,2
BUSLJE A,6,2,2,0,0,0,0,0,0,0,0,0,0,4,0
FATOVIC L,1,0,1,0,1,0,0,0,0,0,1,0,0,2,1
FATOVIC L,2,1,0,0,1,0,0,1,0,0,0,0,0,2,1
FATOVIC L,3,0,2,0,0,2,0,0,1,0,0,2,0,4,3
FATOVIC L,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0
GARCIA GADEA J,1,2,3,0,1,1,0,1,1,0,1,1,0,7,4
GARCIA GADEA J,2,1,3,0,0,0,0,0,0,0,0,0,0,4,0
GARCIA GADEA J,3,1,0,0,0,0,0,1,0,0,0,0,0,1,1
GARCIA GADEA J,4,3,1,0,1,0,0,2,1,0,1,0,0,5,4
GARCIA GADEA J,5,0,3,0,0,0,0,0,0,0,0,0,0,3,0
GARCIA GADEA J,6,2,3,0,0,1,0,1,1,0,0,0,0,6,2
JOKOVIC M,1,1,5,1,0,0,0,0,1,0,0,0,0,7,1
JOKOVIC M,2,0,1,0,0,5,0,0,1,0,0,3,0,6,4
JOKOVIC M,3,2,0,0,0,1,0,2,0,0,0,1,0,3,3
JOKOVIC M,4,1,2,0,0,1,0,0,0,0,0,0,0,4,0
JOKOVIC M,5,2,0,0,0,2,1,0,0,0,0,2,1,5,3
JOKOVIC M,6,1,3,1,0,0,0,0,0,1,0,0,0,5,1
KRAPIC I,3,1,1,1,0,0,0,0,0,0,0,0,0,3,0
LONCAR L,1,0,0,3,0,1,0,0,0,3,0,1,0,4,4
LONCAR L,2,0,1,1,0,0,0,0,1,0,0,0,0,2,1
LONCAR L,3,0,2,0,0,3,0,0,0,0,0,3,0,5,3
LONCAR L,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0
LONCAR L,5,0,0,2,0,0,0,0,0,2,0,0,0,2,2
LONCAR L,6,0,0,0,0,2,0,0,0,0,0,1,0,2,1
MACAN M,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
MACAN M,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0
MACAN M,6,0,0,0,0,1,0,0,0,0,0,1,0,1,1
SETKA A,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0
SETKA A,2,1,0,0,2,1,0,0,0,0,1,0,0,4,1
SETKA A,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0
SETKA A,4,0,0,0,0,2,0,0,0,0,0,2,0,2,2
SETKA A,5,3,0,0,0,1,0,0,0,0,0,0,0,4,0
SETKA A,6,4,0,0,0,0,0,0,0,0,0,0,0,4,0
SUKNO S,1,0,1,0,0,1,0,0,0,0,0,0,0,2,0
SUKNO S,2,0,4,0,0,2,0,0,1,0,0,2,0,6,3
SUKNO S,3,3,0,0,1,1,0,1,0,0,1,1,0,5,3
SUKNO S,4,0,2,0,0,2,1,0,1,0,0,2,1,5,4
SUKNO S,5,1,0,0,0,3,0,0,0,0,0,3,0,4,3
SUKNO S,6,2,1,1,0,2,0,1,0,1,0,1,0,6,3
VUKICEVIC A,1,1,2,0,0,1,0,0,1,0,0,1,0,4,2
VUKICEVIC A,3,1,1,0,0,0,0,0,1,0,0,0,0,2,1
VUKICEVIC A,4,1,0,0,0,1,0,1,0,0,0,0,0,2,1
VUKICEVIC A,5,0,0,0,0,2,0,0,0,0,0,2,0,2,2
VUKICEVIC A,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0
