Action,Cap,ESP,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Starting goalkeeper,13.0,0,1,0,GRE,1.0,MOTOS MARTIN J,0 - 0,480,ESP,8:00
Starting goalkeeper,1.0,0,1,0,GRE,1.0,FLEGKAS K,0 - 0,480,GRE,8:00
Sprint won possession,2.0,0,1,0,GRE,1.0,GENIDOUNIAS K,0 - 0,480,GRE,8:00
5m shot - Saved,11.0,0,1,0,GRE,1.0,GOUNAS A,0 - 0,451,GRE,7:31
5m shot - Goal,3.0,1,1,0,GRE,1.0,GRANADOS ORTEGA A,1 - 0,421,ESP,7:01
20 sec. exclusion in centre,4.0,1,1,0,GRE,1.0,del TORO M,1 - 0,400,ESP,6:40
Extra player shot - Blocked,12.0,1,1,0,GRE,1.0,VLACHOPOULOS A,1 - 0,385,GRE,6:25
Extra player shot - Goal,12.0,1,1,1,GRE,1.0,VLACHOPOULOS A,1 - 1,381,GRE,6:21
Turnover foul,9.0,1,1,1,GRE,1.0,TAHULL COMPTE R,1 - 1,354,ESP,5:54
Steal,3.0,1,1,1,GRE,1.0,DELAKAS E,1 - 1,354,GRE,5:54
Action shot - Goal,5.0,1,1,2,GRE,1.0,FOUNTOULIS I,1 - 2,339,GRE,5:39
5m shot - Saved,6.0,1,1,2,GRE,1.0,MINGUELL ALFEREZ M,1 - 2,311,ESP,5:11
20 sec. exclusion in centre,7.0,1,1,2,GRE,1.0,PONTIKEAS K,1 - 2,302,GRE,5:02
Extra player shot - Post,11.0,1,1,2,GRE,1.0,MALLARACH GUELL B,1 - 2,284,ESP,4:44
20 sec. exclusion in centre,5.0,1,1,2,GRE,1.0,BUSTOS SANCHEZ A,1 - 2,264,ESP,4:24
Extra player shot - Goal,5.0,1,1,3,GRE,1.0,FOUNTOULIS I,1 - 3,253,GRE,4:13
5m shot - Blocked,11.0,1,1,3,GRE,1.0,MALLARACH GUELL B,1 - 3,222,ESP,3:42
Turnover foul,2.0,1,1,3,GRE,1.0,MUNARRIZ EGANA A,1 - 3,193,ESP,3:13
Steal,12.0,1,1,3,GRE,1.0,VLACHOPOULOS A,1 - 3,193,GRE,3:13
Turnover foul,9.0,1,1,3,GRE,1.0,MOURIKIS K,1 - 3,166,GRE,2:46
5m shot - Saved,11.0,1,1,3,GRE,1.0,MALLARACH GUELL B,1 - 3,139,ESP,2:19
Action shot - Missed,2.0,1,1,3,GRE,1.0,GENIDOUNIAS K,1 - 3,114,GRE,1:54
Turnover foul,11.0,1,1,3,GRE,1.0,MALLARACH GUELL B,1 - 3,91,ESP,1:31
5m shot - Post,11.0,1,1,3,GRE,1.0,GOUNAS A,1 - 3,68,GRE,1:08
Time-Out,,1,1,3,GRE,1.0,,1 - 3,66,GRE,1:06
Turnover foul,5.0,1,1,3,GRE,1.0,FOUNTOULIS I,1 - 3,45,GRE,0:45
Turnover foul,5.0,1,1,3,GRE,1.0,FOUNTOULIS I,1 - 3,41,GRE,0:41
Steal,10.0,1,1,3,GRE,1.0,FERNANDEZ MIRANDA,1 - 3,41,ESP,0:41
Action shot - Saved,8.0,1,1,3,GRE,1.0,ESPANOL LIFANTE A,1 - 3,28,ESP,0:28
5m shot - Saved,5.0,1,1,3,GRE,1.0,FOUNTOULIS I,1 - 3,5,GRE,0:05
Time-Out,,1,1,3,GRE,1.0,,1 - 3,5,ESP,0:05
5m shot - Missed,8.0,1,1,3,GRE,1.0,ESPANOL LIFANTE A,1 - 3,1,ESP,0:01
Starting goalkeeper,13.0,1,1,3,GRE,2.0,MOTOS MARTIN J,1 - 3,480,ESP,8:00
Starting goalkeeper,1.0,1,1,3,GRE,2.0,FLEGKAS K,1 - 3,480,GRE,8:00
Sprint won possession,2.0,1,1,3,GRE,2.0,GENIDOUNIAS K,1 - 3,480,GRE,8:00
Turnover foul,11.0,1,1,3,GRE,2.0,GOUNAS A,1 - 3,451,GRE,7:31
Steal,8.0,1,1,3,GRE,2.0,ESPANOL LIFANTE A,1 - 3,451,ESP,7:31
5m shot - Saved,2.0,1,1,3,GRE,2.0,MUNARRIZ EGANA A,1 - 3,435,ESP,7:15
Centre shot - Saved,10.0,1,1,3,GRE,2.0,KOLOMVOS C,1 - 3,408,GRE,6:48
5m shot - Blocked,3.0,1,1,3,GRE,2.0,GRANADOS ORTEGA A,1 - 3,380,ESP,6:20
Action shot - Goal,3.0,1,1,4,GRE,2.0,DELAKAS E,1 - 4,353,GRE,5:53
20 sec. exclusion in centre,12.0,1,1,4,GRE,2.0,VLACHOPOULOS A,1 - 4,335,GRE,5:35
Centre shot - Goal,4.0,2,1,4,GRE,2.0,del TORO M,2 - 4,312,ESP,5:12
5m shot - Saved,11.0,2,1,4,GRE,2.0,GOUNAS A,2 - 4,285,GRE,4:45
Turnover foul,9.0,2,1,4,GRE,2.0,TAHULL COMPTE R,2 - 4,264,ESP,4:24
20 sec. exclusion in centre,4.0,2,1,4,GRE,2.0,del TORO M,2 - 4,247,ESP,4:07
Action shot - Goal,6.0,2,1,5,GRE,2.0,KAPOTSIS M,2 - 5,223,GRE,3:43
Turnover foul,12.0,2,1,5,GRE,2.0,GUTIERREZ SANTIAGO,2 - 5,195,ESP,3:15
Steal,10.0,2,1,5,GRE,2.0,KOLOMVOS C,2 - 5,195,GRE,3:15
5m shot - Saved,2.0,2,1,5,GRE,2.0,GENIDOUNIAS K,2 - 5,176,GRE,2:56
Action shot - Saved,6.0,2,1,5,GRE,2.0,MINGUELL ALFEREZ M,2 - 5,150,ESP,2:30
Turnover foul,10.0,2,1,5,GRE,2.0,KOLOMVOS C,2 - 5,122,GRE,2:02
20 sec. exclusion in centre,7.0,2,1,5,GRE,2.0,PONTIKEAS K,2 - 5,96,GRE,1:36
Time-Out,,2,1,5,GRE,2.0,,2 - 5,96,ESP,1:36
Extra player shot - Saved,7.0,2,1,5,GRE,2.0,BARROSO MACARRO A,2 - 5,78,ESP,1:18
20 sec. exclusion in field,8.0,2,1,5,GRE,2.0,ESPANOL LIFANTE A,2 - 5,58,ESP,0:58
Time-Out,,2,1,5,GRE,2.0,,2 - 5,56,GRE,0:56
Extra player shot - Post,5.0,2,1,5,GRE,2.0,FOUNTOULIS I,2 - 5,35,GRE,0:35
20 sec. exclusion in field,5.0,2,1,5,GRE,2.0,FOUNTOULIS I,2 - 5,34,GRE,0:34
Action shot - Goal,11.0,3,1,5,GRE,2.0,MALLARACH GUELL B,3 - 5,8,ESP,0:08
5m shot - Missed,12.0,3,1,5,GRE,2.0,VLACHOPOULOS A,3 - 5,1,GRE,0:01
Starting goalkeeper,1.0,3,1,5,GRE,3.0,LOPEZ PINEDO D,3 - 5,480,ESP,8:00
Starting goalkeeper,1.0,3,1,5,GRE,3.0,FLEGKAS K,3 - 5,480,GRE,8:00
Sprint won possession,3.0,3,1,5,GRE,3.0,GRANADOS ORTEGA A,3 - 5,480,ESP,8:00
5m shot - Post,10.0,3,1,5,GRE,3.0,FERNANDEZ MIRANDA,3 - 5,451,ESP,7:31
Goalkeeper substitution,13.0,3,1,5,GRE,3.0,ZERDEVAS E,3 - 5,424,GRE,7:04
20 sec. exclusion in centre,11.0,3,1,5,GRE,3.0,MALLARACH GUELL B,3 - 5,425,ESP,7:05
Turnover foul,10.0,3,1,5,GRE,3.0,KOLOMVOS C,3 - 5,410,GRE,6:50
20 sec. exclusion in field,9.0,3,1,5,GRE,3.0,MOURIKIS K,3 - 5,388,GRE,6:28
Action shot - Saved,8.0,3,1,5,GRE,3.0,ESPANOL LIFANTE A,3 - 5,365,ESP,6:05
Turnover foul,9.0,3,1,5,GRE,3.0,TAHULL COMPTE R,3 - 5,336,ESP,5:36
Steal,5.0,3,1,5,GRE,3.0,FOUNTOULIS I,3 - 5,336,GRE,5:36
5m shot - Saved,5.0,3,1,5,GRE,3.0,FOUNTOULIS I,3 - 5,306,GRE,5:06
Centre shot - Saved,9.0,3,1,5,GRE,3.0,TAHULL COMPTE R,3 - 5,277,ESP,4:37
Action shot - Saved,12.0,3,1,5,GRE,3.0,VLACHOPOULOS A,3 - 5,253,GRE,4:13
5m shot - Saved,5.0,3,1,5,GRE,3.0,FOUNTOULIS I,3 - 5,233,GRE,3:53
Turnover foul,5.0,3,1,5,GRE,3.0,FOUNTOULIS I,3 - 5,215,GRE,3:35
20 sec. exclusion in centre,1.0,3,1,5,GRE,3.0,LOPEZ PINEDO D,3 - 5,215,ESP,3:35
Extra player shot - Goal,12.0,3,1,6,GRE,3.0,VLACHOPOULOS A,3 - 6,197,GRE,3:17
Action shot - Goal,7.0,4,1,6,GRE,3.0,BARROSO MACARRO A,4 - 6,173,ESP,2:53
5m shot - Saved,5.0,4,1,6,GRE,3.0,FOUNTOULIS I,4 - 6,143,GRE,2:23
Turnover foul,11.0,4,1,6,GRE,3.0,MALLARACH GUELL B,4 - 6,119,ESP,1:59
5m shot - Missed,3.0,4,1,6,GRE,3.0,DELAKAS E,4 - 6,96,GRE,1:36
20 sec. exclusion in centre,3.0,4,1,6,GRE,3.0,DELAKAS E,4 - 6,77,GRE,1:17
Time-Out,,4,1,6,GRE,3.0,,4 - 6,77,ESP,1:17
Extra player shot - Post,7.0,4,1,6,GRE,3.0,BARROSO MACARRO A,4 - 6,53,ESP,0:53
5m shot - Blocked,2.0,4,1,6,GRE,3.0,MUNARRIZ EGANA A,4 - 6,30,ESP,0:30
Time-Out,,4,1,6,GRE,3.0,,4 - 6,30,GRE,0:30
Goalkeeper substitution,1.0,4,1,6,GRE,3.0,FLEGKAS K,4 - 6,30,GRE,0:30
Action shot - Saved,5.0,4,1,6,GRE,3.0,FOUNTOULIS I,4 - 6,4,GRE,0:04
20 sec. exclusion in field,12.0,4,1,6,GRE,3.0,VLACHOPOULOS A,4 - 6,4,GRE,0:04
Starting goalkeeper,1.0,4,1,6,GRE,4.0,LOPEZ PINEDO D,4 - 6,480,ESP,8:00
Starting goalkeeper,1.0,4,1,6,GRE,4.0,FLEGKAS K,4 - 6,480,GRE,8:00
Sprint won possession,2.0,4,1,6,GRE,4.0,GENIDOUNIAS K,4 - 6,480,GRE,8:00
5m shot - Saved,4.0,4,1,6,GRE,4.0,DERVISIS G,4 - 6,453,GRE,7:33
Turnover foul,9.0,4,1,6,GRE,4.0,TAHULL COMPTE R,4 - 6,424,ESP,7:04
Steal,7.0,4,1,6,GRE,4.0,PONTIKEAS K,4 - 6,424,GRE,7:04
20 sec. exclusion in centre,6.0,4,1,6,GRE,4.0,MINGUELL ALFEREZ M,4 - 6,404,ESP,6:44
Extra player shot - Goal,11.0,4,1,7,GRE,4.0,GOUNAS A,4 - 7,386,GRE,6:26
Action shot - Saved,2.0,4,1,7,GRE,4.0,MUNARRIZ EGANA A,4 - 7,355,ESP,5:55
Action shot - Goal,11.0,5,1,7,GRE,4.0,MALLARACH GUELL B,5 - 7,346,ESP,5:46
5m shot - Saved,2.0,5,1,7,GRE,4.0,GENIDOUNIAS K,5 - 7,315,GRE,5:15
