Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
BARROSO MACARRO A,1,0,1,0,0,2,0,0,1,0,0,0,0,3,1
BARROSO MACARRO A,2,1,1,0,0,0,0,0,1,0,0,0,0,2,1
BARROSO MACARRO A,3,0,1,0,0,1,0,0,0,0,0,0,0,2,0
BARROSO MACARRO A,4,1,2,0,0,0,0,0,1,0,0,0,0,3,1
BARROSO MACARRO A,5,2,2,0,0,3,0,2,0,0,0,3,0,7,5
BARROSO MACARRO A,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0
BUSTOS SANCHEZ A,2,0,2,0,0,2,0,0,0,0,0,2,0,4,2
BUSTOS SANCHEZ A,3,0,2,0,0,0,0,0,0,0,0,0,0,2,0
BUSTOS SANCHEZ A,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0
BUSTOS SANCHEZ A,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
BUSTOS SANCHEZ A,6,2,0,0,0,0,0,0,0,0,0,0,0,2,0
ESPANOL LIFANTE A,1,1,2,0,0,0,0,0,0,0,0,0,0,3,0
ESPANOL LIFANTE A,2,1,1,0,0,0,0,0,1,0,0,0,0,2,1
ESPANOL LIFANTE A,3,1,2,0,0,1,0,0,2,0,0,1,0,4,3
ESPANOL LIFANTE A,4,4,1,0,0,0,0,2,0,0,0,0,0,5,2
ESPANOL LIFANTE A,5,2,0,0,0,0,1,0,0,0,0,0,1,3,1
ESPANOL LIFANTE A,6,2,2,1,0,0,3,0,2,0,0,0,3,8,5
FERNANDEZ MIRANDA,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
FERNANDEZ MIRANDA,3,0,1,0,1,0,0,0,1,0,0,0,0,2,1
FERNANDEZ MIRANDA,4,1,0,0,0,0,0,1,0,0,0,0,0,1,1
FERNANDEZ MIRANDA,5,0,0,0,1,1,0,0,0,0,1,1,0,2,2
GRANADOS ORTEGA A,1,2,0,0,0,0,0,1,0,0,0,0,0,2,1
GRANADOS ORTEGA A,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0
GRANADOS ORTEGA A,3,0,0,0,1,0,0,0,0,0,1,0,0,1,1
GRANADOS ORTEGA A,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
GRANADOS ORTEGA A,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0
GUTIERREZ SANTIAGO,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1
GUTIERREZ SANTIAGO,3,1,2,1,0,1,0,1,0,1,0,1,0,5,3
GUTIERREZ SANTIAGO,5,0,0,1,0,0,0,0,0,1,0,0,0,1,1
GUTIERREZ SANTIAGO,6,0,1,2,0,1,0,0,1,1,0,1,0,4,3
MALLARACH GUELL B,1,2,3,0,0,1,0,0,2,0,0,0,0,6,2
MALLARACH GUELL B,2,3,0,0,0,1,0,0,0,0,0,1,0,4,1
MALLARACH GUELL B,3,1,2,0,1,0,0,1,1,0,1,0,0,4,3
MALLARACH GUELL B,4,3,1,0,0,1,0,0,0,0,0,0,0,5,0
MALLARACH GUELL B,5,0,3,0,0,0,0,0,1,0,0,0,0,3,1
MALLARACH GUELL B,6,1,1,1,0,2,0,0,0,0,0,2,0,5,2
MINGUELL ALFEREZ M,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0
MINGUELL ALFEREZ M,2,2,1,2,0,0,0,0,0,0,0,0,0,5,0
MINGUELL ALFEREZ M,3,0,1,0,1,1,0,0,0,0,0,0,0,3,0
MINGUELL ALFEREZ M,4,1,2,0,0,2,0,0,0,0,0,1,0,5,1
MINGUELL ALFEREZ M,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0
MINGUELL ALFEREZ M,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0
MUNARRIZ EGANA A,1,3,2,0,0,0,0,0,0,0,0,0,0,5,0
MUNARRIZ EGANA A,2,0,1,0,0,2,0,0,0,0,0,0,0,3,0
MUNARRIZ EGANA A,3,2,1,1,0,1,0,1,0,0,0,1,0,5,2
MUNARRIZ EGANA A,4,3,0,0,0,1,0,0,0,0,0,1,0,4,1
MUNARRIZ EGANA A,5,4,2,0,0,0,0,2,1,0,0,0,0,6,3
MUNARRIZ EGANA A,6,2,1,2,0,0,0,0,1,0,0,0,0,5,1
TAHULL COMPTE R,1,0,0,2,0,0,0,0,0,1,0,0,0,2,1
TAHULL COMPTE R,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
TAHULL COMPTE R,3,0,1,0,0,3,0,0,0,0,0,2,0,4,2
TAHULL COMPTE R,4,0,0,2,0,3,0,0,0,1,0,3,0,5,4
TAHULL COMPTE R,5,0,3,0,0,0,0,0,2,0,0,0,0,3,2
TAHULL COMPTE R,6,0,1,6,0,0,0,0,0,2,0,0,0,7,2
del TORO M,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
del TORO M,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
del TORO M,3,0,1,0,0,2,0,0,0,0,0,1,0,3,1
del TORO M,5,1,2,0,0,0,0,1,2,0,0,0,0,3,3
