Action,Cap,ESP,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,11.0,0,1,0,GRE,1.0,GOUNAS A,0 - 0,451,GRE,7:31,Saved,0
5m shot,3.0,1,1,0,GRE,1.0,GRANADOS ORTEGA A,1 - 0,421,ESP,7:01,Goal,1
Extra player shot,12.0,1,1,0,GRE,1.0,VLACHOPOULOS A,1 - 0,385,GRE,6:25,Blocked,0
Extra player shot,12.0,1,1,1,GRE,1.0,VLACHOPOULOS A,1 - 1,381,GRE,6:21,Goal,1
Action shot,5.0,1,1,2,GRE,1.0,FOUNTOULIS I,1 - 2,339,GRE,5:39,Goal,1
5m shot,6.0,1,1,2,GRE,1.0,MINGUELL ALFEREZ M,1 - 2,311,ESP,5:11,Saved,0
Extra player shot,11.0,1,1,2,GRE,1.0,MALLARACH GUELL B,1 - 2,284,ESP,4:44,Post,0
Extra player shot,5.0,1,1,3,GRE,1.0,FOUNTOULIS I,1 - 3,253,GRE,4:13,Goal,1
5m shot,11.0,1,1,3,GRE,1.0,MALLARACH GUELL B,1 - 3,222,ESP,3:42,Blocked,0
5m shot,11.0,1,1,3,GRE,1.0,MALLARACH GUELL B,1 - 3,139,ESP,2:19,Saved,0
Action shot,2.0,1,1,3,GRE,1.0,GENIDOUNIAS K,1 - 3,114,GRE,1:54,Missed,0
5m shot,11.0,1,1,3,GRE,1.0,GOUNAS A,1 - 3,68,GRE,1:08,Post,0
Action shot,8.0,1,1,3,GRE,1.0,ESPANOL LIFANTE A,1 - 3,28,ESP,0:28,Saved,0
5m shot,5.0,1,1,3,GRE,1.0,FOUNTOULIS I,1 - 3,5,GRE,0:05,Saved,0
5m shot,8.0,1,1,3,GRE,1.0,ESPANOL LIFANTE A,1 - 3,1,ESP,0:01,Missed,0
5m shot,2.0,1,1,3,GRE,2.0,MUNARRIZ EGANA A,1 - 3,435,ESP,7:15,Saved,0
Centre shot,10.0,1,1,3,GRE,2.0,KOLOMVOS C,1 - 3,408,GRE,6:48,Saved,0
5m shot,3.0,1,1,3,GRE,2.0,GRANADOS ORTEGA A,1 - 3,380,ESP,6:20,Blocked,0
Action shot,3.0,1,1,4,GRE,2.0,DELAKAS E,1 - 4,353,GRE,5:53,Goal,1
Centre shot,4.0,2,1,4,GRE,2.0,del TORO M,2 - 4,312,ESP,5:12,Goal,1
5m shot,11.0,2,1,4,GRE,2.0,GOUNAS A,2 - 4,285,GRE,4:45,Saved,0
Action shot,6.0,2,1,5,GRE,2.0,KAPOTSIS M,2 - 5,223,GRE,3:43,Goal,1
5m shot,2.0,2,1,5,GRE,2.0,GENIDOUNIAS K,2 - 5,176,GRE,2:56,Saved,0
Action shot,6.0,2,1,5,GRE,2.0,MINGUELL ALFEREZ M,2 - 5,150,ESP,2:30,Saved,0
Extra player shot,7.0,2,1,5,GRE,2.0,BARROSO MACARRO A,2 - 5,78,ESP,1:18,Saved,0
Extra player shot,5.0,2,1,5,GRE,2.0,FOUNTOULIS I,2 - 5,35,GRE,0:35,Post,0
Action shot,11.0,3,1,5,GRE,2.0,MALLARACH GUELL B,3 - 5,8,ESP,0:08,Goal,1
5m shot,12.0,3,1,5,GRE,2.0,VLACHOPOULOS A,3 - 5,1,GRE,0:01,Missed,0
5m shot,10.0,3,1,5,GRE,3.0,FERNANDEZ MIRANDA,3 - 5,451,ESP,7:31,Post,0
Action shot,8.0,3,1,5,GRE,3.0,ESPANOL LIFANTE A,3 - 5,365,ESP,6:05,Saved,0
5m shot,5.0,3,1,5,GRE,3.0,FOUNTOULIS I,3 - 5,306,GRE,5:06,Saved,0
Centre shot,9.0,3,1,5,GRE,3.0,TAHULL COMPTE R,3 - 5,277,ESP,4:37,Saved,0
Action shot,12.0,3,1,5,GRE,3.0,VLACHOPOULOS A,3 - 5,253,GRE,4:13,Saved,0
5m shot,5.0,3,1,5,GRE,3.0,FOUNTOULIS I,3 - 5,233,GRE,3:53,Saved,0
Extra player shot,12.0,3,1,6,GRE,3.0,VLACHOPOULOS A,3 - 6,197,GRE,3:17,Goal,1
