Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
CAMARASA A,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
CAMARASA A,2,0,0,2,0,0,0,0,0,1,0,0,0,2,1
CAMARASA A,3,0,1,1,0,2,0,0,0,0,0,2,0,4,2
CAMARASA A,5,0,0,2,0,0,0,0,0,1,0,0,0,2,1
CROUSILLAT U,1,6,2,0,0,1,1,1,0,0,0,1,1,10,3
CROUSILLAT U,2,1,2,0,0,3,0,0,0,0,0,3,0,6,3
CROUSILLAT U,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0
CROUSILLAT U,4,4,2,0,1,1,0,0,1,0,1,1,0,8,3
CROUSILLAT U,5,4,3,0,0,0,0,0,2,0,0,0,0,7,2
GUILLAUME D,1,0,0,0,0,2,0,0,0,0,0,2,0,2,2
GUILLAUME D,4,0,1,0,0,2,0,0,1,0,0,0,0,3,1
IZDINSKY M,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0
IZDINSKY M,2,0,0,0,0,1,0,0,0,0,0,1,0,1,1
IZDINSKY M,3,0,3,0,0,0,0,0,1,0,0,0,0,3,1
KOVACEVIC I,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1
KOVACEVIC I,2,1,1,0,0,1,0,0,0,0,0,1,0,3,1
KOVACEVIC I,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0
KOVACEVIC I,4,2,0,0,0,1,0,0,0,0,0,1,0,3,1
KOVACEVIC I,5,1,0,0,0,1,0,1,0,0,0,0,0,2,1
LAVERSANNE M,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0
MARZOUKI M,1,2,3,0,0,1,0,0,1,0,0,1,0,6,2
MARZOUKI M,2,4,2,0,0,2,0,1,0,0,0,1,0,8,2
MARZOUKI M,3,3,1,0,0,1,1,1,1,0,0,1,1,6,4
MARZOUKI M,4,4,1,0,0,0,1,2,0,0,0,0,1,6,3
MARZOUKI M,5,5,2,0,0,1,0,1,0,0,0,1,0,8,2
PEISSON M,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0
PEISSON M,4,0,3,1,0,0,0,0,1,0,0,0,0,4,1
PIOT L,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0
SAUDADIER R,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
SAUDADIER R,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
SAUDADIER R,5,0,0,1,0,1,0,0,0,0,0,1,0,2,1
SIMON T,1,0,1,0,0,2,0,0,0,0,0,1,0,3,1
SIMON T,2,3,2,0,0,1,0,0,1,0,0,1,0,6,2
SIMON T,3,1,2,0,0,0,0,0,0,0,0,0,0,3,0
SIMON T,4,0,1,0,1,0,0,0,0,0,1,0,0,2,1
SIMON T,5,2,1,0,0,1,0,0,1,0,0,0,0,4,1
