Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
ARGYROPOULOS KANAK,2,0,3,0,0,1,0,0,1,0,0,1,0,4,2
ARGYROPOULOS KANAK,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ARGYROPOULOS KANAK,5,0,0,0,1,0,0,0,0,0,1,0,0,1,1
DELAKAS E,1,1,1,0,0,0,0,0,1,0,0,0,0,2,1
DELAKAS E,3,0,2,0,0,0,0,0,2,0,0,0,0,2,2
DELAKAS E,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
DELAKAS E,5,2,1,0,0,0,0,0,0,0,0,0,0,3,0
DELAKAS E,7,0,0,0,0,1,0,0,0,0,0,1,0,1,1
DERVISIS G,1,1,0,0,0,1,0,0,0,0,0,1,0,2,1
DERVISIS G,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1
DERVISIS G,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0
DERVISIS G,5,0,1,0,0,0,0,0,1,0,0,0,0,1,1
DERVISIS G,7,2,0,0,0,1,0,0,0,0,0,0,0,3,0
FOUNTOULIS I,1,4,2,0,0,3,0,0,1,0,0,1,0,9,2
FOUNTOULIS I,2,3,2,2,0,2,1,2,0,2,0,1,1,10,6
FOUNTOULIS I,3,6,1,0,0,0,2,0,0,0,0,0,2,9,2
FOUNTOULIS I,4,2,0,0,2,0,1,1,0,0,2,0,1,5,4
FOUNTOULIS I,5,3,1,0,0,2,1,0,1,0,0,2,1,7,4
FOUNTOULIS I,6,3,2,0,0,2,0,0,0,0,0,2,0,7,2
FOUNTOULIS I,7,5,1,0,0,1,1,2,0,0,0,0,1,8,3
GENIDOUNIAS K,1,2,1,0,0,0,0,0,0,0,0,0,0,3,0
GENIDOUNIAS K,2,0,1,0,0,1,0,0,0,0,0,1,0,2,1
GENIDOUNIAS K,3,2,1,0,0,0,0,0,1,0,0,0,0,3,1
GENIDOUNIAS K,4,3,2,0,0,1,0,0,1,0,0,1,0,6,2
GENIDOUNIAS K,5,1,1,0,0,0,0,0,1,0,0,0,0,2,1
GENIDOUNIAS K,6,4,5,0,0,1,0,1,1,0,0,1,0,10,3
GENIDOUNIAS K,7,2,0,0,0,1,0,0,0,0,0,1,0,3,1
GOUNAS A,1,3,0,0,0,1,0,0,0,0,0,1,0,4,1
GOUNAS A,2,3,1,1,0,2,0,1,1,1,0,0,0,7,3
GOUNAS A,3,1,1,0,0,0,0,0,0,0,0,0,0,2,0
GOUNAS A,4,1,1,0,0,1,1,1,0,0,0,1,1,4,3
GOUNAS A,5,3,1,1,0,2,0,0,1,0,0,1,0,7,2
GOUNAS A,6,2,2,0,0,0,0,0,0,0,0,0,0,4,0
GOUNAS A,7,0,2,0,0,1,0,0,0,0,0,0,0,3,0
KAPOTSIS M,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1
KAPOTSIS M,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1
KAPOTSIS M,3,1,0,0,0,1,0,0,0,0,0,0,0,2,0
KAPOTSIS M,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0
KAPOTSIS M,7,1,2,0,0,0,0,0,0,0,0,0,0,3,0
KOLOMVOS C,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
KOLOMVOS C,2,0,0,2,0,1,0,0,0,2,0,1,0,3,3
KOLOMVOS C,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0
KOLOMVOS C,4,1,0,2,0,0,0,0,0,0,0,0,0,3,0
KOLOMVOS C,5,0,1,0,0,0,0,0,1,0,0,0,0,1,1
KOLOMVOS C,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0
KOLOMVOS C,7,0,0,1,0,1,0,0,0,0,0,0,0,2,0
MOURIKIS K,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
MOURIKIS K,3,0,2,0,0,0,0,0,1,0,0,0,0,2,1
MOURIKIS K,4,1,1,2,0,0,0,0,0,2,0,0,0,4,2
MOURIKIS K,5,0,0,1,0,1,0,0,0,1,0,0,0,2,1
MOURIKIS K,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0
PONTIKEAS K,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1
PONTIKEAS K,7,0,0,1,0,0,0,0,0,1,0,0,0,1,1
VLACHOPOULOS A,1,1,2,0,0,3,0,0,0,0,0,2,0,6,2
VLACHOPOULOS A,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
VLACHOPOULOS A,3,0,1,0,0,2,0,0,0,0,0,0,0,3,0
VLACHOPOULOS A,4,0,2,0,0,1,0,0,2,0,0,1,0,3,3
VLACHOPOULOS A,5,2,1,0,0,0,0,1,0,0,0,0,0,3,1
VLACHOPOULOS A,6,2,1,0,0,0,0,0,0,0,0,0,0,3,0
VLACHOPOULOS A,7,0,2,0,0,2,0,0,1,0,0,1,0,4,2
