Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
ALTAYEV A,6,0,0,1,0,0,0,0,0,1,0,0,0,1,1
MANAFOV R,3,0,1,1,0,0,0,0,0,0,0,0,0,2,0
MANAFOV R,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0
MANAFOV R,5,0,1,0,0,0,0,0,1,0,0,0,0,1,1
MEDVEDEV Y,1,0,2,0,0,2,0,0,0,0,0,0,0,4,0
MEDVEDEV Y,2,1,4,0,0,2,0,1,1,0,0,2,0,7,4
MEDVEDEV Y,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0
MEDVEDEV Y,4,1,1,0,0,0,0,0,0,0,0,0,0,2,0
MEDVEDEV Y,5,5,1,0,0,0,0,0,0,0,0,0,0,6,0
MEDVEDEV Y,6,1,3,0,0,1,0,0,0,0,0,1,0,5,1
PILIPENKO R,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
PILIPENKO R,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0
PILIPENKO R,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0
PILIPENKO R,5,2,0,0,0,0,0,1,0,0,0,0,0,2,1
RUDAY M,2,0,0,1,0,0,0,0,0,1,0,0,0,1,1
RUDAY M,3,0,0,3,0,0,0,0,0,1,0,0,0,3,1
RUDAY M,4,1,2,2,0,0,0,0,0,2,0,0,0,5,2
RUDAY M,5,1,2,0,0,0,0,0,0,0,0,0,0,3,0
RUDAY M,6,0,0,2,0,0,0,0,0,1,0,0,0,2,1
SHAKENOV M,1,1,3,2,0,2,0,0,0,0,0,0,0,8,0
SHAKENOV M,2,1,2,0,0,2,0,0,0,0,0,0,0,5,0
SHAKENOV M,3,2,0,0,0,1,0,0,0,0,0,0,0,3,0
SHAKENOV M,4,2,1,0,0,1,1,1,1,0,0,0,1,5,3
SHAKENOV M,5,5,2,0,0,0,1,2,1,0,0,0,1,8,4
SHAKENOV M,6,1,2,0,0,2,0,0,1,0,0,1,0,5,2
SHMIDER A,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0
SHMIDER A,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0
SHMIDER A,3,2,2,0,0,0,0,0,1,0,0,0,0,4,1
SHMIDER A,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0
SHMIDER A,6,0,1,0,0,1,0,0,0,0,0,1,0,2,1
SHVEDOV S,4,0,1,0,1,0,0,0,0,0,0,0,0,2,0
TURLYKHANOV B,1,0,3,0,0,0,0,0,1,0,0,0,0,3,1
TURLYKHANOV B,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1
TURLYKHANOV B,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0
TURLYKHANOV B,4,1,1,0,0,1,0,0,1,0,0,1,0,3,2
TURLYKHANOV B,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
TURLYKHANOV B,6,4,0,0,0,0,0,1,0,0,0,0,0,4,1
UKUMANOV R,1,3,1,0,0,1,0,0,1,0,0,0,0,5,1
UKUMANOV R,2,5,4,1,0,1,0,2,1,1,0,0,0,11,4
UKUMANOV R,3,3,1,2,0,0,1,1,0,1,0,0,0,7,2
UKUMANOV R,4,0,1,0,0,1,0,0,0,0,0,0,0,2,0
UKUMANOV R,5,3,0,0,0,0,0,0,0,0,0,0,0,3,0
UKUMANOV R,6,3,1,0,1,0,0,0,1,0,1,0,0,5,2
VERDESH Y,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
VERDESH Y,3,0,0,1,0,1,0,0,0,1,0,0,0,2,1
VERDESH Y,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
VERDESH Y,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0
