Action,Cap,Game,KAZ,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,7.0,1,0,0,BRA,1.0,SHAKENOV M,0 - 0,392,KAZ,6:32,Saved,0
Action shot,9.0,1,0,0,BRA,1.0,ROCHA B,0 - 0,341,BRA,5:41,Saved,0
5m shot,9.0,1,0,0,BRA,1.0,UKUMANOV R,0 - 0,313,KAZ,5:13,Missed,0
5m shot,12.0,1,0,0,BRA,1.0,FREITAS R,0 - 0,285,BRA,4:45,Saved,0
Action shot,6.0,1,0,0,BRA,1.0,SHMIDER A,0 - 0,258,KAZ,4:18,Saved,0
5m shot,4.0,1,0,0,BRA,1.0,COUTINHO G,0 - 0,232,BRA,3:52,Saved,0
Action shot,4.0,1,0,0,BRA,1.0,PILIPENKO R,0 - 0,192,KAZ,3:12,Saved,0
Extra player shot,11.0,1,0,1,BRA,1.0,GUIMARAES G,1 - 0,161,BRA,2:41,Goal,1
Action shot,2.0,1,0,1,BRA,1.0,CRUZ A,1 - 0,68,BRA,1:08,Saved,0
Action shot,2.0,1,0,1,BRA,1.0,CRUZ A,1 - 0,59,BRA,0:59,Saved,0
Action shot,12.0,1,0,1,BRA,1.0,TURLYKHANOV B,1 - 0,37,KAZ,0:37,Saved,0
Action shot,12.0,1,1,1,BRA,1.0,TURLYKHANOV B,1 - 1,37,KAZ,0:37,Goal,1
Centre shot,7.0,1,1,1,BRA,2.0,SHAKENOV M,1 - 1,456,KAZ,7:36,Missed,0
5m shot,6.0,1,1,1,BRA,2.0,SHMIDER A,1 - 1,400,KAZ,6:40,Missed,0
Centre shot,4.0,1,1,1,BRA,2.0,COUTINHO G,1 - 1,349,BRA,5:49,Saved,0
Action shot,7.0,1,1,1,BRA,2.0,SHAKENOV M,1 - 1,330,KAZ,5:30,Saved,0
5m shot,7.0,1,1,1,BRA,2.0,SHAKENOV M,1 - 1,263,KAZ,4:23,Missed,0
Action shot,12.0,1,1,1,BRA,2.0,TURLYKHANOV B,1 - 1,213,KAZ,3:33,Saved,0
5m shot,11.0,1,1,1,BRA,2.0,GUIMARAES G,1 - 1,186,BRA,3:06,Saved,0
