Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
BADENHORST N,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
BADENHORST N,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
BADENHORST N,4,0,1,0,0,0,0,0,1,0,0,0,0,1,1
BADENHORST N,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
BROWN C,1,1,1,1,0,0,0,0,1,0,0,0,0,3,1
BROWN C,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0
BROWN C,3,1,1,0,0,1,0,0,1,0,0,0,0,3,1
BROWN C,5,1,1,0,0,0,0,0,0,0,0,0,0,2,0
CARD D,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1
CARD D,2,1,0,3,0,0,0,0,0,0,0,0,0,4,0
CARD D,3,0,0,2,0,0,0,0,0,1,0,0,0,2,1
CARD D,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0
CARD D,5,0,0,2,0,0,0,0,0,1,0,0,0,2,1
LEWIS J,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
MOLYNEUX N,1,1,1,0,0,0,0,0,1,0,0,0,0,2,1
MOLYNEUX N,2,0,0,0,1,0,1,0,0,0,1,0,0,2,1
MOLYNEUX N,3,1,1,0,0,0,0,0,0,0,0,0,0,2,0
MOLYNEUX N,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0
OLVER R,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0
OLVER R,5,1,1,0,0,0,0,0,0,0,0,0,0,2,0
RABIE L,1,2,1,0,0,0,0,0,0,0,0,0,0,3,0
RABIE L,3,1,0,0,0,0,0,1,0,0,0,0,0,1,1
RABIE L,4,1,1,0,0,0,0,0,0,0,0,0,0,2,0
RABIE L,5,1,2,0,0,0,0,0,0,0,0,0,0,3,0
RODDA N,3,0,1,0,0,0,0,0,1,0,0,0,0,1,1
RODDA N,4,3,0,0,0,0,0,1,0,0,0,0,0,3,1
RODDA N,5,1,2,1,0,1,0,1,0,0,0,0,0,5,1
WHYTE D,5,0,0,0,0,1,0,0,0,0,0,1,0,1,1
de CARVALHO J,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
de CARVALHO J,3,3,1,0,0,0,0,0,0,0,0,0,0,4,0
de CARVALHO J,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0
le ROUX E,1,1,3,1,0,0,0,0,1,1,0,0,0,5,2
le ROUX E,2,2,1,0,0,1,0,0,1,0,0,0,0,4,1
le ROUX E,3,3,2,0,0,2,0,0,0,0,0,0,0,7,0
le ROUX E,4,3,1,1,0,1,0,0,0,0,0,1,0,6,1
le ROUX E,5,2,2,0,0,1,0,0,1,0,0,1,0,5,2
le ROUX P,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0
le ROUX P,2,1,1,0,0,1,1,0,0,0,0,0,0,4,0
le ROUX P,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0
le ROUX P,4,4,3,0,0,0,0,0,1,0,0,0,0,7,1
le ROUX P,5,0,0,0,0,2,1,0,0,0,0,1,0,3,1
