Action,Cap,Game,Opponent,Opponent name,Period,Player,RSA,Score,Seconds,Team,Time,Result,Goal
Action shot,8.0,1,0,SRB,1.0,ALEKSIC M,0,0 - 0,435,SRB,7:15,Post,0
Action shot,10.0,1,0,SRB,1.0,FILIPOVIC F,0,0 - 0,417,SRB,6:57,Blocked,0
Counter attack,5.0,1,1,SRB,1.0,CUK M,0,1 - 0,391,SRB,6:31,Goal,1
Centre shot,5.0,1,1,SRB,1.0,BROWN C,0,1 - 0,376,RSA,6:16,Missed,0
Action shot,11.0,1,1,SRB,1.0,MOLYNEUX N,1,1 - 1,333,RSA,5:33,Goal,1
Centre shot,6.0,1,2,SRB,1.0,PIJETLOVIC D,1,2 - 1,321,SRB,5:21,Goal,1
Extra player shot,11.0,1,2,SRB,1.0,PRLAINOVIC A,1,2 - 1,276,SRB,4:36,Saved,0
Action shot,5.0,1,3,SRB,1.0,CUK M,1,3 - 1,227,SRB,3:47,Goal,1
Extra player shot,3.0,1,4,SRB,1.0,RASOVIC V,1,4 - 1,167,SRB,2:47,Goal,1
Action shot,8.0,1,4,SRB,1.0,ALEKSIC M,1,4 - 1,128,SRB,2:08,Missed,0
Action shot,2.0,1,4,SRB,1.0,le ROUX E,1,4 - 1,110,RSA,1:50,Saved,0
Counter attack,9.0,1,5,SRB,1.0,JAKSIC N,1,5 - 1,95,SRB,1:35,Goal,1
Centre shot,12.0,1,6,SRB,1.0,MITORVIC S,1,6 - 1,70,SRB,1:10,Goal,1
Action shot,11.0,1,6,SRB,1.0,PRLAINOVIC A,1,6 - 1,24,SRB,0:24,Blocked,0
5m shot,7.0,1,6,SRB,1.0,RABIE L,1,6 - 1,1,RSA,0:01,Saved,0
Action shot,11.0,1,6,SRB,2.0,PRLAINOVIC A,1,6 - 1,417,SRB,6:57,Missed,0
Extra player shot,9.0,1,7,SRB,2.0,JAKSIC N,1,7 - 1,361,SRB,6:01,Goal,1
Action shot,10.0,1,8,SRB,2.0,FILIPOVIC F,1,8 - 1,330,SRB,5:30,Goal,1
Action shot,8.0,1,9,SRB,2.0,ALEKSIC M,1,9 - 1,300,SRB,5:00,Goal,1
Action shot,8.0,1,10,SRB,2.0,ALEKSIC M,1,10 - 1,274,SRB,4:34,Goal,1
Action shot,2.0,1,10,SRB,2.0,le ROUX E,2,10 - 2,248,RSA,4:08,Goal,1
Action shot,11.0,1,10,SRB,2.0,PRLAINOVIC A,2,10 - 2,224,SRB,3:44,Post,0
5m shot,6.0,1,10,SRB,2.0,de CARVALHO J,2,10 - 2,196,RSA,3:16,Post,0
Extra player shot,11.0,1,10,SRB,2.0,PRLAINOVIC A,2,10 - 2,174,SRB,2:54,Post,0
Action shot,11.0,1,11,SRB,2.0,PRLAINOVIC A,2,11 - 2,164,SRB,2:44,Goal,1
5m shot,11.0,1,11,SRB,4.0,MOLYNEUX N,2,11 - 2,304,RSA,5:04,Post,0
5m shot,4.0,1,11,SRB,4.0,RANDELOVIC S,2,11 - 2,279,SRB,4:39,Saved,0
Action shot,9.0,1,21,SRB,4.0,JAKSIC N,3,21 - 3,229,SRB,3:49,Goal,1
Action shot,3.0,1,21,SRB,4.0,CARD D,4,21 - 4,197,RSA,3:17,Goal,1
Action shot,5.0,1,21,SRB,4.0,CUK M,4,21 - 4,170,SRB,2:50,Saved,0
Action shot,5.0,1,21,SRB,4.0,BROWN C,5,21 - 5,130,RSA,2:10,Goal,1
5m shot,2.0,1,21,SRB,2.0,le ROUX E,5,21 - 5,64,RSA,1:04,Saved,0
Action shot,2.0,1,12,SRB,2.0,MANDIC D,2,12 - 2,40,SRB,0:40,Goal,1
Action shot,10.0,1,12,SRB,2.0,le ROUX P,2,12 - 2,13,RSA,0:13,Saved,0
5m shot,3.0,1,13,SRB,2.0,RASOVIC V,2,13 - 2,1,SRB,0:01,Goal,1
5m shot,7.0,1,13,SRB,3.0,RABIE L,2,13 - 2,417,RSA,6:57,Post,0
Action shot,11.0,1,14,SRB,3.0,PRLAINOVIC A,2,14 - 2,350,SRB,5:50,Goal,1
5m shot,10.0,1,14,SRB,3.0,le ROUX P,2,14 - 2,320,RSA,5:20,Saved,0
Centre shot,7.0,1,15,SRB,3.0,UBOVIC N,2,15 - 2,267,SRB,4:27,Goal,1
Extra player shot,4.0,1,15,SRB,3.0,BADENHORST N,2,15 - 2,237,RSA,3:57,Saved,0
5m shot,5.0,1,15,SRB,3.0,BROWN C,2,15 - 2,225,RSA,3:45,Saved,0
Centre shot,2.0,1,15,SRB,3.0,le ROUX E,3,15 - 3,223,RSA,3:43,Goal,1
Extra player shot,12.0,1,16,SRB,3.0,MITORVIC S,3,16 - 3,195,SRB,3:15,Goal,1
Centre shot,8.0,1,17,SRB,3.0,ALEKSIC M,3,17 - 3,171,SRB,2:51,Goal,1
Centre shot,6.0,1,18,SRB,3.0,PIJETLOVIC D,3,18 - 3,138,SRB,2:18,Goal,1
5m shot,8.0,1,18,SRB,3.0,ALEKSIC M,3,18 - 3,100,SRB,1:40,Missed,0
Action shot,7.0,1,18,SRB,3.0,RABIE L,3,18 - 3,36,RSA,0:36,Saved,0
Action shot,4.0,1,18,SRB,3.0,RANDELOVIC S,3,18 - 3,17,SRB,0:17,Saved,0
Centre shot,6.0,1,18,SRB,4.0,PIJETLOVIC D,3,18 - 3,438,SRB,7:18,Saved,0
Action shot,4.0,1,18,SRB,4.0,RANDELOVIC S,3,18 - 3,391,SRB,6:31,Post,0
Action shot,11.0,1,19,SRB,4.0,PRLAINOVIC A,3,19 - 3,389,SRB,6:29,Goal,1
Action shot,10.0,1,20,SRB,4.0,FILIPOVIC F,3,20 - 3,345,SRB,5:45,Goal,1
Extra player shot,5.0,1,20,SRB,4.0,CUK M,3,20 - 3,99,SRB,1:39,Saved,0
Action shot,2.0,1,20,SRB,4.0,le ROUX E,3,20 - 3,85,RSA,1:25,Post,0
Action shot,6.0,1,20,SRB,4.0,PIJETLOVIC D,3,20 - 3,4,SRB,0:04,Missed,0
5m shot,1.0,1,20,SRB,4.0,LEWIS J,3,20 - 3,1,RSA,0:01,Saved,0
5m shot,3.0,2,0,GRE,1.0,CARD D,0,0 - 0,437,RSA,7:17,Saved,0
Action shot,2.0,2,0,GRE,1.0,GENIDOUNIAS K,0,0 - 0,411,GRE,6:51,Blocked,0
Extra player shot,11.0,2,0,GRE,1.0,GOUNAS A,0,0 - 0,343,GRE,5:43,Saved,0
Action shot,5.0,2,0,GRE,1.0,BROWN C,0,0 - 0,317,RSA,5:17,Post,0
Action shot,7.0,2,1,GRE,1.0,PONTIKEAS K,0,0 - 1,291,GRE,4:51,Goal,1
5m shot,2.0,2,1,GRE,1.0,le ROUX E,0,0 - 1,259,RSA,4:19,Post,0
Action shot,11.0,2,2,GRE,1.0,GOUNAS A,0,0 - 2,233,GRE,3:53,Goal,1
Action shot,6.0,2,3,GRE,1.0,KAPOTSIS M,0,0 - 3,182,GRE,3:02,Goal,1
Centre shot,3.0,2,3,GRE,1.0,CARD D,0,0 - 3,152,RSA,2:32,Saved,0
Extra player shot,5.0,2,4,GRE,1.0,FOUNTOULIS I,0,0 - 4,124,GRE,2:04,Goal,1
Action shot,5.0,2,4,GRE,1.0,FOUNTOULIS I,0,0 - 4,72,GRE,1:12,Saved,0
Penalty shot,5.0,2,5,GRE,1.0,FOUNTOULIS I,0,0 - 5,70,GRE,1:10,Goal,1
Action shot,5.0,2,5,GRE,1.0,FOUNTOULIS I,0,0 - 5,31,GRE,0:31,Saved,0
5m shot,2.0,2,5,GRE,1.0,le ROUX E,0,0 - 5,1,RSA,0:01,Saved,0
Extra player shot,11.0,2,5,GRE,2.0,GOUNAS A,0,0 - 5,388,GRE,6:28,Missed,0
5m shot,10.0,2,5,GRE,2.0,le ROUX P,0,0 - 5,312,RSA,5:12,Saved,0
