Action,Cap,Game,Opponent,Opponent name,Period,Player,RUS,Score,Seconds,Team,Time
Starting goalkeeper,1.0,1,0,JPN,1.0,TANAMURA K,0,0 - 0,480,JPN,8:00
Starting goalkeeper,13.0,1,0,JPN,1.0,STATSENKO V,0,0 - 0,480,RUS,8:00
Sprint won possession,10.0,1,0,JPN,1.0,KHOLOD D,0,0 - 0,480,RUS,8:00
Action shot - Goal,8.0,1,0,JPN,1.0,NAGAEV I,1,0 - 1,456,RUS,7:36
Action shot - Saved,6.0,1,0,JPN,1.0,IIDA A,1,0 - 1,427,JPN,7:07
Centre shot - Goal,11.0,1,0,JPN,1.0,LISUNOV S,2,0 - 2,394,RUS,6:34
Turnover foul,6.0,1,0,JPN,1.0,IIDA A,2,0 - 2,367,JPN,6:07
Steal,10.0,1,0,JPN,1.0,KHOLOD D,2,0 - 2,367,RUS,6:07
5m shot - Saved,2.0,1,0,JPN,1.0,LAZAREV N,2,0 - 2,340,RUS,5:40
Turnover foul,11.0,1,0,JPN,1.0,LISUNOV S,2,0 - 2,322,RUS,5:22
Steal,1.0,1,0,JPN,1.0,TANAMURA K,2,0 - 2,322,JPN,5:22
20 sec. exclusion in centre,3.0,1,0,JPN,1.0,VASILYEV E,2,0 - 2,308,RUS,5:08
Extra player shot - Goal,9.0,1,1,JPN,1.0,ARAI A,2,1 - 2,290,JPN,4:50
20 sec. exclusion in centre,6.0,1,1,JPN,1.0,IIDA A,2,1 - 2,267,JPN,4:27
Action shot - Goal,8.0,1,1,JPN,1.0,NAGAEV I,3,1 - 3,247,RUS,4:07
Turnover foul,9.0,1,1,JPN,1.0,ARAI A,3,1 - 3,225,JPN,3:45
Steal,12.0,1,1,JPN,1.0,SHEPELEV R,3,1 - 3,225,RUS,3:45
Turnover foul,6.0,1,1,JPN,1.0,ASHAEV A,3,1 - 3,198,RUS,3:18
Steal,1.0,1,1,JPN,1.0,TANAMURA K,3,1 - 3,198,JPN,3:18
20 sec. exclusion in centre,12.0,1,1,JPN,1.0,SHEPELEV R,3,1 - 3,198,RUS,3:18
20 sec. exclusion in centre,6.0,1,1,JPN,1.0,IIDA A,3,1 - 3,165,JPN,2:45
Time-Out,,1,1,JPN,1.0,,3,1 - 3,164,RUS,2:44
Extra player shot - Goal,7.0,1,1,JPN,1.0,MERKULOV D,4,1 - 4,147,RUS,2:27
