Action,Cap,Game,Opponent,Opponent name,Period,Player,RUS,Score,Seconds,Team,Time,Result,Goal
Action shot,8.0,1,0,JPN,1.0,NAGAEV I,1,0 - 1,456,RUS,7:36,Goal,1
Action shot,6.0,1,0,JPN,1.0,IIDA A,1,0 - 1,427,JPN,7:07,Saved,0
Centre shot,11.0,1,0,JPN,1.0,LISUNOV S,2,0 - 2,394,RUS,6:34,Goal,1
5m shot,2.0,1,0,JPN,1.0,LAZAREV N,2,0 - 2,340,RUS,5:40,Saved,0
Extra player shot,9.0,1,1,JPN,1.0,ARAI A,2,1 - 2,290,JPN,4:50,Goal,1
Action shot,8.0,1,1,JPN,1.0,NAGAEV I,3,1 - 3,247,RUS,4:07,Goal,1
Extra player shot,7.0,1,1,JPN,1.0,MERKULOV D,4,1 - 4,147,RUS,2:27,Goal,1
Action shot,2.0,1,1,JPN,1.0,ADACHI S,4,1 - 4,79,JPN,1:19,Post,0
Centre shot,11.0,1,1,JPN,1.0,LISUNOV S,4,1 - 4,53,RUS,0:53,Missed,0
Action shot,11.0,1,1,JPN,1.0,OKAWA K,4,1 - 4,43,JPN,0:43,Saved,0
5m shot,4.0,1,1,JPN,1.0,SHIGA M,4,1 - 4,29,JPN,0:29,Blocked,0
Penalty shot,7.0,1,1,JPN,1.0,MERKULOV D,5,1 - 5,10,RUS,0:10,Goal,1
Action shot,12.0,1,1,JPN,1.0,ARAKI K,5,1 - 5,1,JPN,0:01,Saved,0
Centre shot,11.0,1,1,JPN,2.0,LISUNOV S,5,1 - 5,435,RUS,7:15,Saved,0
Action shot,4.0,1,2,JPN,2.0,SHIGA M,5,2 - 5,377,JPN,6:17,Goal,1
Action shot,2.0,1,2,JPN,2.0,ADACHI S,5,2 - 5,321,JPN,5:21,Saved,0
Centre shot,11.0,1,2,JPN,2.0,LISUNOV S,6,2 - 6,299,RUS,4:59,Goal,1
Action shot,8.0,1,2,JPN,2.0,NAGAEV I,6,2 - 6,254,RUS,4:14,Saved,0
Action shot,5.0,1,3,JPN,2.0,YOSHIDA T,6,3 - 6,235,JPN,3:55,Goal,1
Extra player shot,8.0,1,3,JPN,2.0,NAGAEV I,7,3 - 7,207,RUS,3:27,Goal,1
Action shot,8.0,1,3,JPN,2.0,NAGAEV I,7,3 - 7,157,RUS,2:37,Saved,0
Action shot,4.0,1,3,JPN,2.0,SHIGA M,7,3 - 7,146,JPN,2:26,Saved,0
Action shot,9.0,1,3,JPN,4.0,ARAI A,7,3 - 7,193,JPN,3:13,Saved,0
Action shot,4.0,1,7,JPN,4.0,DEREVIANKIN N,13,7 - 13,170,RUS,2:50,Goal,1
5m shot,5.0,1,8,JPN,4.0,YOSHIDA T,13,8 - 13,151,JPN,2:31,Goal,1
Centre shot,4.0,1,8,JPN,4.0,DEREVIANKIN N,13,8 - 13,134,RUS,2:14,Saved,0
Action shot,2.0,1,8,JPN,4.0,LAZAREV N,14,8 - 14,120,RUS,2:00,Goal,1
Action shot,4.0,1,8,JPN,4.0,DEREVIANKIN N,15,8 - 15,82,RUS,1:22,Goal,1
Extra player shot,3.0,1,3,JPN,2.0,VASILYEV E,8,3 - 8,123,RUS,2:03,Goal,1
Action shot,2.0,1,3,JPN,2.0,LAZAREV N,8,3 - 8,69,RUS,1:09,Saved,0
Extra player shot,2.0,1,3,JPN,2.0,LAZAREV N,8,3 - 8,41,RUS,0:41,Saved,0
Action shot,2.0,1,3,JPN,2.0,ADACHI S,8,3 - 8,33,JPN,0:33,Saved,0
Action shot,11.0,1,3,JPN,2.0,OKAWA K,8,3 - 8,9,JPN,0:09,Missed,0
Action shot,8.0,1,3,JPN,3.0,NAGAEV I,8,3 - 8,427,RUS,7:07,Saved,0
Action shot,9.0,1,3,JPN,3.0,ARAI A,8,3 - 8,409,JPN,6:49,Saved,0
