Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,USA
Starting goalkeeper,1.0,1,0,CRO,1.0,BARON M,0 - 0,480,USA,8:00,0
Starting goalkeeper,1.0,1,0,CRO,1.0,BIJAC M,0 - 0,480,CRO,8:00,0
Sprint won possession,5.0,1,0,CRO,1.0,JOKOVIC M,0 - 0,480,CRO,8:00,0
Turnover foul,4.0,1,0,CRO,1.0,OBERT A,0 - 0,425,USA,7:05,0
Steal,1.0,1,0,CRO,1.0,BIJAC M,0 - 0,425,CRO,7:05,0
Action shot - Saved,12.0,1,0,CRO,1.0,GARCIA GADEA J,0 - 0,405,CRO,6:45,0
Action shot - Saved,7.0,1,0,CRO,1.0,VUKICEVIC A,0 - 0,347,CRO,5:47,0
5m shot - Goal,6.0,1,0,CRO,1.0,CUPIDO L,1 - 0,320,USA,5:20,1
20 sec. exclusion in centre,10.0,1,0,CRO,1.0,RAMIREZ C,1 - 0,298,USA,4:58,1
Extra player shot - Goal,7.0,1,1,CRO,1.0,VUKICEVIC A,1 - 1,296,CRO,4:56,1
20 sec. exclusion in field,7.0,1,1,CRO,1.0,VUKICEVIC A,1 - 1,277,CRO,4:37,1
Extra player shot - Missed,8.0,1,1,CRO,1.0,CARNIGLIA N,1 - 1,261,USA,4:21,1
Action shot - Missed,5.0,1,1,CRO,1.0,JOKOVIC M,1 - 1,233,CRO,3:53,1
5m shot - Missed,2.0,1,1,CRO,1.0,HOOPER J,1 - 1,217,USA,3:37,1
Turnover foul,10.0,1,1,CRO,1.0,KRAPIC I,1 - 1,205,CRO,3:25,1
Steal,12.0,1,1,CRO,1.0,IRVING M,1 - 1,205,USA,3:25,1
Time-Out,,1,1,CRO,1.0,,1 - 1,205,USA,3:25,1
Turnover foul,4.0,1,1,CRO,1.0,OBERT A,1 - 1,181,USA,3:01,1
Steal,8.0,1,1,CRO,1.0,BUSLJE A,1 - 1,181,CRO,3:01,1
Centre shot - Goal,4.0,1,2,CRO,1.0,LONCAR L,1 - 2,166,CRO,2:46,1
20 sec. exclusion in centre,5.0,1,2,CRO,1.0,HALLOCK B,1 - 2,118,USA,1:58,1
Time-Out,,1,2,CRO,1.0,,1 - 2,118,CRO,1:58,1
Action shot - Blocked,12.0,1,2,CRO,1.0,GARCIA GADEA J,1 - 2,97,CRO,1:37,1
Action shot - Goal,7.0,1,3,CRO,1.0,VUKICEVIC A,1 - 3,88,CRO,1:28,1
Turnover foul,6.0,1,3,CRO,1.0,CUPIDO L,1 - 3,59,USA,0:59,1
Steal,11.0,1,3,CRO,1.0,SETKA A,1 - 3,59,CRO,0:59,1
5m shot - Blocked,5.0,1,3,CRO,1.0,JOKOVIC M,1 - 3,34,CRO,0:34,1
Centre shot - Saved,4.0,1,3,CRO,1.0,OBERT A,1 - 3,9,USA,0:09,1
Starting goalkeeper,1.0,1,3,CRO,2.0,BARON M,1 - 3,480,USA,8:00,1
Starting goalkeeper,1.0,1,3,CRO,2.0,BIJAC M,1 - 3,480,CRO,8:00,1
Sprint won possession,3.0,1,3,CRO,2.0,FATOVIC L,1 - 3,480,CRO,8:00,1
Centre shot - Goal,4.0,1,4,CRO,2.0,LONCAR L,1 - 4,455,CRO,7:35,1
Turnover foul,6.0,1,4,CRO,2.0,CUPIDO L,1 - 4,439,USA,7:19,1
Steal,3.0,1,4,CRO,2.0,FATOVIC L,1 - 4,439,CRO,7:19,1
Action shot - Blocked,3.0,1,4,CRO,2.0,FATOVIC L,1 - 4,413,CRO,6:53,1
5m shot - Post,10.0,1,4,CRO,2.0,RAMIREZ C,1 - 4,387,USA,6:27,1
Turnover foul,10.0,1,4,CRO,2.0,KRAPIC I,1 - 4,365,CRO,6:05,1
Steal,10.0,1,4,CRO,2.0,RAMIREZ C,1 - 4,365,USA,6:05,1
20 sec. exclusion in centre,2.0,1,4,CRO,2.0,MACAN M,1 - 4,344,CRO,5:44,1
Action shot - Saved,7.0,1,4,CRO,2.0,DUNSTAN T,1 - 4,324,USA,5:24,1
Turnover foul,7.0,1,4,CRO,2.0,DUNSTAN T,1 - 4,296,USA,4:56,1
Turnover foul,6.0,1,4,CRO,2.0,BULJUBASIC I,1 - 4,288,CRO,4:48,1
5m shot - Missed,6.0,1,4,CRO,2.0,CUPIDO L,1 - 4,270,USA,4:30,1
Counter attack - Goal,3.0,1,5,CRO,2.0,FATOVIC L,1 - 5,261,CRO,4:21,1
Time-Out,,1,5,CRO,2.0,,1 - 5,260,USA,4:20,1
Turnover foul,3.0,1,5,CRO,2.0,VAVIC M,1 - 5,244,USA,4:04,1
Steal,5.0,1,5,CRO,2.0,JOKOVIC M,1 - 5,244,CRO,4:04,1
Action shot - Missed,5.0,1,5,CRO,2.0,JOKOVIC M,1 - 5,224,CRO,3:44,1
5m shot - Blocked,12.0,1,5,CRO,2.0,IRVING M,1 - 5,200,USA,3:20,1
Action shot - Blocked,9.0,1,5,CRO,2.0,SUKNO S,1 - 5,173,CRO,2:53,1
20 sec. exclusion in centre,6.0,1,5,CRO,2.0,BULJUBASIC I,1 - 5,157,CRO,2:37,1
Extra player shot - Goal,9.0,1,5,CRO,2.0,BOWEN A,2 - 5,147,USA,2:27,2
Action shot - Goal,5.0,1,6,CRO,2.0,JOKOVIC M,2 - 6,120,CRO,2:00,2
5m shot - Blocked,7.0,1,6,CRO,2.0,DUNSTAN T,2 - 6,92,USA,1:32,2
20 sec. exclusion in field,12.0,1,6,CRO,2.0,GARCIA GADEA J,2 - 6,80,CRO,1:20,2
Extra player shot - Goal,2.0,1,6,CRO,2.0,HOOPER J,3 - 6,72,USA,1:12,3
20 sec. exclusion in centre,4.0,1,6,CRO,2.0,OBERT A,3 - 6,56,USA,0:56,3
Time-Out,,1,6,CRO,2.0,,3 - 6,56,CRO,0:56,3
Action shot - Goal,12.0,1,7,CRO,2.0,GARCIA GADEA J,3 - 7,34,CRO,0:34,3
Turnover foul,9.0,1,7,CRO,2.0,BOWEN A,3 - 7,20,USA,0:20,3
Steal,9.0,1,7,CRO,2.0,SUKNO S,3 - 7,20,CRO,0:20,3
Action shot - Goal,4.0,1,11,CRO,4.0,OBERT A,6 - 11,62,USA,1:02,6
20 sec. exclusion in centre,4.0,1,11,CRO,4.0,OBERT A,6 - 11,39,USA,0:39,6
Extra player shot - Goal,4.0,1,12,CRO,4.0,LONCAR L,6 - 12,34,CRO,0:34,6
20 sec. exclusion in centre,8.0,1,12,CRO,4.0,BUSLJE A,6 - 12,24,CRO,0:24,6
5m shot - Saved,12.0,1,12,CRO,2.0,IRVING M,6 - 12,1,USA,0:01,6
Starting goalkeeper,1.0,1,12,CRO,3.0,BARON M,6 - 12,480,USA,8:00,6
Starting goalkeeper,1.0,1,12,CRO,3.0,BIJAC M,6 - 12,480,CRO,8:00,6
Sprint won possession,2.0,1,12,CRO,3.0,HOOPER J,6 - 12,480,USA,8:00,6
20 sec. exclusion in field,4.0,1,12,CRO,3.0,LONCAR L,6 - 12,463,CRO,7:43,6
Action shot - Saved,2.0,1,12,CRO,3.0,HOOPER J,6 - 12,437,USA,7:17,6
Centre shot - Goal,4.0,1,8,CRO,3.0,LONCAR L,3 - 8,405,CRO,6:45,3
5m shot - Saved,6.0,1,8,CRO,3.0,CUPIDO L,3 - 8,387,USA,6:27,3
20 sec. exclusion in centre,11.0,1,8,CRO,3.0,ROELSE A,3 - 8,362,USA,6:02,3
Extra player shot - Goal,12.0,1,9,CRO,3.0,GARCIA GADEA J,3 - 9,342,CRO,5:42,3
Turnover foul,3.0,1,9,CRO,3.0,VAVIC M,3 - 9,325,USA,5:25,3
Steal,12.0,1,9,CRO,3.0,GARCIA GADEA J,3 - 9,325,CRO,5:25,3
Turnover foul,8.0,1,9,CRO,3.0,BUSLJE A,3 - 9,305,CRO,5:05,3
Turnover foul,10.0,1,9,CRO,3.0,KRAPIC I,3 - 9,261,CRO,4:21,3
Steal,6.0,1,9,CRO,3.0,CUPIDO L,3 - 9,261,USA,4:21,3
20 sec. exclusion in field,6.0,1,9,CRO,3.0,BULJUBASIC I,3 - 9,242,CRO,4:02,3
Extra player shot - Goal,6.0,1,9,CRO,3.0,CUPIDO L,4 - 9,241,USA,4:01,4
5m shot - Saved,8.0,1,9,CRO,3.0,BUSLJE A,4 - 9,212,CRO,3:32,4
Turnover foul,7.0,1,9,CRO,3.0,VUKICEVIC A,4 - 9,185,CRO,3:05,4
Steal,12.0,1,9,CRO,3.0,IRVING M,4 - 9,185,USA,3:05,4
Turnover foul,3.0,1,9,CRO,3.0,VAVIC M,4 - 9,170,USA,2:50,4
Steal,1.0,1,9,CRO,3.0,BIJAC M,4 - 9,170,CRO,2:50,4
Time-Out,,1,9,CRO,3.0,,4 - 9,170,CRO,2:50,4
20 sec. exclusion in centre,6.0,1,9,CRO,3.0,CUPIDO L,4 - 9,158,USA,2:38,4
Yellow card,,1,9,CRO,3.0,Team Official,4 - 9,158,CRO,2:38,4
Turnover foul,3.0,1,9,CRO,3.0,FATOVIC L,4 - 9,146,CRO,2:26,4
Steal,9.0,1,9,CRO,3.0,BOWEN A,4 - 9,146,USA,2:26,4
Time-Out,,1,9,CRO,3.0,,4 - 9,145,USA,2:25,4
Turnover foul,9.0,1,9,CRO,3.0,BOWEN A,4 - 9,128,USA,2:08,4
Action shot - Saved,11.0,1,9,CRO,3.0,SETKA A,4 - 9,106,CRO,1:46,4
5m shot - Goal,12.0,1,10,CRO,3.0,GARCIA GADEA J,4 - 10,80,CRO,1:20,4
Centre shot - Post,5.0,1,10,CRO,3.0,HALLOCK B,4 - 10,62,USA,1:02,4
20 sec. exclusion in field,12.0,1,10,CRO,3.0,IRVING M,4 - 10,48,USA,0:48,4
Action shot - Saved,5.0,1,10,CRO,3.0,JOKOVIC M,4 - 10,29,CRO,0:29,4
5m shot - Post,7.0,1,10,CRO,3.0,VUKICEVIC A,4 - 10,1,CRO,0:01,4
Starting goalkeeper,1.0,1,10,CRO,4.0,BARON M,4 - 10,480,USA,8:00,4
Starting goalkeeper,1.0,1,10,CRO,4.0,BIJAC M,4 - 10,480,CRO,8:00,4
Sprint won possession,11.0,1,10,CRO,4.0,SETKA A,4 - 10,480,CRO,8:00,4
20 sec. exclusion in centre,10.0,1,10,CRO,4.0,RAMIREZ C,4 - 10,458,USA,7:38,4
Action shot - Saved,5.0,1,10,CRO,4.0,JOKOVIC M,4 - 10,435,CRO,7:15,4
Action shot - Saved,12.0,1,10,CRO,4.0,IRVING M,4 - 10,406,USA,6:46,4
5m shot - Saved,2.0,1,10,CRO,4.0,MACAN M,4 - 10,377,CRO,6:17,4
20 sec. exclusion in centre,3.0,1,10,CRO,4.0,FATOVIC L,4 - 10,353,CRO,5:53,4
Extra player shot - Goal,9.0,1,10,CRO,4.0,BOWEN A,5 - 10,340,USA,5:40,5
Centre shot - Saved,5.0,1,10,CRO,4.0,JOKOVIC M,5 - 10,310,CRO,5:10,5
Turnover foul,4.0,1,10,CRO,4.0,OBERT A,5 - 10,283,USA,4:43,5
Steal,2.0,1,10,CRO,4.0,MACAN M,5 - 10,283,CRO,4:43,5
20 sec. exclusion in centre,11.0,1,10,CRO,4.0,ROELSE A,5 - 10,262,USA,4:22,5
