Player,Game,5m shot attempted,Action shot attempted,Centre shot attempted,Counter attack attempted,Extra player shot attempted,Penalty shot attempted,5m shot made,Action shot made,Centre shot made,Counter attack made,Extra player shot made,Penalty shot made,Total attempted,Total made
BOWEN A,1,0,0,0,0,2,0,0,0,0,0,2,0,2,2
BOWEN A,2,0,1,0,0,3,0,0,0,0,0,0,0,4,0
BOWEN A,3,6,0,0,0,4,0,2,0,0,0,2,0,10,4
BOWEN A,5,3,1,0,0,1,0,1,1,0,0,0,0,5,2
CARNIGLIA N,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
CARNIGLIA N,3,1,1,0,0,0,0,0,0,0,0,0,0,2,0
CARNIGLIA N,4,0,1,0,0,1,0,0,0,0,0,1,0,2,1
CARNIGLIA N,5,0,1,0,0,1,0,0,1,0,0,1,0,2,2
CUPIDO L,1,3,0,0,0,1,0,1,0,0,0,1,0,4,2
CUPIDO L,2,3,2,0,0,2,0,0,0,0,0,1,0,7,1
CUPIDO L,3,4,1,0,1,2,0,1,1,0,1,1,0,8,4
CUPIDO L,4,4,1,0,0,1,1,0,0,0,0,0,1,7,1
CUPIDO L,5,6,0,0,0,0,1,2,0,0,0,0,1,7,3
DUNSTAN T,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0
DUNSTAN T,2,0,3,0,0,1,0,0,2,0,0,0,0,4,2
DUNSTAN T,3,1,2,0,0,0,0,0,2,0,0,0,0,3,2
DUNSTAN T,5,1,1,0,0,1,0,0,1,0,0,0,0,3,1
HALLOCK B,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
HALLOCK B,2,1,1,0,0,0,0,1,1,0,0,0,0,2,2
HALLOCK B,4,0,1,1,0,0,0,0,0,0,0,0,0,2,0
HOOPER J,1,1,1,0,0,1,0,0,0,0,0,1,0,3,1
HOOPER J,2,0,2,0,0,1,0,0,1,0,0,0,0,3,1
HOOPER J,3,0,1,0,1,1,0,0,0,0,1,1,0,3,2
HOOPER J,4,2,1,0,0,1,1,0,0,0,0,0,1,5,1
HOOPER J,5,2,1,0,0,0,0,0,0,0,0,0,0,3,0
IRVING M,1,2,1,0,0,0,0,0,0,0,0,0,0,3,0
IRVING M,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
IRVING M,3,0,1,0,0,0,0,0,1,0,0,0,0,1,1
IRVING M,4,1,2,0,0,0,0,1,2,0,0,0,0,3,3
IRVING M,5,0,0,1,0,1,0,0,0,1,0,1,0,2,2
OBERT A,1,0,1,1,0,0,0,0,1,0,0,0,0,2,1
OBERT A,2,2,1,1,0,0,0,0,0,0,0,0,0,4,0
OBERT A,4,0,3,0,0,0,0,0,3,0,0,0,0,3,3
OBERT A,5,0,0,2,0,0,0,0,0,0,0,0,0,2,0
RAMIREZ C,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
RAMIREZ C,2,0,0,0,1,1,0,0,0,0,0,1,0,2,1
RAMIREZ C,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0
RAMIREZ C,4,0,0,0,0,1,0,0,0,0,0,1,0,1,1
RAMIREZ C,5,1,1,0,0,1,0,0,0,0,0,0,0,3,0
ROELSE A,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
ROELSE A,3,1,0,0,0,0,0,1,0,0,0,0,0,1,1
ROELSE A,4,0,2,1,0,0,0,0,1,1,0,0,0,3,2
ROELSE A,5,3,1,0,1,0,0,0,0,0,1,0,0,5,1
VAVIC M,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1
VAVIC M,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0
VAVIC M,4,1,2,0,0,0,0,0,1,0,0,0,0,3,1
