Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,USA,Result,Goal
Action shot,12.0,1,0,CRO,1.0,GARCIA GADEA J,0 - 0,405,CRO,6:45,0,Saved,0
Action shot,7.0,1,0,CRO,1.0,VUKICEVIC A,0 - 0,347,CRO,5:47,0,Saved,0
5m shot,6.0,1,0,CRO,1.0,CUPIDO L,1 - 0,320,USA,5:20,1,Goal,1
Extra player shot,7.0,1,1,CRO,1.0,VUKICEVIC A,1 - 1,296,CRO,4:56,1,Goal,1
Extra player shot,8.0,1,1,CRO,1.0,CARNIGLIA N,1 - 1,261,USA,4:21,1,Missed,0
Action shot,5.0,1,1,CRO,1.0,JOKOVIC M,1 - 1,233,CRO,3:53,1,Missed,0
5m shot,2.0,1,1,CRO,1.0,HOOPER J,1 - 1,217,USA,3:37,1,Missed,0
Centre shot,4.0,1,2,CRO,1.0,LONCAR L,1 - 2,166,CRO,2:46,1,Goal,1
Action shot,12.0,1,2,CRO,1.0,GARCIA GADEA J,1 - 2,97,CRO,1:37,1,Blocked,0
Action shot,7.0,1,3,CRO,1.0,VUKICEVIC A,1 - 3,88,CRO,1:28,1,Goal,1
5m shot,5.0,1,3,CRO,1.0,JOKOVIC M,1 - 3,34,CRO,0:34,1,Blocked,0
Centre shot,4.0,1,3,CRO,1.0,OBERT A,1 - 3,9,USA,0:09,1,Saved,0
Centre shot,4.0,1,4,CRO,2.0,LONCAR L,1 - 4,455,CRO,7:35,1,Goal,1
Action shot,3.0,1,4,CRO,2.0,FATOVIC L,1 - 4,413,CRO,6:53,1,Blocked,0
5m shot,10.0,1,4,CRO,2.0,RAMIREZ C,1 - 4,387,USA,6:27,1,Post,0
Action shot,7.0,1,4,CRO,2.0,DUNSTAN T,1 - 4,324,USA,5:24,1,Saved,0
5m shot,6.0,1,4,CRO,2.0,CUPIDO L,1 - 4,270,USA,4:30,1,Missed,0
Counter attack,3.0,1,5,CRO,2.0,FATOVIC L,1 - 5,261,CRO,4:21,1,Goal,1
Action shot,5.0,1,5,CRO,2.0,JOKOVIC M,1 - 5,224,CRO,3:44,1,Missed,0
5m shot,12.0,1,5,CRO,2.0,IRVING M,1 - 5,200,USA,3:20,1,Blocked,0
Action shot,9.0,1,5,CRO,2.0,SUKNO S,1 - 5,173,CRO,2:53,1,Blocked,0
Extra player shot,9.0,1,5,CRO,2.0,BOWEN A,2 - 5,147,USA,2:27,2,Goal,1
Action shot,5.0,1,6,CRO,2.0,JOKOVIC M,2 - 6,120,CRO,2:00,2,Goal,1
5m shot,7.0,1,6,CRO,2.0,DUNSTAN T,2 - 6,92,USA,1:32,2,Blocked,0
Extra player shot,2.0,1,6,CRO,2.0,HOOPER J,3 - 6,72,USA,1:12,3,Goal,1
Action shot,12.0,1,7,CRO,2.0,GARCIA GADEA J,3 - 7,34,CRO,0:34,3,Goal,1
Action shot,4.0,1,11,CRO,4.0,OBERT A,6 - 11,62,USA,1:02,6,Goal,1
Extra player shot,4.0,1,12,CRO,4.0,LONCAR L,6 - 12,34,CRO,0:34,6,Goal,1
5m shot,12.0,1,12,CRO,2.0,IRVING M,6 - 12,1,USA,0:01,6,Saved,0
Action shot,2.0,1,12,CRO,3.0,HOOPER J,6 - 12,437,USA,7:17,6,Saved,0
