Action,Cap,Game,Period,Player,Score,Team,Time,Result,Goal
Counter attack,10.0,1,1.0,NEUSHUL J,0 - 1,USA,7:28,Goal,1
Centre shot,11.0,1,1.0,FISCHER M,0 - 2,USA,6:39,Goal,1
Action shot,11.0,1,1.0,FISCHER M,0 - 3,USA,5:52,Goal,1
Action shot,11.0,1,1.0,BARRETT N,0 - 3,RSA,5:31,Missed,0
Action shot,12.0,1,1.0,WILLIAMS A,0 - 3,USA,5:16,Post,0
Action shot,12.0,1,1.0,WILLIAMS A,0 - 4,USA,4:33,Goal,1
Action shot,5.0,1,1.0,HAUSCHILD P,0 - 4,USA,3:57,Post,0
Action shot,4.0,1,1.0,FATTAL R,0 - 4,USA,2:45,Post,0
Action shot,11.0,1,1.0,FISCHER M,0 - 4,USA,2:06,Post,0
Counter attack,4.0,1,1.0,FATTAL R,0 - 5,USA,0:46,Goal,1
Action shot,10.0,1,1.0,NEUSHUL J,0 - 6,USA,0:26,Goal,1
Centre shot,4.0,1,2.0,FATTAL R,0 - 7,USA,7:32,Goal,1
Centre shot,12.0,1,2.0,WHITE K,0 - 7,RSA,7:03,Missed,0
Action shot,4.0,1,2.0,FATTAL R,0 - 8,USA,6:57,Goal,1
5m shot,7.0,1,2.0,WESSELS C,0 - 8,RSA,6:26,Post,0
Action shot,11.0,1,2.0,FISCHER M,0 - 8,USA,6:07,Missed,0
Counter attack,10.0,1,2.0,NEUSHUL J,0 - 9,USA,5:27,Goal,1
Action shot,9.0,1,2.0,SMIT Z,0 - 9,RSA,5:08,Saved,0
Action shot,5.0,1,2.0,HAUSCHILD P,0 - 10,USA,4:58,Goal,1
Extra player shot,12.0,1,2.0,WILLIAMS A,0 - 10,USA,3:49,Saved,0
5m shot,11.0,1,2.0,BARRETT N,0 - 10,RSA,3:32,Saved,0
Centre shot,9.0,1,2.0,FISCHER A,0 - 10,USA,3:14,Post,0
Action shot,3.0,1,2.0,SEIDEMANN M,0 - 11,USA,2:24,Goal,1
Centre shot,8.0,1,2.0,NEUSHUL K,0 - 12,USA,1:43,Goal,1
Action shot,2.0,1,2.0,PENNEY A,0 - 12,RSA,0:29,Post,0
Centre shot,3.0,1,2.0,SEIDEMANN M,0 - 13,USA,0:18,Goal,1
Action shot,11.0,1,3.0,BARRETT N,1 - 13,RSA,7:39,Goal,1
